DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,399,402,397,398,3233300,399
20170105,399,400,396,396,3629400,396
20170106,396,397,394,394,3748700,394
20170109,394,396,394,394,1515800,392
20170110,392,395,392,393,1769300,393
20170111,393,394,391,391,3261200,392
20170112,392,395,391,392,1845300,393
20170113,393,394,391,393,2399700,392
20170116,392,395,392,394,1586200,394
20170117,394,395,394,394,1030900,395
20170118,395,396,392,392,1995800,393
20170119,393,395,391,394,2512400,393
20170120,393,395,392,394,2733500,394
20170123,394,395,392,393,1589400,394
20170124,394,402,394,398,8005000,399
20170125,399,400,397,398,4129100,402
20170126,402,412,399,408,11665300,408
20170127,408,410,404,406,3143300,408
20170130,408,412,404,408,4046600,408
20170131,408,418,406,414,10105500,414
20170201,414,414,408,412,2956700,412
20170202,412,418,410,416,5534300,416
20170203,416,416,414,416,1478500,416
20170206,416,422,410,414,6293900,414
20170207,414,416,408,412,4504900,412
20170208,412,422,412,420,9656700,42.5
20170209,42.5,42.5,40.25,40.25,121386200,40.75
20170210,40.75,41,40.25,40.5,43110100,40.5
20170214,40.5,40.75,39,39.5,104451400,37.75
20170215,37.75,39.25,37.25,39,290182600,39.5
20170216,39.5,40.25,39.25,39.75,132149400,40
20170217,40,40.25,39.5,40,95819400,40
20170220,40,40.25,39.75,40.25,26441200,40
20170221,40,40.25,39.25,39.25,37411700,39.5
20170222,39.5,40,39.25,39.75,24814400,39.5
20170223,39.5,39.75,38.5,38.75,55933700,39
20170224,39,39.25,38.75,38.75,16221600,38.75
20170227,38.75,39.25,38.5,38.75,14764700,39
20170228,39,39,38.75,38.75,10656900,39
20170301,39,39,38.5,39,16205200,39
20170302,39,39.25,38.75,38.75,13415500,38.5
20170303,38.5,38.75,38,38.25,37660200,38
20170306,38,38.75,37.75,38.5,45379400,38.25
20170307,38.25,38.5,38,38.25,14192600,38.5
20170308,38.5,39,38,39,33141300,38.75
20170309,38.75,39.25,38.5,39,23994200,39
20170310,39,39,38.25,38.5,17914600,38.5
20170313,38.5,39,38.25,39,17247100,38.75
20170314,38.75,39,38.5,38.5,13734600,38.5
20170315,38.5,38.75,38.25,38.25,13722900,38.5
20170316,38.5,39.25,38.25,39.25,27532300,39.25
20170317,39.25,39.5,38.75,38.75,23274300,39
20170320,39,39.5,38.75,39,21778000,39
20170321,39,39.75,39,39.25,31453300,39
20170322,39,39.75,39,39.5,20435600,39.5
20170323,39.5,40.25,39.5,40,41723300,39.75
20170324,39.75,40.25,39.75,39.75,14783400,40
20170327,40,40.25,39.75,39.75,16639000,40
20170328,40,40.25,40,40.25,15390200,40.25
20170329,40.25,40.5,39.75,40,18844900,39.75
20170330,39.75,40.25,39.75,40,29835900,40
20170331,40,40,39.25,39.25,20990700,39.25
20170403,39.25,39.75,39.25,39.25,15748000,39.5
20170404,39.5,39.75,39.25,39.75,12182900,39.75
20170405,39.75,40,39.25,39.5,19754400,39.5
20170407,39.5,39.75,39.25,39.75,17041300,39.5
20170410,39.5,39.5,39,39.25,18236500,39.25
20170411,39.25,39.5,39.25,39.25,5621300,39.5
20170412,39.5,39.75,39.25,39.75,17955900,39.5
20170417,39.5,40,39.25,39.75,15018100,40
20170418,40,40.25,39.75,40,23357400,40
20170419,40,40.5,39.75,40.25,32770300,40.25
20170420,40.25,41.5,40.25,41.25,73789100,41.5
20170421,41.5,42,41,41.25,42710700,41
20170424,41,41.5,40.75,41,35314600,41
20170425,41,41.5,40.75,41.25,39140700,41.5
20170426,41.5,41.75,41,41.5,39840000,41.5
20170427,41.5,41.5,40.75,40.75,23371400,40.75
20170428,40.75,41,40.25,40.25,24434600,40.5
20170502,40.5,41,40.25,40.5,28157300,40.75
20170503,40.75,41.25,40.5,40.75,16466400,41.25
