DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,19.2,20,19,19.9,126840400,DRAW
20170105,19.9,20,19.6,19.6,101579000,UP
20170106,19.7,20.2,19.5,20.1,166145100,DRAW
20170109,20.1,20.2,19.6,19.7,140963800,DOWN
20170110,19.6,20.3,19.6,20.3,125295700,DOWN
20170111,20.2,20.5,19.8,19.8,135317100,UP
20170112,20,20.1,19.5,19.7,62082500,DRAW
20170113,19.7,19.8,19.6,19.6,51480700,DRAW
20170116,19.6,19.7,19.3,19.6,55763600,UP
20170117,19.7,19.8,19.4,19.5,32383900,DRAW
20170118,19.5,19.8,19.4,19.4,43173400,DRAW
20170119,19.4,19.5,19.1,19.3,46137400,DOWN
20170120,19.2,19.5,19.2,19.3,29777800,UP
20170123,19.5,19.8,19.5,19.5,36617600,UP
20170124,19.6,19.9,19.6,19.7,44664400,UP
20170125,19.8,20.1,19.8,20,76508100,UP
20170126,20.1,20.1,19.6,19.6,56172700,DRAW
20170127,19.6,19.8,19.4,19.6,29492500,DRAW
20170130,19.6,19.7,19.1,19.2,69037200,DRAW
20170131,19.2,19.6,19.1,19.4,65123600,UP
20170201,19.5,19.6,19.2,19.3,37037500,DRAW
20170202,19.3,19.4,19.1,19.2,28542700,DRAW
20170203,19.2,19.3,18.9,19.2,72223800,DRAW
20170206,19.2,19.5,19.1,19.2,44493000,DRAW
20170207,19.2,19.3,19.1,19.1,20492700,DRAW
20170208,19.1,19.2,19,19.1,40570800,DRAW
20170209,19.1,19.3,18.7,18.7,75412600,UP
20170210,18.9,19.1,18.8,18.9,31240200,UP
20170214,19.1,19.6,19,19.2,72943200,UP
20170215,19.4,19.6,19.3,19.6,113542700,UP
20170216,19.7,19.9,19.5,19.8,101397900,DRAW
20170217,19.8,19.8,19.4,19.5,35803300,UP
20170220,19.7,19.9,19.5,19.6,63080600,UP
20170221,19.8,19.8,19.3,19.4,88665800,UP
20170222,19.5,19.5,19.3,19.4,42431100,DOWN
20170223,19.3,19.4,19.2,19.4,29372100,UP
20170224,19.5,19.8,19.4,19.5,71169700,DRAW
20170227,19.5,19.7,19.4,19.6,39588400,UP
20170228,19.7,19.8,19.6,19.6,80825800,UP
20170301,19.7,19.8,19.6,19.8,42507900,UP
20170302,20,20.2,19.9,20.1,117242700,DRAW
20170303,20.1,20.1,19.8,20.1,39292900,DRAW
20170306,20.1,20.2,19.7,19.7,35840800,UP
20170307,19.8,19.9,19.5,19.5,45169500,DRAW
20170308,19.5,19.7,19.3,19.5,53440900,DOWN
20170309,19.4,19.6,19.3,19.5,25294800,DRAW
20170310,19.5,19.6,18.9,19,55888700,DRAW
20170313,19,19.1,18.8,18.8,37337600,DRAW
20170314,18.8,19.4,18.8,19.2,56535000,DRAW
20170315,19.2,19.3,18.9,19.1,17643400,UP
20170316,19.3,19.5,19.3,19.5,41811900,DRAW
20170317,19.5,19.6,19.4,19.4,27369400,DRAW
20170320,19.4,19.6,19.4,19.4,18785100,UP
20170321,19.5,19.6,19.4,19.4,19814800,DOWN
20170322,19.3,19.4,19.1,19.2,38065300,UP
20170323,19.3,19.4,19.2,19.2,31583200,DRAW
20170324,19.2,19.5,19.2,19.4,16199200,UP
20170327,19.5,19.6,19.4,19.4,27519900,UP
20170328,19.5,19.7,19.5,19.7,32931400,UP
20170329,19.8,20.1,19.7,20,78550800,DRAW
20170330,20,20.1,19.8,19.8,46440400,DRAW
20170331,19.8,19.9,19.7,19.8,14508900,UP
20170403,19.9,20,19.8,20,29967400,UP
20170404,20.5,20.8,20.4,20.8,165396500,DOWN
20170405,20.7,21.1,20.4,20.5,148531700,DRAW
20170407,20.5,20.7,20.3,20.6,56855300,DOWN
20170410,20.4,20.6,20.3,20.5,41131400,DOWN
20170411,20.4,21.3,20.3,21.1,124313100,DRAW
20170412,21.1,21.4,21,21.1,54296500,DOWN
20170417,21,21.1,20.6,20.7,49280700,UP
20170418,20.8,20.9,20.5,20.5,43364300,DRAW
20170419,20.5,20.6,20.3,20.5,39463100,DRAW
20170420,20.5,20.8,20.5,20.6,41782700,DRAW
20170421,20.6,20.8,20.5,20.7,29632700,UP
20170424,20.8,20.9,20.4,20.6,37392500,DRAW
20170425,20.6,20.6,19.3,19.5,215713900,DRAW
20170426,19.5,19.7,19,19.3,171517500,DRAW
20170427,19.3,19.6,19.2,19.5,68460900,UP
20170428,19.6,19.6,19.1,19.2,66521000,UP
20170502,19.3,19.5,19.2,19.4,25426500,UP
20170503,19.5,19.5,19.3,19.4,14581200,DRAW
