DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170104,159.5,163.5,159.5,163,4611800,DRAW,163
20170105,163,164.5,163,164,4460400,DRAW,164
20170106,164,164.5,162.5,164.5,2373300,DOWN,163
20170109,163,164.5,163,164,2430100,UP,164.5
20170110,164.5,169.5,164.5,168,11248900,UP,168.5
20170111,168.5,169.5,167,167,3996000,DRAW,167
20170112,167,167.5,166,166,2612300,UP,167
20170113,167,169,166.5,169,2865500,DRAW,169
20170116,169,169,165.5,168.5,2776200,DOWN,166.5
20170117,166.5,167.5,166,167,2269900,DOWN,166
20170118,166,167.5,166,166,2305100,DRAW,166
20170119,166,166,165,166,1749800,DOWN,165
20170120,165,168.5,165,168.5,4004400,DRAW,168.5
20170123,168.5,168.5,166.5,168,1726000,DRAW,168
20170124,168,171.5,167,171,5433000,UP,171.5
20170125,171.5,175.5,171.5,175.5,10646900,UP,176
20170126,176,176,175,176,5349300,DOWN,175
20170127,175,175,173,174,3782400,DOWN,173
20170130,173,175.5,173,174.5,1487100,DOWN,174
20170131,174,174.5,172.5,174.5,5165000,DRAW,174.5
20170201,174.5,175.5,173.5,175.5,5953500,DOWN,175
20170202,175,177,174.5,175.5,5250500,DOWN,175
20170203,175,178.5,175,178.5,5470600,DRAW,178.5
20170206,178.5,181.5,178.5,180.5,8150800,DRAW,180.5
20170207,180.5,181,179,180,3648600,DRAW,180
20170208,180,180,178.5,179,2574200,UP,179.5
20170209,179.5,182.5,179.5,181,7290700,UP,182
20170210,182,182.5,181,182.5,3589100,DOWN,182
20170214,182,182.5,179,179,2841700,DRAW,179
20170215,179,179,175.5,179,5398500,DOWN,178
20170216,178,180,177,180,1664200,UP,180.5
20170217,180.5,181,180,180,1498800,DRAW,180
20170220,180,180.5,179,180,855800,DRAW,180
20170221,180,180.5,177,177,1898500,UP,178
20170222,178,178,176,177,1768800,DOWN,176.5
20170223,176.5,177,174,176.5,3729800,DOWN,176
20170224,176,177,175.5,176.5,1425200,DOWN,175.5
20170227,175.5,177,175,177,1637500,DOWN,176
20170228,176,179,176,177.5,2176700,UP,178.5
20170301,178.5,181,178,181,4067000,UP,181.5
20170302,181.5,183,181,183,4194500,DOWN,182.5
20170303,182.5,183,182,182.5,1658700,DOWN,182
20170306,182,182.5,179.5,180,1190200,UP,180.5
20170307,180.5,182.5,180,182,2136500,DOWN,181.5
20170308,181.5,182.5,179,182.5,2378000,DRAW,182.5
20170309,182.5,182.5,181.5,182,1139100,DOWN,181.5
20170310,181.5,182,181,182,589700,DRAW,182
20170313,182,182.5,180.5,182,1107800,DRAW,182
20170314,182,184,181.5,182.5,3806900,DOWN,182
20170315,182,183.5,182,182,1645600,UP,183
20170316,183,185,182.5,184,3868900,DRAW,184
20170317,184,185,183.5,185,2219600,UP,185.5
20170320,185.5,186,184.5,185.5,2166800,DOWN,184.5
20170321,184.5,185.5,184.5,185,1640100,DOWN,183
20170322,183,184,182.5,182.5,3069800,UP,183
20170323,183,184,183,183,1784700,DRAW,183
20170324,183,184,182.5,183,2089900,DOWN,182
20170327,182,182.5,181.5,181.5,2644000,UP,182
20170328,182,183,181,181,2957900,UP,181.5
20170329,181.5,182.5,180.5,181,2189800,DRAW,181
20170330,181,181.5,179.5,181.5,5409500,DRAW,181.5
20170331,181.5,182.5,180,181.5,2031300,DOWN,181
20170403,181,181.5,180,181,1603400,DRAW,181
20170404,181,182,180.5,182,3051800,DOWN,181.5
20170405,181.5,182.5,181.5,181.5,3128100,DOWN,181
20170407,181,183.5,180.5,183,4079000,DRAW,183
20170410,183,183,182.5,182.5,2031000,UP,183.5
20170411,183.5,188,183.5,187.5,12765200,UP,188
20170412,188,188.5,186.5,186.5,6436000,DOWN,186
20170417,186,187.5,186,186.5,3434500,UP,187
20170418,187,188.5,186.5,188,7577000,DOWN,187
20170419,187,187.5,183,183.5,9109800,DOWN,179
20170420,179,181,178.5,180,4072100,DOWN,177
20170421,177,178.5,176.5,178.5,8135300,UP,179
20170424,179,180,178.5,180,6159300,UP,180.5
20170425,180.5,180.5,178,180,4514300,DRAW,180
20170426,180,181,179.5,180,4463200,DRAW,180
20170427,180,180.5,179.5,179.5,2788600,UP,180
20170428,180,180.5,179,179.5,3240200,DRAW,179.5
