DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,33.5,34.25,33.5,34,6841000,34.5
20170105,34.5,34.5,34,34,3916500,34
20170106,34,34,33.5,33.75,3701300,34
20170109,34,34.25,33.75,34,2627500,34
20170110,34,34.25,33.75,34,2186200,34
20170111,34,34.5,33.75,33.75,4925400,34
20170112,34,34,33.5,33.75,1397800,33.75
20170113,33.75,34,33,33.5,6564600,33.5
20170116,33.5,33.5,33.25,33.25,1569300,33.5
20170117,33.5,34,33.5,33.75,2444500,33.75
20170118,33.75,34,33.5,33.75,2806700,33.75
20170119,33.75,34.5,33.5,34.25,7363100,34.25
20170120,34.25,35.75,34,35.25,10495700,35.25
20170123,35.25,35.25,34.75,35.25,3379400,35.25
20170124,35.25,35.5,35,35,4453900,35.5
20170125,35.5,35.75,35,35.5,5115500,35.75
20170126,35.75,36,35.25,35.75,3302300,35.5
20170127,35.5,35.75,35,35.25,2739200,35.25
20170130,35.25,35.75,35.25,35.25,2328600,35.25
20170131,35.25,35.25,34.5,35.25,4716100,35.25
20170201,35.25,35.5,34.5,34.5,3224300,34.75
20170202,34.75,35.5,34.25,34.25,5860000,34.25
20170203,34.25,34.75,34.25,34.5,2351200,34.5
20170206,34.5,35.75,34.5,35.25,4572600,35.25
20170207,35.25,35.75,35,35.25,3568500,35.25
20170208,35.25,35.75,34.5,34.5,7480400,34.5
20170209,34.5,35,34,34.5,3865400,34.75
20170210,34.75,35.25,34.5,35,2585900,35.25
20170214,35.25,35.25,34.5,35,1432600,35
20170215,35,35.5,34.75,35,2603900,35.25
20170216,35.25,35.5,34.75,35,1689800,35.25
20170217,35.25,35.25,34.5,35,1982700,35
20170220,35,35,33.5,33.75,14841300,33.75
20170221,33.75,34,33.25,33.5,6745400,34
20170222,34,34.25,33.5,33.75,7340400,33.75
20170223,33.75,34.5,33.75,34.5,6837300,34.25
20170224,34.25,34.5,34,34.5,3274200,34.25
20170227,34.25,34.75,34,34.25,3876700,34.5
20170228,34.5,34.75,34.25,34.5,6270400,33.5
20170301,33.5,33.5,33.25,33.5,3039100,33.75
20170302,33.75,33.75,32.75,33,4894700,33.25
20170303,33.25,33.25,32.75,32.75,1677200,33
20170306,33,33.5,32.75,33,5491100,32.75
20170307,32.75,33,32.75,32.75,2317600,33
20170308,33,33,32.5,32.75,4535100,32.75
20170309,32.75,32.75,32,32.5,5526400,32.25
20170310,32.25,32.75,32,32.75,6335200,32.5
20170313,32.5,32.75,31.75,32,7897600,32
20170314,32,32.5,32,32.5,3128900,32.25
20170315,32.25,32.75,32.25,32.5,2738100,32.75
20170316,32.75,33.75,32.75,33.25,7121000,33
20170317,33,33.25,32.5,33,5766100,33.25
20170320,33.25,33.5,33,33.25,1878200,33.5
20170321,33.5,34,33.25,33.75,6037100,33.25
20170322,33.25,34,33.25,33.5,4434700,33.75
20170323,33.75,33.75,33,33,3743800,33
20170324,33,33.25,32.75,32.75,2421200,33
20170327,33,33,32.5,32.75,1806300,32.75
20170328,32.75,33.25,32.75,33,1627400,33
20170329,33,33.25,33,33,1740800,33
20170330,33,33.75,33,33.5,2812700,33.5
20170331,33.5,33.5,33,33,2032500,33
20170403,33,33.25,33,33.25,1131200,33.25
20170404,33.25,33.5,33,33.5,1875300,33.5
20170405,33.5,33.5,32.5,33,6428900,33
20170407,33,33.25,32.75,33,1717900,32.75
20170410,32.75,33.25,32.5,32.75,3576000,33
20170411,33,33.25,32.75,33,1326700,33.25
20170412,33.25,33.25,32.75,33,2078100,33
20170417,33,33.25,32.5,33,3714900,33
20170418,33,33,32.5,32.75,1949000,32.75
20170419,32.75,33,32.5,32.75,1731300,33
20170420,33,33,32.5,32.5,1140500,32.75
20170421,32.75,33,32.75,33,1287200,33
20170424,33,33,32.5,32.75,1600800,32.75
20170425,32.75,33,32.5,32.75,2035000,32.75
20170426,32.75,33,32.5,32.75,2321100,32.5
20170427,32.5,32.75,32.25,32.5,5413100,32.5
20170428,32.5,32.5,32,32,4578100,32.25
20170502,32.25,32.25,31.75,32,3493900,32
20170503,32,32.25,31.75,32,1891400,32.25
20170504,32.25,32.25,31.75,31.75,3347500,32
20170505,32,32.75,31.75,32.5,3637100,32.5
20170508,32.5,33.25,32,32.75,13878700,33
20170509,33,33.25,32.75,33,9386200,33.25
20170511,33.25,33.25,32.25,32.5,6923800,32.5
20170512,32.5,32.75,32.25,32.5,3095900,32.5
20170515,32.5,32.5,32,32,5491600,32.25
20170516,32.25,32.75,32.25,32.25,5296900,32.25
20170517,32.25,33,32.25,32.5,6448500,32.5
20170518,32.5,32.75,32.25,32.5,4248900,32.5
20170519,32.5,32.5,32.25,32.5,3914100,32.5
20170522,32.5,32.75,32.5,32.75,3851000,32.75
20170523,32.75,33,32.75,32.75,3956900,33
20170524,33,33.5,32.75,33.25,6901500,33.25
20170525,33.25,33.5,33,33.25,4174400,33.25
20170526,33.25,34,33.25,33.75,9674700,33.75
20170529,33.75,34.25,33.75,34,3957300,34
20170530,34,34.25,33.5,33.5,3777300,33.5
20170531,33.5,34,33.5,34,3851800,34
20170601,34,34.75,33.75,34.25,7480700,34.5
20170602,34.5,34.5,34,34.5,2809100,34.5
20170605,34.5,34.75,33.25,34,6957600,34
20170606,34,34.25,33.5,34,2741700,33.75
20170607,33.75,34.25,33.75,34,2053000,34
20170608,34,34.25,33.75,34,1813800,34
20170609,34,34,33.5,33.5,2473400,33.75
20170612,33.75,34.25,33.25,33.5,5381900,33.5
20170613,33.5,34,33.25,33.75,2589200,33.75
20170614,33.75,34.25,33.75,34,3115300,34
20170615,34,34.5,33.75,34,3655100,34
20170616,34,34.25,33.75,34.25,1774800,34
20170619,34,34.25,33.75,33.75,1983100,34
20170620,34,34,33.75,33.75,1273000,34
20170621,34,34,33.5,34,3645800,33.75
20170622,33.75,34,33.5,33.75,2625900,33.75
20170623,33.75,34,33.5,33.5,3195200,33.5
20170626,33.5,33.75,33.5,33.5,2687700,33.5
20170627,33.5,33.75,33.25,33.25,3306500,33.5
20170628,33.5,34,33.25,34,4298700,33.75
20170629,33.75,34,33.5,33.5,2357400,33.5
20170630,33.5,33.75,33.25,33.5,4851600,33.5
20170703,33.5,33.75,33.25,33.5,2499900,33.5
20170704,33.5,33.75,33.25,33.5,1642600,33.75
20170705,33.75,33.75,33.5,33.75,2107300,33.5
20170706,33.5,33.5,33,33,4189600,33
20170707,33,33,32.75,32.75,3050700,33
20170711,33,33.5,33,33.25,2084000,33.25
20170712,33.25,33.5,33,33.25,1764700,33.5
20170713,33.5,33.5,33,33,1543300,33.25
20170714,33.25,33.5,33.25,33.25,1781600,33.5
20170717,33.5,33.5,33.25,33.25,1588900,33.25
20170718,33.25,33.75,33.25,33.25,2506400,33.5
20170719,33.5,34.25,33.25,34.25,8816900,34.25
20170720,34.25,34.5,33.75,34,6485900,34.25
20170721,34.25,34.25,34,34,3405600,34.25
20170724,34.25,35.25,34,35,15045800,35
20170725,35,35.5,34.5,34.75,9656200,35
20170726,35,35,34.25,34.75,5886400,34.75
20170727,34.75,35.5,34.5,35,4722200,35.25
20170731,35.25,35.5,34.75,34.75,3416600,35
20170801,35,35.5,34.75,35.5,3226300,35.5
20170802,35.5,36,35.25,35.75,9560800,36
20170803,36,36,35.5,36,4431400,36
20170804,36,36.5,35.75,36.5,7901700,36.5
20170807,36.5,36.75,36.25,36.25,2752000,36.25
20170808,36.25,36.75,35.75,36.5,5739100,36.5
20170809,36.5,36.75,36,36,4284700,36
20170810,36,36.25,35.25,36.25,9295900,35.5
20170811,35.5,36,35,35.75,6065100,36
20170815,36,36.5,35.75,36.25,5097200,36.5
20170816,36.5,37.5,36.25,37.5,13137400,37.5
20170817,37.5,38.75,37.25,38.75,11057900,38.25
20170818,38.25,38.25,37.75,38.25,5632200,38.5
20170821,38.5,39.25,38.25,38.75,8352800,38.75
20170822,38.75,38.75,37.25,37.75,7248900,38
20170823,38,38.5,37.75,37.75,6194600,37.75
20170824,37.75,38,37.75,38,1419700,38
20170825,38,38.5,37.75,38,4668600,38
20170828,38,38.75,38,38.25,5454300,38.25
20170829,38.25,39,37.75,38.25,16408200,38.25
20170830,38.25,38.5,37.25,38,9252200,38
20170831,38,38.25,37.75,38,5475300,38.5
20170901,38.5,39,38.25,38.25,17932100,38.25
20170904,38.25,38.5,38,38.25,7618900,38
20170905,38,38.75,38,38.5,6130900,38.5
20170906,38.5,39,38.25,38.5,7987200,38.5
20170907,38.5,39,38.25,38.5,9662200,38.75
20170908,38.75,38.75,38,38.25,15177300,38.5
20170911,38.5,39,38.25,38.5,20680000,37.5
20170912,37.5,38,37.25,38,6327500,38
20170913,38,38,37.25,37.25,6751300,37.25
20170914,37.25,38,37.25,38,4332900,38
20170915,38,38,37.5,38,4004500,38
20170918,38,38.25,37.75,38,4140000,38.25
20170919,38.25,38.25,37.5,37.75,3802500,38
20170920,38,38.5,37.75,38.25,5507500,38.5
20170921,38.5,38.75,37.5,37.75,19698100,37.75
20170922,37.75,38.25,37.5,37.75,5935900,38
20170925,38,39,38,38.75,15116400,39
20170926,39,39.25,38.5,39,13789300,38.75
20170927,38.75,39,38.5,38.75,5893200,38.75
20170928,38.75,40,38.75,39.5,23824400,39.75
20170929,39.75,40,39.5,40,8927800,40.25
20171002,40.25,42,40.25,42,17002000,42
20171003,42,42.75,41.5,42.75,14577200,42.75
20171004,42.75,42.75,41.75,42,12690800,41.75
20171005,41.75,42,41.25,41.75,6849800,41.75
20171006,41.75,42.75,41.75,42.5,9864600,42.5
20171009,42.5,42.75,42,42.5,6480500,42.5
20171010,42.5,42.5,40.75,41.75,18964400,42
20171011,42,42,41.25,41.5,7934200,41.5
20171012,41.5,42.25,41.5,42,10657100,42.5
20171016,42.5,43.75,42.25,43.25,19251800,43.5
20171017,43.5,44.5,42.75,43,14267500,43
20171018,43,43.25,42.5,42.75,7780400,42.75
20171019,42.75,42.75,41.5,41.5,13440100,41.25
20171020,41.25,41.75,40.75,41.5,10965000,41.75
20171024,41.75,42.5,41.5,42.5,10711200,42.75
20171025,42.75,42.75,41.75,42.5,6768600,42.75
20171027,42.75,42.75,41.75,42.5,11021400,42.5
20171030,42.5,42.5,41.75,42,6198100,42
20171031,42,42.75,41.75,41.75,7527300,42
20171101,42,42.25,40,40.5,18237800,40.25
20171102,40.25,40.5,39.5,39.5,16473200,39.75
20171103,39.75,40.25,39.5,40.25,5136000,40.25
20171106,40.25,40.25,39.5,40,6313100,40.25
20171107,40.25,40.25,39.75,40,6061000,39.75
20171108,39.75,40,39.5,39.5,4524000,39.75
20171109,39.75,40,39.5,39.5,4008300,39.25
20171110,39.25,39.5,39,39,6940800,38.75
20171113,38.75,39.25,38.75,38.75,4967400,38.5
20171114,38.5,38.75,37.25,37.5,20734700,37.75
20171115,37.75,37.75,37,37.25,10847200,37.25
20171116,37.25,37.5,36.75,37.25,11617700,37.5
20171117,37.5,37.5,36.75,37.25,14928400,37.5
20171120,37.5,38,37.25,37.75,13683800,37.75
20171121,37.75,38,37.25,37.5,6905600,37.75
20171122,37.75,38.75,37.5,38.25,13560400,38.5
20171123,38.5,38.75,38.25,38.5,6128700,38.5
20171124,38.5,38.75,37.5,37.75,7159300,37.75
20171127,37.75,38,37.25,37.5,4067500,37.5
20171128,37.5,38.5,37.25,38.5,5991600,38.5
20171129,38.5,38.5,38,38,6297900,38
20171130,38,38,37.25,37.5,7679500,37.75
20171201,37.75,37.75,37,37.5,5712600,37.5
20171204,37.5,37.75,37.25,37.5,3018000,37.5
20171206,37.5,37.75,37.25,37.75,2528500,37.75
20171207,37.75,37.75,37.25,37.5,3476400,37.5
20171208,37.5,38.25,37.25,37.5,9312900,37.75
20171212,37.75,38,37.5,37.75,3460900,38
20171213,38,38,37.5,38,4469700,38.5
20171214,38.5,39.25,38.25,39,15984800,39.25
20171215,39.25,40,39,39.75,12993700,39.75
20171218,39.75,40,39.5,40,6010900,40.25
20171219,40.25,40.75,39.75,40.5,14818100,40.5
20171220,40.5,40.75,40.25,40.5,5410200,40.5
20171221,40.5,40.5,39.25,39.75,12734800,39.5
20171222,39.5,40.5,39.5,40.25,4771600,40
20171225,40,40.75,40,40.5,3589300,40.75
20171226,40.75,41,40,41,10183400,41.25
20171227,41.25,41.25,40.75,40.75,4656600,40.75
20171228,40.75,40.75,40,40,5753400,40
20171229,40,41.5,40,40.75,15889600,41
20180103,41,41.75,40.75,41.75,10185500,41.75
20180104,41.75,41.75,41,41.75,7219200,41.75
20180105,41.75,41.75,41.25,41.5,8522000,41.25
20180108,41.25,41.5,40.5,40.75,7465000,40.5
20180109,40.5,40.75,40,40.5,7550500,41.25
20180110,41.25,41.75,40.75,41.25,15662000,41.5
20180111,41.5,42.25,41.25,42,14532000,42.5
20180112,42.5,43.25,42,43.25,23439100,43.5
20180115,43.5,43.75,42.75,42.75,16276500,42.5
20180116,42.5,42.75,42,42.25,8633200,42
20180117,42,42.25,41.5,42,9767500,42.25
20180118,42.25,42.75,41.5,41.5,12919300,41.25
