DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170104,23.2,23.4,22.9,23.3,29363700,DRAW,23.3
20170105,23.3,23.3,22.8,23,24443000,DRAW,23
20170106,23,23.1,22.7,22.7,29606000,UP,22.8
20170109,22.8,22.8,22.4,22.7,21020400,DOWN,22.6
20170110,22.6,22.7,22.4,22.5,18681200,DRAW,22.5
20170111,22.5,22.8,22.5,22.7,17250800,UP,22.8
20170112,22.8,22.9,22.7,22.8,6144300,DOWN,22.7
20170113,22.7,22.8,22.5,22.5,19649700,DRAW,22.5
20170116,22.5,22.7,22.5,22.5,13450300,DRAW,22.5
20170117,22.5,22.6,22.4,22.5,15813700,DRAW,22.5
20170118,22.5,22.5,22.3,22.3,14085700,DRAW,22.3
20170119,22.3,22.5,22.3,22.5,19204500,DOWN,22.4
20170120,22.4,22.5,22.2,22.3,25638600,UP,22.4
20170123,22.4,22.5,22.3,22.5,12411700,DRAW,22.5
20170124,22.5,22.5,22.3,22.4,19041400,UP,22.5
20170125,22.5,22.6,22.3,22.4,19250900,DRAW,22.4
20170126,22.4,22.6,22.3,22.5,35738000,DRAW,22.5
20170127,22.5,22.5,22.4,22.5,10348200,DOWN,22.4
20170130,22.4,22.4,22.2,22.2,13199500,DOWN,22.1
20170131,22.1,22.4,22.1,22.2,17153900,DRAW,22.2
20170201,22.2,22.4,22,22.1,28553100,DRAW,22.1
20170202,22.1,22.3,22,22,19649000,DOWN,21.9
20170203,21.9,22.1,21.6,21.7,40382900,DOWN,21.6
20170206,21.6,21.6,21.2,21.2,71461800,DRAW,21.2
20170207,21.2,21.4,21,21.3,59335000,DOWN,21.2
20170208,21.2,21.4,21.1,21.1,29556600,UP,21.2
20170209,21.2,21.4,21.1,21.3,22807300,UP,21.4
20170210,21.4,21.5,21.2,21.4,22997300,DRAW,21.4
20170214,21.4,21.5,21.2,21.3,25696800,UP,21.4
20170215,21.4,21.4,21,21,30009700,DRAW,21
20170216,21,21.1,20.9,20.9,26619400,UP,21
20170217,21,21.1,20.8,20.8,37624200,UP,20.9
20170220,20.9,21.2,20.8,21,25630700,DRAW,21
20170221,21,21.1,20.7,20.8,19548700,DRAW,20.8
20170222,20.8,20.9,20.5,20.8,30188700,DRAW,20.8
20170223,20.8,20.9,20.7,20.8,18108500,DOWN,20.7
20170224,20.7,20.8,20.3,20.5,34357600,DRAW,20.5
20170227,20.5,20.5,20.1,20.4,25247600,DRAW,20.4
20170228,20.4,20.5,20.1,20.1,22492100,DRAW,20.1
20170301,20.1,20.4,20,20.1,48181100,DRAW,20.1
20170302,20.1,20.2,19.9,20.1,43330200,DRAW,20.1
20170303,20.1,20.2,19.8,20,27576100,DRAW,20
20170306,20,20.2,19.9,20.1,34449100,DOWN,20
20170307,20,20.3,19.8,20.2,44339700,DRAW,20.2
20170308,20.2,20.3,20,20.3,23076800,UP,20.4
20170309,20.4,20.8,20.4,20.5,42085600,UP,20.6
20170310,20.6,20.6,20.3,20.4,18635500,DOWN,20.2
20170313,20.2,20.3,20.1,20.1,13028700,DRAW,20.1
20170314,20.1,20.2,19.9,19.9,35044500,UP,20
20170315,20,20,19.8,19.9,30455100,UP,20
20170316,20,20.3,19.8,19.8,30983200,UP,19.9
20170317,19.9,20.4,19.9,20.4,26468500,UP,20.5
20170320,20.5,20.8,20.4,20.6,33803100,DRAW,20.6
20170321,20.6,20.8,20.6,20.6,17537400,DOWN,20.5
20170322,20.5,20.8,20.4,20.7,21406900,DRAW,20.7
20170323,20.7,20.8,20.6,20.8,11846300,DOWN,20.7
20170324,20.7,20.9,20.7,20.9,15364800,DRAW,20.9
20170327,20.9,21.1,20.8,21,17594200,UP,21.1
20170328,21.1,21.2,20.9,21.2,15393500,DOWN,21.1
20170329,21.1,21.3,21,21.1,19597100,DRAW,21.1
20170330,21.1,21.3,21,21.3,26765200,DRAW,21.3
20170331,21.3,21.3,21,21.2,19169600,DOWN,21.1
20170403,21.1,21.2,20.8,20.8,22630000,DRAW,20.8
20170404,20.8,21.2,20.8,21.1,18115900,DRAW,21.1
20170405,21.1,21.2,20.9,21.1,14376400,DOWN,21
20170407,21,21,20.7,20.9,34118700,DOWN,20.8
20170410,20.8,20.9,20.7,20.8,9948300,DRAW,20.8
20170411,20.8,20.8,20.3,20.3,32812300,DRAW,20.3
20170412,20.3,20.5,20.3,20.5,10458800,DOWN,20.4
20170417,20.4,20.5,20.2,20.3,17299700,DRAW,20.3
20170418,20.3,20.4,20.2,20.2,11031000,DRAW,20.2
20170419,20.2,20.3,20.1,20.3,11189200,DRAW,20.3
20170420,20.3,20.3,19.9,20,30201300,DRAW,20
20170421,20,20,19.9,19.9,27374900,UP,20
20170424,20,20.5,19.9,20.3,35317800,UP,20.4
20170425,20.4,20.5,20.1,20.2,21726500,DRAW,20.2
20170426,20.2,20.3,20.1,20.3,17622700,DRAW,20.3
20170427,20.3,20.4,20.2,20.4,11320000,DRAW,20.4
20170428,20.4,20.4,20,20.3,25411000,DRAW,20.3
20170502,20.3,20.4,20.1,20.2,12045100,DRAW,20.2
20170503,20.2,20.3,20.1,20.2,12060600,UP,20.3
20170504,20.3,20.7,20.2,20.5,52886600,UP,20.6
20170505,20.6,20.7,20.5,20.5,23458800,UP,20.6
20170508,20.6,20.6,20.4,20.5,16264700,DOWN,20.4
20170509,20.4,20.6,20.3,20.5,12506300,DOWN,20.4
20170511,20.4,20.5,20,20.4,29662700,DRAW,20.4
20170512,20.4,20.7,20.2,20.7,24320100,DRAW,20.7
20170515,20.7,20.7,20.4,20.6,22057000,DOWN,19.4
20170516,19.4,19.6,19.2,19.3,216277400,DRAW,19.3
20170517,19.3,19.4,18.6,18.8,104992700,DOWN,18.7
20170518,18.7,19,18.6,18.6,63408500,DRAW,18.6
20170519,18.6,18.6,18.2,18.2,113672300,UP,18.3
20170522,18.3,18.6,18.3,18.3,75756000,UP,18.4
20170523,18.4,18.5,18.3,18.4,48596900,DOWN,18.3
20170524,18.3,18.4,18.1,18.2,50755800,UP,18.3
20170525,18.3,18.8,18.3,18.6,60467800,UP,18.7
20170526,18.7,18.9,18.6,18.6,29486600,UP,18.7
20170529,18.7,18.8,18.5,18.6,17267600,DRAW,18.6
20170530,18.6,18.6,18.5,18.6,25356400,DRAW,18.6
20170531,18.6,18.8,18.6,18.6,31085300,DRAW,18.6
20170601,18.6,18.7,18.5,18.5,15320400,DRAW,18.5
20170602,18.5,18.7,18.3,18.6,31966900,DRAW,18.6
20170605,18.6,18.8,18.5,18.8,27063200,DOWN,18.7
20170606,18.7,19.1,18.6,19.1,39168400,DRAW,19.1
20170607,19.1,19.5,19,19.4,43057700,DOWN,19.3
20170608,19.3,19.4,19.1,19.2,20406800,DRAW,19.2
