DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,7.5,7.55,7.45,7.5,84200000,7.55
20170105,7.55,7.55,7.45,7.5,72730800,7.55
20170106,7.55,7.7,7.5,7.55,238239000,7.6
20170109,7.6,7.6,7.5,7.5,59529400,7.5
20170110,7.5,7.65,7.5,7.65,41913500,7.65
20170111,7.65,7.7,7.55,7.6,54236700,7.6
20170112,7.6,7.65,7.5,7.55,30603800,7.55
20170113,7.55,7.65,7.5,7.65,24744800,7.6
20170116,7.6,7.65,7.45,7.5,79086900,7.5
20170117,7.5,7.55,7.45,7.5,20448200,7.5
20170118,7.5,7.55,7.4,7.45,34391900,7.45
20170119,7.45,7.45,7.3,7.35,81948400,7.35
20170120,7.35,7.45,7.3,7.4,36632000,7.4
20170123,7.4,7.4,7.3,7.35,46771200,7.35
20170124,7.35,7.35,7.25,7.3,79085600,7.3
20170125,7.3,7.35,7.2,7.2,87807200,7.2
20170126,7.2,7.25,7.05,7.05,146714900,7.1
20170127,7.1,7.2,7.05,7.2,58227600,7.2
20170130,7.2,7.2,7.05,7.1,53190000,7.1
20170131,7.1,7.1,7,7.05,75179300,7
20170201,7,7.1,7,7,43854800,7
20170202,7,7.1,7,7,49981100,7
20170203,7,7.15,6.95,7.15,108805400,7.15
20170206,7.15,7.2,7,7,84089700,7
20170207,7,7.1,6.95,7.05,59700200,7.1
20170208,7.1,7.2,7,7.1,84776600,7.1
20170209,7.1,7.15,7.05,7.1,54800100,7.15
20170210,7.15,7.25,7.1,7.2,74520200,7.25
20170214,7.25,7.25,7,7.05,91801200,7.1
20170215,7.1,7.15,7.05,7.1,43116500,7.15
20170216,7.15,7.2,7.05,7.15,56322100,7.15
20170217,7.15,7.2,7.1,7.15,35052400,7.15
20170220,7.15,7.2,7.1,7.2,19376200,7.2
20170221,7.2,7.2,7.1,7.1,22305400,7.1
20170222,7.1,7.15,7.05,7.15,34832200,7.1
