DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,180.5,185,179.5,185,1401100,185
20170105,185,185,182,185,1149900,185
20170106,185,186,182.5,185,1269900,185
20170109,185,185,183,183,530500,183
20170110,183,185,181.5,184.5,823200,183
20170111,183,185,183,184.5,865500,184.5
20170112,184.5,185.5,183.5,183.5,338800,184.5
20170113,184.5,185,183.5,184.5,499400,184.5
20170116,184.5,184.5,182.5,184,495300,184
20170117,184,184.5,182,183,577000,182.5
20170118,182.5,183,181,181,753100,181
20170119,181,181,179.5,180,1049100,179.5
20170120,179.5,180.5,178.5,179.5,1275700,180.5
20170123,180.5,181,178,180.5,1172100,180.5
20170124,180.5,182,178.5,181.5,632700,182
20170125,182,182.5,181,182,315300,181.5
20170126,181.5,184,181,183,939500,182
20170127,182,183.5,181,181,477900,180.5
20170130,180.5,183,180,180.5,567600,179.5
20170131,179.5,181.5,179,179,1146500,178.5
20170201,178.5,181.5,178.5,179,773600,181
20170202,181,182.5,180,181,879900,181
20170203,181,181.5,178.5,180,798200,181
20170206,181,181,179,180.5,555400,179
20170207,179,180,178.5,179,730100,178.5
20170208,178.5,183.5,178.5,183,1436800,183
20170209,183,184.5,181.5,183.5,826600,183.5
20170210,183.5,187,183.5,186,1909600,187
20170214,187,188,183.5,184,775600,186
20170215,186,186,182.5,184.5,679500,183
20170216,183,185,183,184.5,685700,185
20170217,185,185,183,183.5,294000,183.5
20170220,183.5,184,181.5,181.5,227700,181.5
20170221,181.5,183.5,181,181,412300,182.5
20170222,182.5,183.5,181,183,840900,183
20170223,183,183,180.5,181.5,685000,181.5
20170224,181.5,182.5,180.5,181,457700,179.5
20170227,179.5,180.5,176.5,177,764600,177
20170228,177,178,176,176,865600,178
20170301,178,179,176.5,177.5,575800,178.5
20170302,178.5,178.5,175.5,175.5,1084900,176
20170303,176,178,174.5,174.5,863300,175
20170306,175,177,174.5,177,856300,176.5
20170307,176.5,178.5,175.5,176.5,576600,176
20170308,176,178.5,175.5,178,1152900,177
20170309,177,179,177,178,487000,176.5
20170310,176.5,179,176.5,178,546200,176
20170313,176,180,176,180,1030400,180
20170314,180,181.5,177,177,1177000,177.5
20170315,177.5,181.5,177.5,180,912100,179.5
20170316,179.5,183,178.5,180,1142800,180
20170317,180,181,178,180.5,731300,182
20170320,182,182,180,180,359200,180
20170321,180,182,180,182,439300,180
20170322,180,180.5,178,178,1449000,178
20170323,178,179,176,177.5,1014800,176.5
20170324,176.5,178.5,176.5,177.5,548200,177
20170327,177,178,176,177,674900,176.5
20170328,176.5,179,176.5,179,668000,179.5
20170329,179.5,180.5,178.5,180.5,617300,179
20170330,179,182,179,181.5,981800,181
20170331,181,183,180,183,607500,183
20170403,183,183,180,180,498200,180.5
20170404,180.5,183,179.5,183,511800,183
20170405,183,183,180,180.5,587300,180.5
20170407,180.5,180.5,178.5,179.5,1124600,179.5
20170410,179.5,181.5,179.5,181,593800,181.5
20170411,181.5,181.5,179.5,180,308000,180
20170412,180,181.5,179.5,181,288400,181
20170417,181,181.5,177.5,178,1198300,177.5
20170418,177.5,178,175,175.5,1423800,175
20170419,175,177,174,176,1198100,177
20170420,177,177.5,175.5,176,860300,176
20170421,176,176,173.5,173.5,989600,173.5
20170424,173.5,177,173.5,176.5,469800,178
20170425,178,178,174.5,176,874100,175
20170426,175,177,175,177,788100,177
20170427,177,178,176.5,177.5,684400,178.5
20170428,178.5,178.5,175.5,175.5,728700,175.5
20170502,175.5,176.5,174,175,1012100,175
20170503,175,177,174.5,176.5,297800,176.5
20170504,176.5,179,175.5,178,746000,178
20170505,178,181.5,177,181.5,1185900,181
20170508,181,182.5,180.5,181.5,711900,182
20170509,182,184.5,181,183,1140900,183
20170511,183,184,182,183,1211400,183
20170512,183,184.5,182.5,184,710000,184
