DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,50.25,50.75,49.5,49.5,10372300,49.5
20170105,49.5,49.75,48.75,49,8820500,49.25
20170106,49.25,49.75,49,49.5,4538900,49.5
20170109,49.5,49.75,48.25,48.5,5840800,48.5
20170110,48.5,49,47.5,47.5,11166200,48
20170111,48,49.25,47.75,48.25,15746200,48.75
20170112,48.75,48.75,48,48.25,5440800,48.25
20170113,48.25,49.25,48.25,49.25,4666900,49.25
20170116,49.25,49.25,48.75,49,2732100,49.25
20170117,49.25,49.75,48.25,48.5,8904500,48.5
20170118,48.5,49.75,48.5,49,7262100,49
20170119,49,49,48.25,48.25,3728100,48.25
20170120,48.25,49,48.25,48.75,2021500,49
20170123,49,50.75,48.75,50.5,11667800,51
20170124,51,52,50.5,51.5,18042400,52
20170125,52,52,50.5,50.75,9822500,51.5
20170126,51.5,52,50.75,52,9018700,52
20170127,52,52,51,51.5,2884300,51.25
20170130,51.25,51.75,50.75,51,3352000,50.75
20170131,50.75,51,50,50,3033000,50
20170201,50,51,49,49,7094600,49.25
20170202,49.25,50,48.25,48.5,8673400,48.25
20170203,48.25,49.5,48.25,49.25,3619700,49.75
20170206,49.75,50.5,49.5,50,8038700,49.75
20170207,49.75,50.25,49.5,50,6607200,49.75
20170208,49.75,50.75,49.75,50.75,5156500,50.75
20170209,50.75,50.75,49.5,49.5,6486400,49.75
20170210,49.75,50.25,49.75,50.25,4534700,49.75
20170214,49.75,50.25,49.75,50.25,5393500,50.25
20170215,50.25,50.5,49.5,50,6457700,49.75
20170216,49.75,50,48,48.25,20686100,48
20170217,48,48,47,47,15630300,47
20170220,47,47.5,46.25,46.25,7461300,46
20170221,46,46.75,45.25,45.5,10395000,45.75
20170222,45.75,47,45.25,47,9045200,47
20170223,47,48,46.75,48,6949300,47.5
20170224,47.5,48,47.25,47.5,3728500,47
20170227,47,47.75,46.5,47.75,4876400,47.5
20170228,47.5,47.5,45.5,46,11879400,45.75
20170301,45.75,46.25,45.25,45.75,6879100,46
20170302,46,46.75,45.5,46,5844500,46
20170303,46,46.5,45.75,45.75,5037100,45.75
20170306,45.75,46.5,45.5,45.5,5495800,45.5
20170307,45.5,46.25,45.25,46.25,5122900,45.75
20170308,45.75,46.25,45.75,46.25,2383600,46
20170309,46,46.25,45.75,46.25,818700,46.25
20170310,46.25,46.5,46,46,1752500,46
20170313,46,46.75,45.75,46.25,7167000,46.25
20170314,46.25,46.5,45.75,46.5,4605700,46.5
20170315,46.5,46.5,45.75,45.75,3279300,46.25
20170316,46.25,46.25,45.5,46,3511200,46.25
20170317,46.25,48,46.25,47.5,13960300,47.25
20170320,47.25,48,47,48,5593900,48
20170321,48,48,47.25,47.5,5899300,47.25
20170322,47.25,47.5,47,47.25,1532700,47.5
20170323,47.5,47.5,46.75,47.25,2351100,47.25
20170324,47.25,47.5,47,47.25,956700,47.25
20170327,47.25,47.5,46.75,47,1685100,47
20170328,47,47,46.5,46.5,3771000,46.75
20170329,46.75,47.75,46.5,47.5,3854000,47.5
20170330,47.5,47.5,46.75,47,3053200,47.25
20170331,47.25,47.25,46.5,46.5,4339800,46.75
20170403,46.75,47,46,46.25,2415400,46.25
20170404,46.25,46.5,45.75,46.25,3967100,46.5
20170405,46.5,47,46.25,46.75,5300300,46.5
20170407,46.5,47.25,46,47.25,4560900,47
20170410,47,47,46.25,46.5,3481800,46.75
20170411,46.75,46.75,45.75,46,8324000,46
20170412,46,46.5,45.75,45.75,6854900,45.75
20170417,45.75,46,44.75,45.5,5839800,45.75
20170418,45.75,46,45.25,45.5,1880200,45.75
20170419,45.75,45.75,44,44.25,6182700,44
20170420,44,44.5,42.5,42.75,10070800,43
20170421,43,43.5,41.75,43,17270000,43
20170424,43,43.75,42.75,43.25,8425400,43.75
20170425,43.75,43.75,42.25,43,4102400,43
20170426,43,43.25,42.5,42.75,2456700,42.75
20170427,42.75,43.5,42.5,43.5,2566400,43.5
20170428,43.5,43.75,42.5,43.5,5031600,43.5
20170502,43.5,43.5,43,43.25,1247600,43.25
20170503,43.25,44,43.25,43.25,4214200,43.5
20170504,43.5,44.5,43.25,44,10248700,44
20170505,44,44.25,43.75,44,4678800,43.75
20170508,43.75,44,43.25,43.5,3617000,43.5
20170509,43.5,43.75,43,43,3210300,43.5
20170511,43.5,44,43,43.75,4018700,43.5
20170512,43.5,44.5,43.25,44.5,7292200,44
20170515,44,44.25,43,43.25,2386100,43.25
20170516,43.25,44,42.75,43.75,2777100,43.5
20170517,43.5,43.75,42.5,42.5,2846800,42.5
20170518,42.5,43.25,42.25,42.75,4595400,42.75
20170519,42.75,43,42,42.25,2938200,42.75
20170522,42.75,44.75,42.75,44.5,12050000,45.25
20170523,45.25,46,45.25,45.5,11131300,45.25
20170524,45.25,45.75,44.75,45.5,5183200,45.5
20170525,45.5,45.75,45.25,45.75,1412100,45.75
20170526,45.75,45.75,45.25,45.75,1161600,45.75
20170529,45.75,45.75,44.75,45.25,1981300,45
20170530,45,45.5,45,45.5,1196400,45.5
20170531,45.5,46.75,45.5,45.75,14111700,45.75
20170601,45.75,46.75,45.75,46.5,7232400,46.75
20170602,46.75,47,46.5,46.5,3594500,46.75
20170605,46.75,47,46.5,46.75,2556500,46.75
20170606,46.75,47,46.25,47,3034200,47
20170607,47,47,46.25,46.5,2364700,46.5
20170608,46.5,46.75,46.25,46.5,1276400,46.75
20170609,46.75,46.75,46,46,1906800,46.25
20170612,46.25,46.5,45.75,46,1773500,45.75
20170613,45.75,46,45.5,46,2588700,46
20170614,46,46.25,45.25,45.75,3961700,45.75
20170615,45.75,47,45.5,46.75,12307900,46.5
20170616,46.5,46.75,45.75,46.5,5566300,46.75
20170619,46.75,46.75,46.25,46.75,2752500,46.75
20170620,46.75,46.75,45.75,46,3667000,46
20170621,46,46,45,45.5,3809700,45.75
20170622,45.75,46,45.5,45.5,955900,45.75
20170623,45.75,46,45.5,45.5,1652700,45.75
20170626,45.75,46.75,45.75,46.5,6602000,46.75
20170627,46.75,47,46.25,47,6251000,47
20170628,47,47.5,46.5,47.5,9257100,47.25
20170629,47.25,47.75,46.75,47.25,6241400,47
20170630,47,47.75,46.5,47.75,15022500,47.75
20170703,47.75,48,47,48,9045300,48
20170704,48,48,46.75,47.25,5952200,47
20170705,47,47.25,46.5,47,3048500,47
20170706,47,47,46.5,47,2112800,46.75
20170707,46.75,47,46.5,46.75,1216300,46.75
20170711,46.75,46.75,45.5,45.5,4829300,45.5
20170712,45.5,46.25,45.25,46,5690400,46
20170713,46,46.25,45.75,46,4909100,46
20170714,46,46.25,45.75,46,3864100,46
20170717,46,46.75,45.75,46.75,4677100,46.75
20170718,46.75,46.75,45.5,46,5242400,46
20170719,46,46,45.5,46,3113700,45.75
20170720,45.75,46,45.5,45.75,1601900,45.5
20170721,45.5,45.75,45.25,45.5,2619800,45.5
20170724,45.5,46,45.5,45.75,1953600,45.75
20170725,45.75,45.75,45.25,45.75,3464800,45.5
20170726,45.5,46.25,45.5,46,2636000,46
20170727,46,46,45.5,45.75,2383900,45.75
20170731,45.75,46.25,45.5,46.25,2466200,46.25
20170801,46.25,46.25,46,46,1413700,46.25
20170802,46.25,46.5,46,46.25,1549500,46.25
20170803,46.25,46.25,44.25,44.5,8716400,44.75
20170804,44.75,45.5,44.5,45,3272700,45.25
20170807,45.25,45.25,44.25,44.5,4734500,44.5
20170808,44.5,45,44.25,44.5,1828900,44.25
20170809,44.25,44.5,44.25,44.5,1197700,44.5
20170810,44.5,44.5,44.25,44.5,476500,44.25
20170811,44.25,44.5,44,44.5,1975300,44.5
20170815,44.5,44.75,44.25,44.25,1239600,44.5
20170816,44.5,44.5,43,44.5,4708500,44.5
20170817,44.5,44.5,44,44.25,1872500,44
20170818,44,44.75,43.5,44.25,3711300,44.25
20170821,44.25,45.75,44.25,45,4385600,45
20170822,45,45.25,44.75,45,2307900,45
20170823,45,45.75,44.5,45,2807300,45
20170824,45,45.75,44,45.25,7390700,45.5
20170825,45.5,45.5,45,45.25,2635100,45.5
20170828,45.5,47.25,45.5,47.25,14951100,47.25
20170829,47.25,49,47,48.5,19338300,49
20170830,49,49,48,48,7315200,48
20170831,48,49.5,48,49.25,11629100,49.25
20170901,49.25,49.5,48.25,48.25,3784600,48.25
20170904,48.25,49,48,48.5,3572000,48.5
20170905,48.5,49,48,48.5,3544600,48.5
20170906,48.5,48.75,48.25,48.5,2673500,48.5
20170907,48.5,51.75,48.5,51.5,23971500,51.75
20170908,51.75,52,50,50.5,11839600,50.5
20170911,50.5,52,50.5,51.5,7981200,51.75
20170912,51.75,52.5,51.75,52,9098900,52.25
20170913,52.25,52.25,51.5,52,4794100,52
20170914,52,52.5,51.75,52.5,3738000,52.5
20170915,52.5,52.5,50.75,50.75,11031300,51.25
20170918,51.25,52.5,51,52.5,9770400,52.5
20170919,52.5,52.5,51.25,51.75,5234400,51.5
20170920,51.5,53,51,53,8400400,52.5
20170921,52.5,52.75,52,52.25,2754800,52
20170922,52,52,51.25,51.25,3596700,51.5
20170925,51.5,52.5,51,52,5984000,52.25
20170926,52.25,53.5,52.25,53.25,12162200,53.25
20170927,53.25,53.25,52.25,52.5,4913100,52.75
20170928,52.75,53.75,51.5,52.5,11721600,52.25
20170929,52.25,52.75,51.5,52.75,7073100,53
20171002,53,53.5,52.5,52.75,6097100,52.75
20171003,52.75,53.5,52.5,53.25,4907800,53.25
20171004,53.25,53.5,52.25,52.5,4490100,52.5
20171005,52.5,53,52.25,53,3330900,53
20171006,53,53,52.25,52.5,2574600,52.5
20171009,52.5,52.75,51.75,51.75,5477700,52.25
20171010,52.25,53.75,52,53.25,9616000,53.5
20171011,53.5,55,53.25,54.5,11826200,54.5
20171012,54.5,54.5,53.25,53.75,5316400,53.75
20171016,53.75,54,53.25,53.5,4648300,53.25
20171017,53.25,54,53,53.5,5566200,53.5
20171018,53.5,55,53,54.5,12470900,54.25
20171019,54.25,54.75,51.75,52.25,14038100,52.25
20171020,52.25,53.75,52,53.5,9056600,53.5
20171024,53.5,54.25,52.75,53.25,5506100,53.5
20171025,53.5,54,53.25,54,3958100,54
20171027,54,54.5,54,54,3291000,54
20171030,54,54.5,53.25,53.75,8170600,54
20171031,54,54,53.25,53.5,3862700,53.75
20171101,53.75,54,52,52.75,10670300,52.25
20171102,52.25,53.5,52.25,53,4485800,53
20171103,53,53,50.75,51.75,5650800,51.5
20171106,51.5,53,50.5,52.75,5201200,53.5
20171107,53.5,53.75,52.5,53.25,7119000,53.25
20171108,53.25,53.25,52.25,52.5,2766900,53
20171109,53,53,51.5,52.25,3162800,52
20171110,52,52.25,51.5,52,3542500,51.75
20171113,51.75,51.75,51,51.25,3550600,51.25
20171114,51.25,51.75,50.75,51.5,3848400,52.5
20171115,52.5,55,52.5,54.25,27146400,54.5
20171116,54.5,56.75,54.25,56.75,22324300,57
20171117,57,57,56,57,12435300,57.25
20171120,57.25,58,57,57.75,7889900,57.5
20171121,57.5,57.75,56.5,57,4490900,57
20171122,57,57.25,56.75,57,2415600,57.25
20171123,57.25,59.75,57,59.75,21627800,59.25
20171124,59.25,59.75,57.5,58.25,10742400,58
20171127,58,59.25,56.75,58.75,5536600,59
20171128,59,60.5,58.5,60.5,10478600,60.5
20171129,60.5,60.5,58.75,58.75,5569800,58.5
20171130,58.5,59,57.5,58,6834000,58.25
20171201,58.25,59,58,58.25,2320100,58.25
20171204,58.25,59.25,57.25,58,4231500,57.5
20171206,57.5,58.5,57.25,57.75,3447700,57.5
20171207,57.5,59.5,57.25,59.25,5719300,59.5
20171208,59.5,59.5,58.25,58.5,3357600,58.25
20171212,58.25,58.75,57.25,57.5,4851300,57.25
20171213,57.25,58.75,56.75,57.75,4828700,58.25
20171214,58.25,59.5,57.75,58.25,7754200,58.25
20171215,58.25,58.5,57.75,58.5,3292000,58.75
20171218,58.75,59.75,58.5,59.5,5199100,60.25
20171219,60.25,62.25,60,61.75,14146200,61.5
20171220,61.5,61.75,60.75,61,4340300,61
20171221,61,61.5,60.75,61.5,4172500,61.5
20171222,61.5,62.25,61,61.25,5227500,61.25
20171225,61.25,62,61.25,61.75,4811000,62
20171226,62,63.75,61.5,63.5,9018500,63.75
20171227,63.75,65.75,63.5,64.75,11334700,64.5
20171228,64.5,65,63,65,7157100,64.75
20171229,64.75,66,63.75,66,9198500,65.75
20180103,65.75,66,64.5,65.25,10065100,65.75
20180104,65.75,66,64,64.25,14019500,64
