DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,8.6,8.7,8.6,8.7,21218100,8.75
20170105,8.75,8.75,8.6,8.65,26683800,8.65
20170106,8.65,8.7,8.6,8.6,18723200,8.65
20170109,8.65,8.7,8.6,8.7,15143800,8.7
20170110,8.7,8.7,8.6,8.7,27843900,8.7
20170111,8.7,8.75,8.65,8.65,29821700,8.7
20170112,8.7,8.7,8.65,8.65,15774800,8.65
20170113,8.65,8.7,8.6,8.65,17164500,8.65
20170116,8.65,8.65,8.6,8.6,9377000,8.65
20170117,8.65,8.65,8.6,8.6,11112000,8.65
20170118,8.65,8.65,8.55,8.55,24959700,8.45
20170119,8.45,8.5,8.4,8.45,25757000,8.45
20170120,8.45,8.5,8.4,8.45,19535000,8.45
20170123,8.45,8.5,8.4,8.5,22181000,8.5
20170124,8.5,8.5,8.4,8.4,17766100,8.45
20170125,8.45,8.5,8.45,8.5,13539400,8.5
20170126,8.5,8.5,8.4,8.5,20116900,8.5
20170127,8.5,8.5,8.45,8.5,12645500,8.45
20170130,8.45,8.5,8.4,8.5,8414900,8.45
20170131,8.45,8.45,8.35,8.35,30804400,8.35
20170201,8.35,8.45,8.35,8.35,26936200,8.35
20170202,8.35,8.4,8.3,8.35,24323600,8.35
20170203,8.35,8.4,8.3,8.35,15649500,8.4
20170206,8.4,8.4,8.3,8.3,27245000,8.3
20170207,8.3,8.35,8.3,8.3,18218500,8.3
20170208,8.3,8.35,8.25,8.35,23347300,8.3
20170209,8.3,8.4,8.3,8.35,17308400,8.4
20170210,8.4,8.5,8.4,8.45,45050500,8.5
20170214,8.5,8.5,8.3,8.35,23491000,8.35
20170215,8.35,8.35,8.2,8.25,37824000,8.25
20170216,8.25,8.3,8.25,8.25,12655000,8.3
20170217,8.3,8.3,8.2,8.25,27076000,8.25
20170220,8.25,8.4,8.2,8.35,17420200,8.35
20170221,8.35,8.4,8.3,8.35,6444200,8.35
20170222,8.35,8.35,8.25,8.3,22636800,8.3
20170223,8.3,8.3,8.25,8.3,14626200,8.3
20170224,8.3,8.35,8.25,8.3,19301300,8.3
20170227,8.3,8.3,8.2,8.25,19214500,8.25
20170228,8.25,8.3,8.2,8.2,21051600,8.2
20170301,8.2,8.3,8.2,8.25,12369700,8.3
20170302,8.3,8.35,8.25,8.3,16136400,8.35
20170303,8.35,8.4,8.3,8.35,13588700,8.4
20170306,8.4,8.4,8.3,8.35,19847500,8.35
20170307,8.35,8.35,8.25,8.3,15820800,8.3
20170308,8.3,8.3,8.25,8.25,11638900,8.3
20170309,8.3,8.35,8.25,8.3,12630800,8.3
20170310,8.3,8.35,8.25,8.25,14085300,8.3
20170313,8.3,8.3,8.2,8.25,16235300,8.25
20170314,8.25,8.3,8.2,8.25,12797700,8.25
20170315,8.25,8.3,8.2,8.2,17104700,8.25
20170316,8.25,8.3,8.2,8.25,16780800,8.3
20170317,8.3,8.3,8.2,8.25,29143200,8.25
20170320,8.25,8.3,8.25,8.3,13908500,8.25
20170321,8.25,8.3,8.25,8.25,15201200,8.25
20170322,8.25,8.35,8.2,8.35,20078200,8.35
20170323,8.35,8.35,8.25,8.3,23360600,8.25
20170324,8.25,8.4,8.25,8.35,23500000,8.35
20170327,8.35,8.45,8.35,8.4,32158600,8.45
20170328,8.45,8.5,8.4,8.4,22159400,8.45
20170329,8.45,8.5,8.35,8.35,27345300,8.35
20170330,8.35,8.45,8.35,8.45,23436100,8.4
20170331,8.4,8.5,8.4,8.45,13167600,8.5
20170403,8.5,8.5,8.45,8.5,10985600,8.6
20170404,8.6,8.6,8.55,8.55,18965800,8.6
20170405,8.6,8.65,8.55,8.55,46360400,8.55
20170407,8.55,8.55,8.5,8.5,20955200,8.5
20170410,8.5,8.5,8.4,8.45,15450000,8.5
20170411,8.5,8.55,8.45,8.5,9585900,8.45
20170412,8.45,8.5,8.4,8.5,12853800,8.5
