DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,77,78,76.25,76.25,4449500,76.5
20170105,76.5,77.25,76.5,76.75,3071400,76.75
20170106,76.75,78.5,76.5,77.25,5159400,77.5
20170109,77.5,77.75,76,76,2646300,75.75
20170110,75.75,79.5,75.75,79,6350400,79
20170111,79,80.5,79,79.25,7091700,79.75
20170112,79.75,80.75,79.25,80,4167500,80
20170113,80,80.25,79.5,79.75,1776200,79.75
20170116,79.75,80,79,79.25,1852500,79.25
20170117,79.25,80.5,79,79.25,3313400,79.75
20170118,79.75,79.75,77.25,77.25,5361800,77
20170119,77,77.5,73.5,75.5,6719500,75.75
20170120,75.75,77.5,75.5,77,3714200,77.25
20170123,77.25,77.5,76.25,77,1374500,77.25
20170124,77.25,77.75,76.5,76.75,2645100,77
20170125,77,78.25,76.25,76.5,4180100,77
20170126,77,77.5,76.25,76.5,2346500,76.75
20170127,76.75,76.75,75,75.5,2354100,75.5
20170130,75.5,75.75,74.75,74.75,1462100,74.5
20170131,74.5,76,74.25,75.25,2390900,75.25
20170201,75.25,76.25,75,75,1240400,75.25
20170202,75.25,75.75,74.25,74.25,2438900,74.5
20170203,74.5,77,74.5,77,3857400,77.5
20170206,77.5,78,76.25,76.5,3689500,76.75
20170207,76.75,77.25,75.5,75.75,1708400,75.75
20170208,75.75,76.25,75.25,75.25,2420500,75.5
20170209,75.5,75.75,74.5,75,1565600,75
20170210,75,75.75,75,75.25,1540200,75.75
20170214,75.75,76.25,75,75.5,1885600,75.5
20170215,75.5,75.75,73.5,74.75,2474700,75
20170216,75,75,74,74.75,1227000,75.25
20170217,75.25,75.25,74.25,74.25,1324800,74.25
20170220,74.25,74.75,73,73,2278300,73
20170221,73,73,70.5,70.5,3764600,71
20170222,71,71.5,69,69.5,4041200,69.75
20170223,69.75,69.75,66.5,67.25,14211500,67.5
20170224,67.5,68.25,62.75,64.5,32037800,64
20170227,64,65.5,62,64.5,20786400,65
20170228,65,65.75,64.25,64.25,9247500,64.5
20170301,64.5,64.75,59.5,59.5,22395900,60.5
20170302,60.5,62,59.5,60,24918800,60
20170303,60,60.5,59,59.5,8929600,59.25
20170306,59.25,60.5,59,59,4266200,58.75
20170307,58.75,58.75,56.25,57.25,7100300,57
20170308,57,57.75,55.5,57,5216300,56.75
20170309,56.75,60.25,56.25,60.25,11295000,60.25
20170310,60.25,60.5,56,56,8437000,56
20170313,56,56,50.5,52.75,12828700,52.5
20170314,52.5,57,52.5,57,8368700,57
20170315,57,58.5,56,56.25,5967100,55.75
20170316,55.75,57.25,54,56.25,6598100,56.5
20170317,56.5,57,56,56.5,2917400,57
20170320,57,57.75,56.5,56.5,2538300,56.5
20170321,56.5,57.25,56,56,2696300,55.75
20170322,55.75,56.5,55.5,56.5,992000,56.5
20170323,56.5,57,55.75,56.5,3137700,56
20170324,56,58.25,56,57.75,3330900,57.75
20170327,57.75,58,57,57.5,1972800,57.5
20170328,57.5,57.75,57,57.5,912500,57.5
20170329,57.5,58.75,57.5,58.5,4284300,59
20170330,59,63.25,58.25,62.75,23629300,62.75
20170331,62.75,62.75,61.25,61.25,4971000,61.5
20170403,61.5,62.25,61.25,62,3182400,62.25
20170404,62.25,62.5,61.25,61.25,4635300,61.25
20170405,61.25,62.5,61.25,61.5,4445500,61.5
20170407,61.5,64.25,61.5,64.25,8649600,64
20170410,64,67,63,67,9654300,67
20170411,67,68.75,66.25,68,9517900,68
20170412,68,68,65.5,65.75,8777500,65.25
20170417,65.25,66.75,63.5,66.25,5780100,66.25
20170418,66.25,67.25,65.5,65.5,3098000,65.5
20170419,65.5,66.25,64.75,65.5,2070500,65.25
20170420,65.25,66.25,65,65.25,2964100,65.75
20170421,65.75,66.5,65.5,65.5,1943000,66
20170424,66,66,64.75,64.75,2295900,65.5
20170425,65.5,67,65,65.75,11894100,66.5
20170426,66.5,67,65.25,65.5,6804200,65.5
20170427,65.5,66.25,65.25,65.5,2545800,65.25
20170428,65.25,66.25,65.25,65.75,1848500,66
20170502,66,66.25,65.5,66,1885800,66.25
20170503,66.25,66.25,65.5,65.75,1413500,65.5
20170504,65.5,66.25,65,65.25,3115600,66
20170505,66,66.5,65,65.25,6632000,65.5
20170508,65.5,66,65.25,65.5,2518200,65.5
20170509,65.5,66.5,62.25,62.25,11324900,61.25
20170511,61.25,61.5,60,60,6044900,60
20170512,60,61.25,59.25,60.75,3367500,60
20170515,60,62.75,60,62.5,6143800,62.5
20170516,62.5,63,60.75,62,8094900,62
20170517,62,64.25,61.25,63.25,9230100,63.5
20170518,63.5,64.75,63.25,64.75,6939500,64.75
20170519,64.75,64.75,63.75,63.75,3675200,64
20170522,64,66,63.75,65.5,10012500,65.75
20170523,65.75,67.75,65.5,67.5,9793500,67.5
20170524,67.5,70.25,67.5,69.75,8533000,70.25
20170525,70.25,70.5,68.5,68.75,4210200,69
20170526,69,70.75,69,69.25,6452200,69.25
20170529,69.25,69.75,68.25,68.5,1890300,68.5
20170530,68.5,69.25,68,68.5,2571700,68.5
20170531,68.5,69.25,68.5,68.75,1489600,68.5
20170601,68.5,70.5,68.5,70.5,4371000,70.75
20170602,70.75,74.25,70.5,74,11849500,74
20170605,74,74.75,73.75,74.5,4263100,74.75
20170606,74.75,75.25,73.75,73.75,2064600,74.25
20170607,74.25,75.75,74,74.75,4596400,74.5
20170608,74.5,74.75,72.75,73.25,4403200,73.25
20170609,73.25,74.75,73,73.5,3685300,73.5
20170612,73.5,74,72,72.25,2303700,72.25
20170613,72.25,73.25,71.25,72.5,3517300,72.5
20170614,72.5,73.5,72.5,72.75,1763500,72.75
20170615,72.75,74,72.25,74,3366200,73.75
20170616,73.75,74,72.25,72.25,3642600,72
20170619,72,72.25,69.5,70,7916400,70
20170620,70,71,68.25,69,8760400,69.25
20170621,69.25,70.5,69.25,70,3908300,70
20170622,70,70.5,69,69,2932300,69.5
20170623,69.5,70.5,69,69,3234000,69.5
20170626,69.5,70.75,69.25,70.75,5138000,71
20170627,71,71.5,70,70,6422500,70
20170628,70,70.5,69.5,69.5,2299600,69.75
20170629,69.75,70,68.5,68.5,3579300,68.5
20170630,68.5,69,68.25,68.5,4012300,68.75
20170703,68.75,69.25,68.5,68.5,2286000,68.75
20170704,68.75,68.75,66.5,66.5,5681900,66.5
20170705,66.5,68,66,67.75,2447700,68
20170706,68,68.25,67.5,67.75,1717700,67.75
20170707,67.75,67.75,66.5,66.5,2549800,67
20170711,67,67,66,66,1475200,66.25
20170712,66.25,66.75,66,66.5,2614400,66.5
20170713,66.5,67.25,66.25,66.25,2323900,66.5
20170714,66.5,69.5,66.5,69.5,5274600,69.5
20170717,69.5,70.5,69.5,69.75,4030500,69.75
20170718,69.75,70,68.5,68.75,2744600,69.25
20170719,69.25,71,69.25,70.75,3805500,70.75
20170720,70.75,71.5,70,70,2799700,70
20170721,70,70.75,69.25,69.25,1692200,69.5
20170724,69.5,69.75,68.75,69,2815800,69
20170725,69,71.25,69,70.75,4535800,71
20170726,71,71.25,70.25,70.5,2466000,70.5
20170727,70.5,72,70.25,71.5,5437200,71.75
20170731,71.75,72.25,69.25,69.5,5935400,69.5
20170801,69.5,70.75,69.5,70.25,3449700,70.25
20170802,70.25,70.5,69.75,70,3189800,70
20170803,70,70.75,69.75,70,3790700,70
20170804,70,70.75,69.75,70.25,3688400,70.25
20170807,70.25,70.25,69,69,2213800,69
20170808,69,69.5,68.5,68.5,2521800,68.5
20170809,68.5,68.75,67.25,68,3263000,68
20170810,68,69.75,68,69.5,3125600,69
20170811,69,70.25,69,70,2212800,70
20170815,70,71.5,69.75,71.5,5210600,71.5
20170816,71.5,72,71.25,71.75,2802100,72.25
20170817,72.25,72.25,71.5,71.75,1271300,71.75
20170818,71.75,71.75,68.5,68.5,3843700,68
20170821,68,68,66.25,66.25,9870700,67
20170822,67,67.75,66.75,67,4799400,67.25
20170823,67.25,67.5,66.5,66.5,4064500,66.5
20170824,66.5,67,66.5,66.75,1893200,67
20170825,67,67.5,66.75,67,1901200,67
20170828,67,67.75,67,67.5,1892000,67.75
20170829,67.75,69,67.5,68.5,6101000,68.75
20170830,68.75,69.5,68.75,69.25,3019300,69.25
20170831,69.25,69.5,68.75,69.25,2391600,69.75
20170901,69.75,71,69.5,70.5,5523900,70.25
