DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,39.25,39.25,38.75,39,1864200,39.25
20170105,39.25,39.5,38.75,39,1208000,39
20170106,39,39.25,38.5,38.5,1518100,38.75
20170109,38.75,38.75,38.25,38.25,1837600,38.25
20170110,38.25,38.5,37.5,37.5,1652200,37.5
20170111,37.5,38,37.25,37.25,2552000,37.25
20170112,37.25,38,36.75,36.75,4892700,37
20170113,37,37.5,36.75,37.5,2837500,37.75
20170116,37.75,38,37.5,37.5,1881100,37.5
20170117,37.5,37.75,37,37.25,659100,37.5
20170118,37.5,37.5,37.25,37.25,332900,37.25
20170119,37.25,37.5,36.75,37,3090200,36.75
20170120,36.75,37.5,36.75,37.25,787100,37.25
20170123,37.25,38.25,37.25,38.25,2447600,38.25
20170124,38.25,38.25,37.75,38,1000600,38.25
20170125,38.25,38.25,37,37.75,2402600,37.75
20170126,37.75,37.75,37.5,37.75,471500,37.5
20170127,37.5,38.25,37.5,38,1995200,38
20170130,38,38.25,36.75,37.25,3123000,37
20170131,37,37.25,37,37.25,1348400,37
20170201,37,37.75,37,37.25,1508900,37.5
20170202,37.5,37.75,37,37.5,1606900,37.25
20170203,37.25,37.75,37,37.25,1585000,37.25
20170206,37.25,37.5,36.5,36.75,3205300,36.75
20170207,36.75,37,36.25,36.5,1955400,36.75
20170208,36.75,37,36.25,36.5,2537500,36.5
20170209,36.5,37,36.5,36.75,1328700,36.75
20170210,36.75,37.25,36.75,37,760600,37.25
20170214,37.25,37.25,36.75,36.75,662700,36.75
20170215,36.75,37,36.5,36.75,645800,37
20170216,37,37.5,36.75,37.25,1535400,37
20170217,37,37.25,37,37,441400,37.25
20170220,37.25,37.25,36.25,36.5,1796500,36.5
20170221,36.5,36.5,36,36.25,961600,36.5
20170222,36.5,36.5,35.75,36.25,683500,36.25
20170223,36.25,36.25,35.75,36,910600,36
20170224,36,36.25,35.5,35.75,1499800,35.5
20170227,35.5,35.75,35.25,35.25,1279600,35.75
20170228,35.75,36.25,35.25,36,1264700,36.25
20170301,36.25,36.25,35.75,36,1180900,36.5
20170302,36.5,36.5,35.25,35.5,2330900,35.25
20170303,35.25,35.75,35,35,1724700,35
20170306,35,35.25,34.75,35,977200,35
20170307,35,35.25,34.75,35.25,902800,35
20170308,35,35.25,34.75,35.25,565200,35
20170309,35,35,34.25,34.5,1604600,34.5
20170310,34.5,34.75,34.25,34.25,725900,34.5
20170313,34.5,34.5,34.25,34.25,620700,34.25
20170314,34.25,34.5,34,34.25,635900,34.5
20170315,34.5,34.75,34.25,34.75,799100,34.75
20170316,34.75,35,34.5,34.75,1911500,34.75
20170317,34.75,35.25,34.75,35.25,2052100,35.25
20170320,35.25,35.5,34.75,35,1172800,35
20170321,35,35,34.75,35,1326200,35
20170322,35,35.25,34.75,35.25,1459100,35
20170323,35,35.25,34.75,34.75,2359500,34.75
20170324,34.75,35,34.75,34.75,1289600,35
20170327,35,35,34.5,34.5,1673300,34.75
20170328,34.75,35,34.5,34.5,1048700,34.75
20170329,34.75,35.75,34.5,35.5,2432700,35.75
20170330,35.75,36.25,35.5,35.75,2272700,35.75
20170331,35.75,36,35.25,35.5,1613500,35.5
20170403,35.5,35.75,35.25,35.5,958000,35.75
20170404,35.75,36,35.5,35.75,1146200,35.75
20170405,35.75,36,35.5,35.75,1039100,35.75
