DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,63,65.5,63,65,44922000,65
20170105,65,65.5,64.25,64.75,26398100,64.75
20170106,64.75,65,63.5,63.75,26493700,63.5
20170109,63.5,63.5,62,62,58209600,62
20170110,62,62.25,61.5,62,29967000,61.75
20170111,61.75,62.25,61.5,61.5,27611000,61.75
20170112,61.75,61.75,61,61.25,29702100,61.25
20170113,61.25,62.25,61.25,62,29297100,62
20170116,62,62,61.5,61.5,10206500,61.5
20170117,61.5,62,61,61,29955000,61
20170118,61,61.25,60.25,60.25,33325200,59.75
20170119,59.75,59.75,58.75,59.25,85762800,59.5
20170120,59.5,59.75,59,59.5,31934400,59.25
20170123,59.25,59.5,59,59.25,21982200,59.5
20170124,59.5,59.5,58.75,59.25,30161800,59.25
20170125,59.25,59.5,58.25,58.75,56940100,61.75
20170126,61.75,61.75,61,61,51859200,61
20170127,61,61.25,60.5,60.75,11044600,60.5
20170130,60.5,61.25,60.5,60.75,6729500,60.5
20170131,60.5,60.75,60.25,60.5,11797700,60.5
20170201,60.5,60.75,60,60,12367300,59.75
20170202,59.75,60.25,59.5,59.5,13684600,59.75
20170203,59.75,60.25,59.5,60,12977600,60.25
20170206,60.25,61.25,60,61.25,14457100,61
20170207,61,61.5,60.75,60.75,10768600,60.75
20170208,60.75,61.25,60.25,60.5,11613400,60.25
20170209,60.25,60.5,60,60.25,13928500,60.25
20170210,60.25,60.75,60,60.25,11521800,60.25
20170214,60.25,60.5,59.25,59.5,25163900,59.75
20170215,59.75,60.5,59.5,60,11720300,60
20170216,60,60.25,59.5,59.75,9523300,59.75
20170217,59.75,60.5,59.5,60,11945000,60
20170220,60,60,59.5,59.75,7544100,59.75
20170221,59.75,60.25,59.75,60,9506500,60.5
20170222,60.5,61.25,60.25,60.75,18529500,60.5
20170223,60.5,60.75,60,60,9669000,60.25
20170224,60.25,60.5,59.5,59.75,14579100,59.75
20170227,59.75,60.75,59.75,60,9771600,60
20170228,60,60.5,60,60,13713700,60.25
20170301,60.25,60.75,60,60.25,17206200,60.5
20170302,60.5,60.5,59.75,60,18858300,59.75
20170303,59.75,60,59.5,59.75,8503200,59.5
20170306,59.5,59.75,59.25,59.5,18398000,59.25
20170307,59.25,59.5,58.5,58.5,24793100,58.25
20170308,58.25,59,57.5,59,24807700,58.5
20170309,58.5,59,58.25,58.75,10123100,58.5
20170310,58.5,58.75,58.25,58.5,7109100,58.5
