DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170104,29.75,30,29.5,29.5,28616300,UP,29.75
20170105,29.75,30,29.5,29.75,35396200,UP,30
20170106,30,30.75,29.75,30.25,63436500,DRAW,30.25
20170109,30.25,30.25,29.5,29.5,24732900,DRAW,29.5
20170110,29.5,30.25,29.5,30.25,28539700,DOWN,30
20170111,30,30.25,29.75,29.75,16429800,UP,30
20170112,30,30,29.5,30,19540200,DRAW,30
20170113,30,30,29.5,30,16746200,DOWN,29.75
20170116,29.75,30,29.5,29.5,22540400,UP,29.75
20170117,29.75,29.75,29.25,29.5,14410400,UP,29.75
20170118,29.75,29.75,29.25,29.25,15526500,DRAW,29.25
20170119,29.25,29.5,28,28.5,46435800,UP,28.75
20170120,28.75,28.75,28.25,28.5,17916800,UP,28.75
20170123,28.75,29,28,28.5,22769100,DRAW,28.5
20170124,28.5,29.5,28.25,29,34086100,UP,29.25
20170125,29.25,29.75,29,29.5,31669000,UP,29.75
20170126,29.75,30,28.75,28.75,34634200,UP,29
20170127,29,29,28.5,28.75,17143500,DRAW,28.75
20170130,28.75,29,28.5,29,7109600,DOWN,28.75
20170131,28.75,29,28.5,28.5,13819400,DRAW,28.5
20170201,28.5,28.75,28.25,28.25,42223300,DRAW,28.25
20170202,28.25,28.5,27.75,28,39673600,UP,28.25
20170203,28.25,28.5,28,28.5,13689500,UP,28.75
20170206,28.75,28.75,28.25,28.5,11528600,DRAW,28.5
20170207,28.5,28.75,28.25,28.5,11447200,DRAW,28.5
20170208,28.5,29,28.25,28.75,22689100,DRAW,28.75
20170209,28.75,29,28.5,28.5,13130700,UP,28.75
20170210,28.75,29,28.5,28.75,12663400,UP,29
20170214,29,29,28.25,28.5,16953700,DRAW,28.5
20170215,28.5,29,28.25,28.75,14200500,DRAW,28.75
20170216,28.75,29,28.5,28.5,11013000,DRAW,28.5
20170217,28.5,29,28.25,28.25,12350600,DRAW,28.25
20170220,28.25,28.5,28,28.25,13709800,DRAW,28.25
20170221,28.25,28.5,28,28.25,11921300,DRAW,28.25
20170222,28.25,28.75,28.25,28.5,18195500,DOWN,28.25
20170223,28.25,28.5,28,28.25,18598700,DOWN,27.75
20170224,27.75,28,27,27,83459800,UP,27.25
20170227,27.25,27.75,27.25,27.5,28101900,UP,27.75
20170228,27.75,28,27.75,28,21005600,DRAW,28
20170301,28,28.5,28,28.25,37579700,UP,28.5
20170302,28.5,28.5,28,28,15878800,UP,28.25
20170303,28.25,28.5,28,28,11443000,UP,28.25
20170306,28.25,28.25,28,28.25,9048300,DOWN,28
20170307,28,28.5,28,28,17067700,UP,28.25
20170308,28.25,28.25,27.75,28.25,14688200,DRAW,28.25
20170309,28.25,28.25,28,28.25,8796300,DRAW,28.25
20170310,28.25,28.5,28,28.25,14643300,DRAW,28.25
20170313,28.25,28.25,27.75,28,13365300,DOWN,27.75
20170314,27.75,28,27.25,27.5,33884000,DOWN,27.25
20170315,27.25,27.5,27,27.25,28232500,UP,27.5
20170316,27.5,27.75,27.25,27.5,27750000,DRAW,27.5
20170317,27.5,27.75,27.25,27.75,24282200,DRAW,27.75
20170320,27.75,27.75,27.5,27.75,8933000,DRAW,27.75
20170321,27.75,27.75,27.5,27.75,8524000,DOWN,27.5
20170322,27.5,29.5,27.5,29.25,115775600,UP,29.75
20170323,29.75,30,29.25,29.25,70338100,DRAW,29.25
20170324,29.25,29.75,29,29.75,52551800,DOWN,29.25
20170327,29.25,29.5,29,29.25,40069800,DRAW,29.25
20170328,29.25,29.5,29,29.25,35683900,DRAW,29.25
20170329,29.25,29.5,29,29,19974800,DRAW,29
20170330,29,29.25,28.25,28.25,58859000,DRAW,28.25
20170331,28.25,28.5,27.5,27.75,63925700,DRAW,27.75
20170403,27.75,28.25,27.75,28.25,19623500,DRAW,28.25
20170404,28.25,28.25,27.75,28.25,10058300,DRAW,28.25
20170405,28.25,28.5,27.75,28,36622200,DRAW,28
20170407,28,28,27.5,28,28443400,DOWN,27.75
20170410,27.75,28,27.5,28,22129600,DRAW,28
20170411,28,28,27.5,27.75,25270200,DRAW,27.75
20170412,27.75,28,27.5,27.75,22502500,DRAW,27.75
20170417,27.75,27.75,27.25,27.5,29730800,DRAW,27.5
20170418,27.5,27.75,27.25,27.25,20446700,DRAW,27.25
20170419,27.25,27.25,26.75,27,38462600,UP,27.25
20170420,27.25,27.25,27,27,11952900,DRAW,27
20170421,27,27.25,26.75,27.25,49516700,DRAW,27.25
20170424,27.25,27.25,25.75,26.25,85031400,UP,26.5
20170425,26.5,26.75,26,26.5,44752600,DRAW,26.5
20170426,26.5,26.75,26.25,26.5,24465500,DRAW,26.5
20170427,26.5,26.75,26.25,26.25,14409100,DRAW,26.25
20170428,26.25,26.75,26,26.75,32995300,DRAW,26.75
20170502,26.75,26.75,26.5,26.5,13312700,DRAW,26.5
20170503,26.5,27,26.5,26.5,17194900,DOWN,26.25
20170504,26.25,26.5,26,26.25,18441400,DRAW,26.25
20170505,26.25,26.5,26,26.25,25980600,DRAW,26.25
20170508,26.25,26.25,25.5,25.75,49477100,DRAW,25.75
20170509,25.75,25.75,24.8,24.8,90254600,UP,25
20170511,25,25.5,25,25,59530000,DRAW,25
20170512,25,25,24.4,24.7,125920800,UP,24.8
20170515,24.8,24.9,24.3,24.5,65425500,DRAW,24.5
20170516,24.5,25.25,24.4,25,65398100,DRAW,25
20170517,25,25.25,24.4,24.5,87938700,DRAW,24.5
20170518,24.5,24.7,24.4,24.6,42477700,DRAW,24.6
20170519,24.6,24.8,24.5,24.8,30770200,DRAW,24.8
20170522,24.8,25.25,24.7,25,70665700,DRAW,25
20170523,25,25.25,25,25,28679800,DRAW,25
20170524,25,25.25,24.8,25,28616600,DRAW,25
20170525,25,25,24.8,24.9,22838400,DRAW,24.9
20170526,24.9,25,24.8,24.9,12288100,DRAW,24.9
20170529,24.9,25,24.8,24.9,10608500,DRAW,24.9
20170530,24.9,25,24.8,24.8,10435300,DRAW,24.8
20170531,24.8,24.9,24.7,24.9,16396900,DOWN,24.8
20170601,24.8,24.9,24.7,24.9,15182300,DOWN,24.8
20170602,24.8,24.8,24.6,24.6,29275800,UP,24.7
20170605,24.7,25,24.6,25,39055900,UP,25.25
20170606,25.25,25.75,25,25.25,33722000,DRAW,25.25
20170607,25.25,25.75,25.25,25.25,29332500,UP,25.5
20170608,25.5,25.5,25,25,21989800,DRAW,25
20170609,25,25.25,25,25.25,18732700,DOWN,25
20170612,25,25.5,25,25,23759500,DRAW,25
20170613,25,25.25,24.9,25,29546300,DRAW,25
20170614,25,25.25,24.9,25,13871000,DRAW,25
20170615,25,25.25,25,25,15651400,DRAW,25
20170616,25,25.5,25,25.25,41664300,DRAW,25.25
20170619,25.25,25.5,25.25,25.5,37789100,DOWN,25.25
20170620,25.25,25.5,25,25.25,35451800,DRAW,25.25
20170621,25.25,25.75,25,25.75,72737500,DRAW,25.75
20170622,25.75,25.75,25.5,25.5,17317100,UP,25.75
20170623,25.75,25.75,25.5,25.5,24811200,DRAW,25.5
20170626,25.5,25.75,25.25,25.25,30669100,DRAW,25.25
20170627,25.25,25.5,25,25,20302300,DRAW,25
20170628,25,25.25,25,25,23001400,UP,25.25
20170629,25.25,25.25,25,25,43136700,DRAW,25
20170630,25,25,24.8,24.8,49862700,UP,24.9
20170703,24.9,25,24.8,24.9,16973600,DRAW,24.9
20170704,24.9,25,24.9,24.9,3916500,DRAW,24.9
20170705,24.9,25,24.8,24.8,11733800,DRAW,24.8
20170706,24.8,25,24.8,24.9,21365200,DOWN,24.8
20170707,24.8,24.9,24.6,24.7,36196300,DOWN,24.6
20170711,24.6,24.7,23.9,23.9,113820700,DRAW,23.9
20170712,23.9,23.9,23.2,23.6,116300500,UP,23.8
20170713,23.8,24.4,23.7,24.3,53489600,UP,24.4
20170714,24.4,24.8,24.3,24.6,42686400,UP,24.7
20170717,24.7,25.25,24.6,24.9,46716800,UP,25
20170718,25,25.25,24.9,25.25,15309600,DRAW,25.25
20170719,25.25,25.25,24.9,25,27635100,DRAW,25
20170720,25,25.25,24.9,24.9,21269600,UP,25
20170721,25,25,24.8,24.9,20201700,DRAW,24.9
20170724,24.9,25,24.9,25,8001800,DOWN,24.9
20170725,24.9,25.25,24.9,25,20745100,DRAW,25
20170726,25,25,24.8,24.9,30506500,DRAW,24.9
20170727,24.9,24.9,24.8,24.9,14977200,DOWN,24.8
20170731,24.8,24.9,24.6,24.6,33738500,DRAW,24.6
20170801,24.6,24.9,24.6,24.7,11602000,UP,24.8
20170802,24.8,24.8,24.4,24.7,33212800,DRAW,24.7
20170803,24.7,24.9,24.6,24.8,7904900,DRAW,24.8
20170804,24.8,24.8,24.7,24.7,4191700,DRAW,24.7
20170807,24.7,25.25,24.7,25,25214300,DRAW,25
20170808,25,25.75,25,25.5,52986400,UP,25.75
20170809,25.75,26.25,25.5,26,70107100,DRAW,26
20170810,26,27,25.75,27,82393100,DOWN,26.5
20170811,26.5,26.75,26.25,26.75,30117300,DRAW,26.75
20170815,26.75,27,26.25,27,32761500,DRAW,27
20170816,27,27,26.75,27,19430900,DRAW,27
20170817,27,27.25,26.75,27.25,45611000,DOWN,27
20170818,27,27.25,26.25,26.25,40013700,DRAW,26.25
20170821,26.25,26.75,26,26.5,22138400,DRAW,26.5
20170822,26.5,26.5,26,26.25,20879300,DRAW,26.25
20170823,26.25,26.5,25.75,26,36163900,UP,26.25
20170824,26.25,26.25,25.75,26.25,30246200,DOWN,25.75
20170825,25.75,25.75,25.5,25.75,8620300,UP,26
20170828,26,26,25.75,26,7155400,DRAW,26
20170829,26,26.5,25.5,26.5,57812700,DRAW,26.5
20170830,26.5,26.75,26.25,26.5,6499100,DOWN,26.25
20170831,26.25,27.25,26.25,27.25,43364100,DRAW,27.25
20170901,27.25,27.5,26.5,27,25459800,UP,27.25
20170904,27.25,27.75,27,27.75,69974000,DRAW,27.75
20170905,27.75,27.75,27,27.5,25094200,DOWN,27.25
20170906,27.25,27.75,27,27.5,34407200,DRAW,27.5
20170907,27.5,27.75,27.25,27.25,21383900,DRAW,27.25
20170908,27.25,28,27.25,27.5,38878600,DOWN,27.25
20170911,27.25,27.5,26.75,27,24121600,DRAW,27
20170912,27,27.25,26.75,27,16706200,DRAW,27
20170913,27,27,26.25,26.75,19043800,DRAW,26.75
20170914,26.75,26.75,26,26.5,33374900,UP,27
20170915,27,27.25,26.5,27,62285100,DRAW,27
20170918,27,28,27,27.5,44467400,DRAW,27.5
20170919,27.5,27.75,27.25,27.25,19449600,DRAW,27.25
20170920,27.25,27.75,27.25,27.5,26083900,DRAW,27.5
20170921,27.5,27.75,27.25,27.5,18231400,DOWN,27.25
20170922,27.25,27.75,27.25,27.25,22782600,DRAW,27.25
20170925,27.25,27.5,26.25,26.5,45888200,DOWN,26.25
20170926,26.25,26.75,26.25,26.75,23493100,DOWN,26.5
20170927,26.5,27,26.25,26.5,29377100,DRAW,26.5
20170928,26.5,26.75,26,26,43927200,UP,26.25
20170929,26.25,26.75,26,26.75,38571200,DRAW,26.75
20171002,26.75,27,26.25,27,34064500,UP,27.25
20171003,27.25,27.25,26.5,27,16811900,DOWN,26.75
20171004,26.75,27,26.25,26.5,23994300,DRAW,26.5
20171005,26.5,26.75,26.25,26.5,22705500,DRAW,26.5
20171006,26.5,26.5,25.75,26.25,69323200,DOWN,26
20171009,26,26.5,26,26.25,17297500,DRAW,26.25
20171010,26.25,27,26,26.75,55526600,DRAW,26.75
20171011,26.75,26.75,26.5,26.75,19154400,DOWN,26.5
20171012,26.5,26.75,26.25,26.25,19925600,UP,26.5
20171016,26.5,26.5,26.25,26.5,14965000,DOWN,26.25
20171017,26.25,26.75,26.25,26.25,16636100,UP,26.5
20171018,26.5,26.75,26,26.75,33373100,DOWN,26.5
20171019,26.5,26.75,26,26,33387700,DRAW,26
20171020,26,26.5,25.75,26.5,31443900,DRAW,26.5
20171024,26.5,26.5,26,26.25,11486700,UP,26.5
20171025,26.5,26.5,26,26.25,17370900,DRAW,26.25
20171027,26.25,26.25,25.75,25.75,23232400,DRAW,25.75
20171030,25.75,26.25,25.5,26,26258200,DRAW,26
20171031,26,26.5,26,26,30048200,DRAW,26
20171101,26,26.25,25.5,25.75,22968000,DRAW,25.75
20171102,25.75,26,25.5,25.5,6332200,DRAW,25.5
20171103,25.5,25.75,25,25,20856400,UP,25.25
20171106,25.25,25.75,25,25.75,17200600,DOWN,25.5
20171107,25.5,25.75,25.5,25.75,7899700,DRAW,25.75
20171108,25.75,25.75,25.5,25.75,8719400,DRAW,25.75
20171109,25.75,25.75,25.25,25.5,12466800,DOWN,25.25
20171110,25.25,25.5,25,25.25,7634200,DOWN,25
20171113,25,25.5,25,25.5,7786800,DOWN,25.25
20171114,25.25,25.5,25,25,12696300,DRAW,25
20171115,25,25.25,24.4,24.4,67298100,DRAW,24.4
20171116,24.4,24.4,24.2,24.3,33233300,DRAW,24.3
20171117,24.3,25,24.3,24.9,53643800,UP,25
20171120,25,25,24.5,24.6,32207200,DRAW,24.6
20171121,24.6,24.8,24.5,24.7,25694600,DRAW,24.7
20171122,24.7,25.25,24.7,24.7,34204900,UP,24.8
20171123,24.8,25,24.6,24.6,25404700,DRAW,24.6
20171124,24.6,24.7,24.4,24.6,8475200,DRAW,24.6
20171127,24.6,24.8,24.5,24.5,13650400,DOWN,24.4
20171128,24.4,24.8,24.4,24.7,10281700,DOWN,24.6
20171129,24.6,24.7,24.1,24.3,47487200,DOWN,24.2
20171130,24.2,24.4,23.6,23.6,80601000,UP,23.7
20171201,23.7,24.1,23.7,24,29326500,UP,24.1
20171204,24.1,24.3,24,24.2,13985600,DRAW,24.2
20171206,24.2,24.2,23.6,23.8,32478100,UP,23.9
20171207,23.9,24.2,23.8,23.9,20260600,DRAW,23.9
20171208,23.9,24,23.8,23.9,10926600,UP,24
20171212,24,24.5,23.9,24.3,30475000,UP,24.4
20171213,24.4,24.5,24.2,24.4,20288100,UP,24.5
20171214,24.5,24.6,24.2,24.3,18489900,DRAW,24.3
20171215,24.3,24.4,24,24.3,26485000,DRAW,24.3
20171218,24.3,24.5,24.1,24.2,10841500,DRAW,24.2
20171219,24.2,24.4,24.1,24.2,19215600,UP,24.3
20171220,24.3,24.7,24.3,24.6,55850900,DRAW,24.6
20171221,24.6,24.7,24.3,24.6,16245100,UP,24.7
20171222,24.7,24.9,24.6,24.8,24979400,DRAW,24.8
20171225,24.8,24.9,24.6,24.7,9177400,DRAW,24.7
20171226,24.7,24.7,24.4,24.5,10607800,DRAW,24.5
20171227,24.5,24.7,24.3,24.4,23647000,DRAW,24.4
20171228,24.4,24.5,24,24.1,26046200,DRAW,24.1
20171229,24.1,24.3,24,24,23314400,UP,24.1
20180103,24.1,24.9,24.1,24.8,45628500,DRAW,24.8
20180104,24.8,24.8,24.4,24.5,37683600,UP,24.6
20180105,24.6,24.9,24.4,24.4,51301000,DRAW,24.4
20180108,24.4,24.6,24.2,24.2,35021500,DRAW,24.2
20180109,24.2,24.6,24,24.3,36368600,UP,24.4
20180110,24.4,24.7,24.3,24.6,50388200,DRAW,24.6
20180111,24.6,24.7,24.4,24.6,26372100,DRAW,24.6
20180112,24.6,24.6,24.3,24.4,25328600,UP,24.5
20180115,24.5,24.7,24.3,24.4,26071300,DRAW,24.4
20180116,24.4,24.5,24.3,24.3,14632100,DRAW,24.3
20180117,24.3,24.6,24.3,24.6,15645500,DRAW,24.6
20180118,24.6,24.6,24.3,24.3,20215000,DRAW,24.3
20180119,24.3,24.6,24.2,24.3,22347700,UP,24.4
20180122,24.4,24.4,24.2,24.2,16830700,DRAW,24.2
20180123,24.2,24.5,24,24.1,32914300,DOWN,24
20180124,24,24.3,23.9,24.1,32640900,DOWN,24
20180125,24,24.1,23.6,23.6,59345900,DRAW,23.6
20180126,23.6,24.2,23.6,23.9,37213000,UP,24
20180129,24,24,23.8,23.9,14074500,DOWN,23.8
20180130,23.8,24.1,23.7,23.8,34325600,DOWN,23.7
20180131,23.7,23.9,23.6,23.6,35295400,UP,23.7
20180201,23.7,23.8,23.6,23.6,29552400,DRAW,23.6
20180202,23.6,23.8,23.3,23.4,35706200,DOWN,23.2
20180205,23.2,23.4,23.1,23.2,27030800,DOWN,22.7
20180206,22.7,23.2,22.5,23.1,46808900,DRAW,23.1
20180207,23.1,23.3,22.7,22.9,26146400,DOWN,22.8
20180208,22.8,23.1,22.7,22.8,23645300,DOWN,22.6
20180209,22.6,23,22.5,22.8,28343100,UP,23
20180212,23,23.3,22.9,23,18912700,UP,23.1
20180213,23.1,23.4,23,23.1,21559100,DRAW,23.1
20180214,23.1,23.2,22.9,23,10343400,DRAW,23
20180215,23,23.1,22.6,22.9,21960400,DRAW,22.9
20180216,22.9,23,22.8,22.8,7945900,DRAW,22.8
20180219,22.8,23.8,22.8,23.5,43487400,DRAW,23.5
20180220,23.5,23.6,22.9,22.9,25153300,UP,23
20180221,23,23.3,22.8,22.9,25630100,DRAW,22.9
20180222,22.9,23.2,22.7,22.7,17988200,UP,22.8
20180223,22.8,23.1,22.7,22.8,20742300,UP,22.9
20180226,22.9,23.1,22.6,22.7,35774500,UP,22.8
20180227,22.8,23.2,22.7,22.9,33172500,DRAW,22.9
20180228,22.9,23,22.6,22.9,28986900,DOWN,22.8
20180302,22.8,22.9,22.6,22.7,15871300,DRAW,22.7
20180305,22.7,22.8,22.5,22.7,15498900,UP,22.8
20180306,22.8,23.9,22.8,23.8,89249800,UP,24.2
20180307,24.2,24.5,24,24.1,90695900,UP,24.2
20180308,24.2,24.3,23.6,24,33661800,UP,24.1
20180309,24.1,24.3,23.9,24.1,30796100,UP,24.3
20180312,24.3,24.4,24.1,24.2,23196500,DRAW,24.2
20180313,24.2,24.2,24,24.2,16833000,DRAW,24.2
20180314,24.2,25.75,24.2,25.5,195600300,DRAW,25.5
20180315,25.5,25.75,25,25,55940700,UP,25.25
20180316,25.25,26.25,25,26.25,121708500,DRAW,26.25
20180319,26.25,26.5,26,26,55434600,DRAW,26
20180320,26,26.25,25.5,26,48714800,DRAW,26
20180321,26,26.25,25.25,25.25,39010800,DRAW,25.25
20180322,25.25,25.75,25,25.25,56349300,DOWN,25
20180323,25,25.5,24.9,25,64194300,UP,25.25
20180326,25.25,25.25,24.8,25,37671600,UP,25.25
20180327,25.25,25.5,25,25.25,56836300,UP,25.5
20180328,25.5,26,25.25,25.5,54807100,UP,25.75
20180329,25.75,26,24.8,25.25,48026500,DRAW,25.25
20180330,25.25,25.25,24.5,25.25,49292200,UP,25.5
20180402,25.5,25.75,25,25.5,46084200,DOWN,25.25
20180403,25.25,25.5,24.8,24.9,70618600,UP,25
20180404,25,25.25,24.3,24.5,73369600,UP,24.6
20180405,24.6,24.8,24.4,24.8,29377200,DOWN,24.7
20180409,24.7,24.9,24.6,24.8,19674900,DRAW,24.8
20180410,24.8,25,24,24.5,47417900,DOWN,24.4
20180411,24.4,24.4,23.5,23.6,68291500,DRAW,23.6
20180412,23.6,24.1,23.5,23.9,42076600,DRAW,23.9
20180417,23.9,23.9,23.2,23.4,36246600,DRAW,23.4
20180418,23.4,23.6,23.3,23.6,22840100,UP,23.7
20180419,23.7,23.9,23.5,23.8,44846600,UP,23.9
20180420,23.9,23.9,23.6,23.8,25006800,DRAW,23.8
20180423,23.8,23.9,23.5,23.6,13090700,UP,23.7
20180424,23.7,24,23.5,23.6,37106700,UP,23.7
20180425,23.7,24.4,23.6,24.3,46423700,DOWN,24.2
20180426,24.2,24.4,24.1,24.3,10820800,DRAW,24.3
20180427,24.3,24.6,24,24.6,19182100,DRAW,24.6
20180430,24.6,24.6,24.3,24.4,8046900,DRAW,24.4
20180502,24.4,24.6,24.1,24.6,16791600,DOWN,24.3
20180503,24.3,24.8,24.2,24.4,24009800,DOWN,24.3
20180504,24.3,24.4,23.9,23.9,12238300,DOWN,23.7
20180507,23.7,23.8,23.5,23.6,15056200,DRAW,23.6
20180508,23.6,23.9,23.5,23.7,11078600,UP,23.9
20180509,23.9,23.9,23.6,23.7,10236300,UP,23.8
20180510,23.8,23.9,23.3,23.5,13284800,UP,23.6
20180511,23.6,23.8,23.3,23.5,15650200,DRAW,23.5
20180514,23.5,23.6,23.4,23.5,13976600,DRAW,23.5
20180515,23.5,25.25,23.4,25,87661300,
