DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170104,57,57,55.5,56.75,8190600,DRAW,56.75
20170105,56.75,57,56.25,56.75,4622100,DRAW,56.75
20170106,56.75,57.5,56,57,7135100,DOWN,56.75
20170109,56.75,56.75,56,56.5,1920300,DRAW,56.5
20170110,56.5,56.5,55.5,56.5,6162500,UP,57
20170111,57,57,55.75,55.75,6548700,UP,56
20170112,56,56.25,55.5,56,5514900,DRAW,56
20170113,56,56.5,55.75,56.25,1940500,DRAW,56.25
20170116,56.25,56.5,55.25,55.25,3820500,DRAW,55.25
20170117,55.25,55.5,54.75,55,5919900,DRAW,55
20170118,55,55.25,54.75,55,3036100,DRAW,55
20170119,55,55.75,54.75,55.5,5180700,DOWN,55
20170120,55,56,55,55.25,3996600,DRAW,55.25
20170123,55.25,55.75,55.25,55.5,2020200,UP,55.75
20170124,55.75,56.5,55.5,56,4407700,UP,56.25
20170125,56.25,56.5,56,56.25,2251700,DOWN,56
20170126,56,58,56,58,10173300,DRAW,58
20170127,58,58.25,57,58,7289900,DOWN,57.75
20170130,57.75,57.75,56.75,57,2925900,DOWN,56.75
20170131,56.75,57,56,56.5,2562200,DRAW,56.5
20170201,56.5,56.75,55.5,55.75,4457300,UP,56.25
20170202,56.25,56.75,55.75,56,2856800,DRAW,56
20170203,56,56,55.25,56,3386000,UP,56.25
20170206,56.25,56.25,55.5,55.75,1693500,UP,56
20170207,56,56,55.5,55.5,1862400,DOWN,55.25
20170208,55.25,56.25,55.25,55.75,2685800,DRAW,55.75
20170209,55.75,56,55.25,55.75,2969600,DOWN,55.5
20170210,55.5,56,55.25,55.5,3383700,UP,55.75
20170214,55.75,55.75,55,55,4901800,UP,55.25
20170215,55.25,55.25,54.5,54.5,5444400,DRAW,54.5
20170216,54.5,55,54,54.25,3139800,DRAW,54.25
20170217,54.25,54.75,54.25,54.5,3823700,DRAW,54.5
20170220,54.5,54.75,54.25,54.5,2052500,UP,54.75
20170221,54.75,55,54,54,3719100,UP,54.25
20170222,54.25,54.75,53.75,54,4803500,UP,54.5
20170223,54.5,56,54,55.75,6724000,DRAW,55.75
20170224,55.75,55.75,54.5,55.25,6977800,DOWN,55
20170227,55,55,54.5,54.5,2596000,UP,54.75
20170228,54.75,55.25,54.5,55,4563200,DRAW,55
20170301,55,56.25,54.75,56,6523200,DRAW,56
20170302,56,56.25,55.5,55.5,3577400,DRAW,55.5
20170303,55.5,56,55.5,55.75,2757100,DOWN,55.5
20170306,55.5,55.75,55.25,55.5,2194900,UP,55.75
20170307,55.75,56.5,55.75,56,6598900,DRAW,56
20170308,56,57,55.75,56.5,7753500,DOWN,56.25
20170309,56.25,56.75,56,56.25,3105100,DOWN,56
20170310,56,56,55.25,56,2982000,DRAW,56
20170313,56,57,55.75,56.5,7783000,DOWN,56.25
20170314,56.25,56.75,56,56.5,5851500,UP,57
20170315,57,57.5,56,56.5,5906800,UP,56.75
20170316,56.75,57.5,56.75,57,5957700,UP,57.25
20170317,57.25,57.5,56.75,56.75,6688600,DOWN,56.5
20170320,56.5,57,55.75,56,5634100,DRAW,56
20170321,56,57,55.75,56.5,4675400,DRAW,56.5
20170322,56.5,57,56.25,57,4782600,DRAW,57
20170323,57,57.5,56.75,57,6608100,DOWN,56.5
20170324,56.5,56.5,55.75,56,4063100,DRAW,56
20170327,56,56.75,56,56.25,2487600,UP,56.5
20170328,56.5,57.75,56.25,57.25,5799500,DOWN,57
20170329,57,57.25,56.5,57,5090200,DRAW,57
20170330,57,57.25,56.5,57,7738100,DRAW,57
20170331,57,57.5,56.75,56.75,2866000,UP,57
20170403,57,57.25,56.5,56.75,2966900,DRAW,56.75
20170404,56.75,57,56.5,57,3308600,UP,57.25
20170405,57.25,57.75,57,57.75,5500500,DOWN,57.25
20170407,57.25,58,57.25,57.5,4822700,DRAW,57.5
20170410,57.5,59.25,57.25,57.5,5472400,DRAW,57.5
20170411,57.5,58.5,57.25,57.5,2567500,UP,57.75
20170412,57.75,58.25,57.5,58.25,1781300,UP,58.5
20170417,58.5,58.5,57.5,57.5,1766200,UP,58
20170418,58,58,57.25,57.5,1621100,UP,58.5
20170419,58.5,58.5,57.5,57.75,3446800,DRAW,57.75
20170420,57.75,58.5,57.5,57.75,3188800,DRAW,57.75
20170421,57.75,58.25,57.5,58,2726100,UP,58.25
20170424,58.25,58.75,57.5,58,4877900,UP,58.25
20170425,58.25,58.25,57.5,57.75,3771300,DOWN,57.5
20170426,57.5,60.5,57.5,60.5,10621800,DRAW,60.5
20170427,60.5,60.75,60,60.5,5802400,DOWN,60
20170428,60,60.25,59.5,60,4311200,DRAW,60
20170502,60,60.5,59.5,60,2625900,DOWN,59.75
20170503,59.75,60,59,59.5,4513000,DRAW,59.5
20170504,59.5,59.75,59,59.5,1808000,UP,59.75
20170505,59.75,60,59.5,60,2487300,DRAW,60
20170508,60,60.5,59.75,60.25,3993600,DRAW,60.25
20170509,60.25,60.5,60,60,2687800,DOWN,59.5
20170511,59.5,61.25,59.25,60.75,10220700,UP,61.25
20170512,61.25,63,61,61.75,9664500,UP,62.5
20170515,62.5,62.5,61.75,62.25,2728300,UP,63
20170516,63,63,61.75,62.5,5298300,DOWN,62.25
20170517,62.25,65.25,62,64.75,17352600,DRAW,64.75
20170518,64.75,66.25,64.75,65.75,12077500,DOWN,65.5
20170519,65.5,66,64.75,65.5,5768600,UP,66
20170522,66,67.25,65.5,66.25,8093100,DRAW,66.25
20170523,66.25,66.5,65.75,66,2457500,DRAW,66
20170524,66,67.25,65.5,67,6865100,UP,67.5
20170525,67.5,68,66.5,66.75,3814800,DRAW,66.75
20170526,66.75,67.25,66,66.75,4372400,DOWN,66.5
20170529,66.5,67.5,66.5,66.75,1506400,DRAW,66.75
20170530,66.75,67.25,66.5,66.5,1532500,UP,66.75
20170531,66.75,68,66,66,6906100,UP,66.25
20170601,66.25,67.5,66,67,4266900,DOWN,66.75
20170602,66.75,67.5,66.5,66.75,3620300,UP,67
20170605,67,70.25,66.5,68.5,10822600,DRAW,68.5
20170606,68.5,69,68,68.5,3388100,DRAW,68.5
20170607,68.5,71.25,68.25,71.25,9373900,DRAW,71.25
20170608,71.25,72,70.5,71.5,5326100,DOWN,71.25
20170609,71.25,71.5,69.25,69.5,5103800,UP,69.75
20170612,69.75,70.25,68.5,68.75,3395000,DOWN,68.5
20170613,68.5,69.25,68.25,68.5,4864700,DOWN,68.25
20170614,68.25,70,68.25,69.25,4587900,DRAW,69.25
20170615,69.25,69.75,68.5,68.75,3368100,DOWN,68.5
20170616,68.5,69.25,68.5,68.75,3417300,DRAW,68.75
20170619,68.75,70.25,68.5,69,3425800,DRAW,69
20170620,69,69,66.75,67.25,10959900,DOWN,67
20170621,67,67.75,67,67.5,1542000,DRAW,67.5
20170622,67.5,67.75,66.5,66.5,2984900,DRAW,66.5
20170623,66.5,66.75,66,66.25,5302400,UP,66.5
20170626,66.5,67.5,66.25,67.25,3569600,DRAW,67.25
20170627,67.25,68.75,66.75,68.5,7778800,DOWN,68.25
20170628,68.25,68.75,67,67.5,5728700,DRAW,67.5
20170629,67.5,69.5,67.5,69,9407300,DRAW,69
20170630,69,69.25,68.5,69.25,5790600,DRAW,69.25
20170703,69.25,69.5,68.5,69,3256500,UP,69.25
20170704,69.25,70,69,69.75,3883800,DRAW,69.75
20170705,69.75,70,69,70,4291200,DRAW,70
20170706,70,70,68.75,69.5,2708300,DOWN,69.25
20170707,69.25,70.25,69,70,2101900,DOWN,69.75
20170711,69.75,70.5,69.5,69.5,4031500,DOWN,69.25
20170712,69.25,69.25,68.5,68.75,4822000,DOWN,68.5
20170713,68.5,68.75,67.5,68.5,6084200,DOWN,68.25
20170714,68.25,68.5,67,67.75,4630800,DOWN,67.5
20170717,67.5,68.25,67,67.75,3646400,DOWN,67.5
