DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,38.25,41.25,38.25,40.75,52588100,40.75
20170105,40.75,42.5,40.25,41.5,60027400,41.25
20170106,41.25,42.25,40.75,42,18215600,40.75
20170109,40.75,41.75,39.5,41,27605600,41
20170110,41,41.5,40,40.75,13450800,40.75
20170111,40.75,43,40.75,42.5,42353000,42.75
20170112,42.75,42.75,41.5,42.25,11643600,42
20170113,42,42.5,41,42.5,9539400,42.5
20170116,42.5,42.5,41.5,41.5,8044500,41.75
20170117,41.75,42.25,41.25,41.5,10349800,41.75
20170118,41.75,44.25,41.5,44,33501700,44
20170119,44,44.75,43,43.5,22693000,43.5
20170120,43.5,46,43.5,45.5,29933400,46
20170123,46,46.5,45,45.25,22502100,45.5
20170124,45.5,46.75,45.25,46.5,13794700,46.5
20170125,46.5,46.5,43.25,43.5,30940100,44
20170126,44,44.25,41.25,42,36961000,41.75
20170127,41.75,42.75,41.25,42.5,15657400,42
20170130,42,42.25,40.75,41.5,13075900,40
20170131,40,41,39,39.25,45891700,39
20170201,39,42,39,42,30041000,42
20170202,42,43.25,41,42.75,23827900,42.5
20170203,42.5,43.75,42.25,43.25,11934300,43.25
20170206,43.25,43.5,42.25,43.5,7737900,43.75
20170207,43.75,43.75,41.25,41.25,11257700,42
20170208,42,43,41.5,42.25,11662500,42.25
20170209,42.25,42.5,41.25,41.25,5686300,41.5
20170210,41.5,42.25,41.5,41.5,5244300,42.25
20170214,42.25,42.25,41.25,41.75,3127900,41.75
20170215,41.75,43,41.5,42.5,11928700,42.5
20170216,42.5,44.75,42.5,44.5,25581500,44.25
20170217,44.25,44.75,44,44.25,4379200,44.5
20170220,44.5,44.75,43.25,43.75,7616300,44
20170221,44,44.25,43.25,43.5,5700400,43.25
20170222,43.25,43.5,42.25,42.75,7841500,42.75
20170223,42.75,43.5,42.5,43,6781600,43
20170224,43,43.5,42.5,42.5,4349000,42.5
20170227,42.5,43.25,42.25,43,3354700,43.5
20170228,43.5,43.75,43,43.5,4920400,43.75
20170301,43.75,43.75,43,43.25,3235400,43.5
20170302,43.5,43.5,42.25,42.5,4598500,42.25
20170303,42.25,42.25,41.5,41.5,7757900,41.5
20170306,41.5,42.25,40,40.5,12984200,40
20170307,40,40.75,39.25,40,18801600,39.75
20170308,39.75,40.25,39.5,39.75,11952100,39.75
20170309,39.75,41,39.75,40.5,6109700,40.75
20170310,40.75,41.25,39.75,39.75,5321100,40
20170313,40,40,39,39,7155400,39
20170314,39,41,38.75,40.5,8363500,40.5
20170315,40.5,40.75,40.25,40.5,2143900,41
20170316,41,42,40.75,41.5,11268800,41.5
20170317,41.5,42,41.5,41.5,4414700,41.5
20170320,41.5,42.25,41.5,41.75,3515000,42
20170321,42,42.5,41.5,42.5,4242800,42
20170322,42,43.25,42,42.75,6848100,43
20170323,43,43.25,42.75,42.75,3323700,43
20170324,43,43,42.75,43,1629900,43.25
20170327,43.25,44,43,43.5,6088200,43.5
20170328,43.5,44.75,43.25,44.25,13015900,44.25
20170329,44.25,44.25,43.5,44.25,5158100,44.25
20170330,44.25,44.5,43.25,43.5,6637500,43.25
20170331,43.25,44,43,44,2855100,44
20170403,44,44,43,43.25,1785300,43
20170404,43,43.25,42.25,42.25,4130300,42.5
20170405,42.5,42.75,42,42,2953200,42
20170407,42,43.25,42,42.75,3132200,42.75
20170410,42.75,42.75,42.25,42.5,3015300,42.5
20170411,42.5,42.75,42.25,42.25,1348200,42.5
20170412,42.5,43.5,42.25,43.25,3586200,43
20170417,43,43,42.5,42.75,2006500,43
20170418,43,43.25,42.5,42.5,2859200,41.5
20170419,41.5,42.5,41.25,42.25,7462600,42.5
20170420,42.5,43,42.25,42.75,5706700,43.25
20170421,43.25,43.25,42.25,42.25,5810900,42.75
20170424,42.75,42.75,41.75,42.25,1827900,42.75
20170425,42.75,42.75,41,42,7165300,41.75
20170426,41.75,41.75,40.75,41,6200600,41
20170427,41,41.75,40.75,41.25,2514500,41.5
20170428,41.5,41.75,41.25,41.5,1472900,41.75
20170502,41.75,42.25,41.5,41.5,2264600,41.5
20170503,41.5,42,41.5,41.5,1160400,41.5
20170504,41.5,42,41.5,42,1131100,42
20170505,42,42,41.5,41.75,2467800,42.5
20170508,42.5,42.5,41.5,41.5,1931300,41.75
20170509,41.75,42,41,41.25,3179100,41.25
20170511,41.25,41.75,41,41.5,2944000,41.25
20170512,41.25,41.5,40.75,41.5,2183400,41.5
20170515,41.5,41.5,41,41,1460000,41
20170516,41,41.75,41,41.5,1791700,41.75
20170517,41.75,42.25,40.5,40.5,9646200,40.5
20170518,40.5,41,40.25,40.75,2294100,40.75
20170519,40.75,41.25,40.75,41,1812900,41
20170522,41,42,41,42,5444200,42.25
20170523,42.25,42.25,41.75,42,6011400,45
20170524,45,45.5,42.5,43,48393200,43.5
20170525,43.5,44,43.25,43.75,24800800,44
20170526,44,44.5,43.75,43.75,8776500,44.25
20170529,44.25,46,43.75,45.5,32402500,46
20170530,46,48.5,45.5,47.5,51007300,47.5
20170531,47.5,48,46.5,46.75,15514100,47
20170601,47,47,45.75,46.25,8920900,46.5
20170602,46.5,47.5,46.5,46.75,7353700,47
20170605,47,47.75,46.25,46.75,13648400,46.5
20170606,46.5,46.5,44.5,46,22799900,46.25
20170607,46.25,46.75,46,46.5,10370700,46.25
20170608,46.25,49.5,46.25,48.75,23342300,49.5
20170609,49.5,51,49,50.75,40157000,50.5
20170612,50.5,51,49.75,50.75,8261000,51
20170613,51,52.5,50.75,52.5,21630700,53
20170614,53,53.75,51.75,52,20520300,51.75
20170615,51.75,53,51.25,51.75,16457600,52
20170616,52,52.25,51,51.25,8164900,51.5
20170619,51.5,52.5,51.25,52,4990200,52.25
20170620,52.25,52.75,51.5,52,6344200,52
20170621,52,52.25,51.25,51.5,5780200,51.75
20170622,51.75,52,51.5,51.75,3280500,52
20170623,52,54,51.5,53.75,21720300,54
20170626,54,54.75,53,53.5,17208100,53.75
20170627,53.75,53.75,51.75,52.75,11956400,52.75
20170628,52.75,52.75,52,52.25,5553800,52.5
20170629,52.5,53.25,51.5,52.25,9759800,52.5
20170630,52.5,52.5,51.25,52.5,8445300,52.75
20170703,52.75,53.25,51.5,53.25,8072200,53.5
20170704,53.5,53.5,51.75,51.75,4994400,51.75
20170705,51.75,52.75,51.75,52.5,4903300,52.5
20170706,52.5,52.5,51.75,51.75,4246200,52
20170707,52,52,49.75,50.75,14278900,51
20170711,51,51.5,50.25,51.25,5927500,51.25
20170712,51.25,55,51,54.75,28327900,55
20170713,55,56,54.25,55.5,24191400,55
20170714,55,55,54,54.75,18038600,55
20170717,55,55.25,54,54.75,6298300,55
20170718,55,55.25,54,54.25,7098300,54.75
20170719,54.75,56.75,54.5,56.5,19390100,56.25
20170720,56.25,56.5,55.5,55.5,10690400,55.5
20170721,55.5,56.5,55,55.75,5712300,56
20170724,56,56.5,55.75,56,5835800,56.25
20170725,56.25,57.5,56,56.5,18241100,56.75
20170726,56.75,56.75,55.75,56,4521900,56.5
20170727,56.5,56.5,55.25,55.75,6722200,55.75
20170731,55.75,55.75,53.75,54.25,13995200,54.75
20170801,54.75,55.25,54.25,54.75,5474500,55
20170802,55,55.5,54.5,55.5,4855900,55.75
20170803,55.75,55.75,55.25,55.5,5903300,55.5
20170804,55.5,56,55,55.75,3428700,56
20170807,56,56,55.25,55.25,3814100,55.5
20170808,55.5,55.5,54.5,55.25,7351800,55.5
20170809,55.5,56.25,55,55.5,5086000,55.5
20170810,55.5,56.5,55.25,56.5,5180500,56
20170811,56,56.25,54.5,54.5,8994800,54.75
20170815,54.75,55.25,54.75,55,3596200,55
20170816,55,55,53.5,54.25,5956100,54.25
20170817,54.25,54.25,52.25,52.5,11248900,52.5
20170818,52.5,53.5,52.25,53,6644000,53
20170821,53,54.25,52.75,54,6030800,53.75
20170822,53.75,54,53.25,54,1496100,54
20170823,54,54,53.25,53.5,1693900,53.25
20170824,53.25,53.25,51.75,51.75,10810600,52
20170825,52,52.5,51.75,52.5,6462700,52.5
20170828,52.5,53.25,52,52.75,6076100,52.75
20170829,52.75,55.5,52.75,55.25,12378000,55.25
20170830,55.25,55.5,54.25,54.5,4607100,54.5
20170831,54.5,55.5,54.25,54.75,6164200,54.75
20170901,54.75,55.25,54.5,54.75,3615000,55
20170904,55,57.25,54.75,56.75,18317200,57
20170905,57,58.5,56.25,58.25,21468400,58.25
20170906,58.25,58.75,57.75,58.25,8702800,58.5
20170907,58.5,59.25,57.75,58.5,9499200,59
20170908,59,59.75,58.5,58.5,12149100,58.75
20170911,58.75,59,58,58.5,3441200,58.25
20170912,58.25,58.5,57.5,57.75,5969100,57.75
20170913,57.75,58.75,57.75,58,5086200,58
20170914,58,58.75,57.75,58.5,6751200,58.5
20170915,58.5,58.75,57.5,58.25,7773400,58.25
20170918,58.25,58.5,57.5,57.75,4333200,58
20170919,58,58,56.5,56.75,7015800,56.75
20170920,56.75,57,55.5,55.5,14896100,55.5
20170921,55.5,55.75,54.25,54.5,13722800,54
20170922,54,55.75,53.25,54.75,22167000,54.75
20170925,54.75,55.25,54.25,54.75,6891200,55.25
20170926,55.25,56.25,54.75,55.75,10187900,55.75
20170927,55.75,57.5,55.5,57,15540700,57
