DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,30,30,29.25,29.75,3174400,29.75
20170105,29.75,31,29.75,30.75,18535600,31.25
20170106,31.25,31.5,30.5,30.75,13801900,30.75
20170109,30.75,30.75,29.5,30,8107000,30
20170110,30,30.25,29.5,30.25,4572300,30
20170111,30,30.25,29.75,29.75,2858000,29.75
20170112,29.75,30,29.25,29.25,3960600,29.5
20170113,29.5,30,29,30,2388100,30
20170116,30,30,29.25,30,2343800,30
20170117,30,30,28.75,28.75,8180300,29
20170118,29,29,28.5,29,2588300,28.75
20170119,28.75,29,28.25,28.5,2643400,28.5
20170120,28.5,28.75,28.25,28.5,1991700,29
20170123,29,29.75,28.75,29.5,3965700,29.5
20170124,29.5,29.75,29.25,29.25,2191500,29.5
20170125,29.5,29.75,28.75,28.75,1910900,29
20170126,29,29.25,28.5,28.5,2191400,28.5
20170127,28.5,29,28,28.25,4039300,28.25
20170130,28.25,29,28.25,29,3031200,28.25
20170131,28.25,28.75,27.75,28.5,7157200,28.25
20170201,28.25,28.25,25,25.75,46188900,26
20170202,26,27.25,24.8,26.5,57775400,27
20170203,27,27.25,26.5,26.5,10901800,24.5
20170206,24.5,24.6,23.2,23.2,59371000,23.6
20170207,23.6,24.2,23.5,24.1,28856500,24.5
20170208,24.5,24.8,24.4,24.5,26570700,24.6
20170209,24.6,25,24.6,24.6,10103600,24.9
20170210,24.9,24.9,24.2,24.3,9777900,24.4
20170214,24.4,24.6,24.2,24.2,2694300,24.5
20170215,24.5,26,24,26,17427400,25.75
20170216,25.75,26.5,25.75,26.25,9416500,26.25
20170217,26.25,26.25,25.25,25.5,4702000,25.75
20170220,25.75,25.75,25,25.25,3984200,25.5
20170221,25.5,25.5,24.7,24.7,3076500,24.8
20170222,24.8,25.25,24.8,25.25,3500500,25
20170223,25,25.25,24.8,24.8,2321400,25
20170224,25,25.25,24.6,24.6,3908300,24.8
20170227,24.8,25,24.7,24.8,3727700,24.9
20170228,24.9,25,24.7,25,3888200,25
20170301,25,25.5,24.9,25.25,4317200,25.5
20170302,25.5,25.75,25.25,25.25,3553200,25.25
20170303,25.25,25.5,25,25.25,2489500,25.25
20170306,25.25,25.25,24.8,24.8,1872000,25
20170307,25,25.25,24.9,24.9,2168100,24.9
20170308,24.9,25.25,24.6,24.9,3380700,24.9
20170309,24.9,25,24.7,24.7,1188400,24.8
20170310,24.8,24.8,24.4,24.5,2788700,24.7
20170313,24.7,24.7,24.3,24.4,1552500,24.3
20170314,24.3,25.5,24.3,25,4559700,25
20170315,25,25.25,24.7,24.7,1569700,24.9
20170316,24.9,26,24.9,25.75,5653600,26
20170317,26,27,26,26.5,7711900,26.25
20170320,26.25,26.75,26.25,26.25,2811200,26.5
20170321,26.5,26.75,26.25,26.5,3581800,26.25
20170322,26.25,26.75,26.25,26.5,3395700,26.5
20170323,26.5,26.75,26.25,26.25,1501900,26.5
20170324,26.5,26.75,26.25,26.25,1250800,26.25
20170327,26.25,26.5,26.25,26.25,1291300,26.25
20170328,26.25,26.5,26,26,2313100,26
20170329,26,26.75,26,26.75,5772900,27.25
20170330,27.25,27.75,27,27.25,10819500,27.5
20170331,27.5,27.75,27,27.75,5643000,27.75
