DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,199,199.5,197.5,199,652000,199
20170105,199,200,198.5,198.5,815900,199
20170106,199,203,198.5,201,1374100,201
20170109,201,201,198,199.5,516600,199.5
20170110,199.5,201,199,200,556600,198
20170111,198,201,198,200,354500,200
20170112,200,203,200,202,1008800,202
20170113,202,202,200,201,257700,200
20170116,200,202,200,201,392300,201
20170117,201,203,200,202,335900,199
20170118,199,202,198.5,200,363900,200
20170119,200,202,200,201,467900,200
20170120,200,201,199,199,547300,199
20170123,199,200,199,199,261800,200
20170124,200,202,199,201,450200,201
20170125,201,206,200,204,1137500,205
20170126,205,208,202,205,1175100,204
20170127,204,206,203,205,631900,203
20170130,203,204,202,204,420900,203
20170131,203,203,200,202,692700,200
20170201,200,200,196.5,199.5,2068900,200
20170202,200,201,198,199.5,751600,198.5
20170203,198.5,202,198.5,200,542100,200
20170206,200,201,199,199.5,406300,200
20170207,200,200,199,199,345200,199
20170208,199,202,199,199.5,730700,199.5
20170209,199.5,203,199.5,202,607700,202
20170210,202,205,200,203,1678000,203
20170214,203,203,201,202,476500,202
20170215,202,202,199.5,201,610000,200
20170216,200,201,199.5,200,585500,200
20170217,200,201,199,199.5,467400,199.5
20170220,199.5,203,199.5,201,389800,201
20170221,201,202,200,201,621000,202
20170222,202,205,202,203,1167100,203
20170223,203,205,202,204,987900,203
20170224,203,208,203,208,899500,206
20170227,206,207,204,205,403500,205
20170228,205,207,204,207,323000,207
20170301,207,210,206,207,695300,203
20170302,203,207,202,204,706300,204
20170303,204,205,201,203,847000,202
20170306,202,203,201,202,803800,202
20170307,202,204,201,203,350300,202
20170308,202,203,199.5,203,347700,203
20170309,203,204,201,204,335200,203
20170310,203,205,202,205,362400,204
20170313,204,205,202,204,163100,204
20170314,204,205,202,203,288600,203
20170315,203,203,202,202,260300,202
20170316,202,204,201,203,457300,204
20170317,204,214,203,214,946800,208
20170320,208,209,204,204,547400,204
20170321,204,208,203,206,291100,206
20170322,206,209,205,208,283900,206
20170323,206,208,203,206,296500,204
20170324,204,206,204,205,115600,206
20170327,206,207,206,206,96800,206
20170328,206,208,205,205,254900,205
20170329,205,208,205,206,504400,206
20170330,206,208,205,208,519500,209
20170331,209,215,204,214,1146500,209
20170403,209,209,207,209,581700,209
20170404,209,210,208,210,225400,210
20170405,210,210,208,209,216100,208
20170407,208,215,208,210,911400,210
20170410,210,214,208,208,531500,209
20170411,209,212,208,209,634400,209
20170412,209,214,209,214,878300,214
20170417,214,219,214,216,517700,216
20170418,216,217,213,213,570200,213
20170419,213,218,212,218,811400,217
20170420,217,218,216,218,419100,218
20170421,218,225,218,225,1219000,224
20170424,224,224,220,221,529600,222
20170425,222,224,220,222,769500,222
20170426,222,222,219,222,613600,222
20170427,222,222,220,221,487300,221
20170428,221,222,218,220,493200,220
20170502,220,220,215,215,550800,215
20170503,215,215,210,210,566500,210
20170504,210,216,210,216,758700,217
20170505,217,217,212,216,236800,216
20170508,216,216,210,212,459200,211
20170509,211,215,211,214,165000,212
20170511,212,212,206,210,1173400,208
20170512,208,210,208,208,668900,207
20170515,207,210,206,208,174000,210
20170516,210,213,209,212,426400,212
20170517,212,213,210,210,518200,209
20170518,209,211,208,211,340200,210
20170519,210,211,207,208,204500,208
20170522,208,210,208,209,161500,210
20170523,210,214,209,212,416200,212
20170524,212,213,209,209,394700,209
20170525,209,211,209,211,110800,211
20170526,211,215,210,214,434000,214
20170529,214,218,212,212,580700,212
20170530,212,214,211,211,126600,212
20170531,212,214,210,214,608400,215
20170601,215,216,211,212,352800,211
20170602,211,212,209,211,349400,211
20170605,211,214,210,214,242100,213
20170606,213,214,209,210,343800,211
20170607,211,212,208,208,801400,208
