DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,18.2,18.2,17.9,17.9,12301500,18.1
20170105,18.1,18.2,17.9,17.9,7292900,18
20170106,18,18,17.7,17.9,6231500,18
20170109,18,18,17.7,18,2706300,18
20170110,18,18.6,17.8,18,12214600,18
20170111,18,18.3,17.9,18.1,5474600,18.2
20170112,18.2,18.4,18.1,18.2,9896200,18.2
20170113,18.2,18.3,18,18.1,5636500,17.9
20170116,17.9,18.2,17.6,17.7,9344800,17.7
20170117,17.7,18.1,17.7,18,9714600,18
20170118,18,18.2,17.8,17.9,4495800,17.8
20170119,17.8,18,17.3,17.8,9875700,17.7
20170120,17.7,18,17.6,17.7,4809000,17.9
20170123,17.9,18.1,17.7,18.1,4916500,18.1
20170124,18.1,18.1,17.7,17.8,4829600,17.9
20170125,17.9,18.2,17.9,18.2,9058800,18.2
20170126,18.2,18.2,17.8,18,7406500,17.8
20170127,17.8,18.1,17.8,17.9,2875200,17.9
20170130,17.9,18.5,17.9,18.4,4649800,18.3
20170131,18.3,18.8,18.2,18.5,10213200,18.5
20170201,18.5,18.7,18,18,9807300,18.2
20170202,18.2,18.2,17.7,17.8,5030500,17.8
20170203,17.8,18,17.8,17.8,2110200,17.9
20170206,17.9,18.1,17.9,18,2582200,18.2
20170207,18.2,18.2,18,18,1927100,18
20170208,18,18.1,17.8,18,1521100,17.9
20170209,17.9,18,17.8,17.9,1192500,17.9
20170210,17.9,18,17.7,17.9,2981200,18
20170214,18,18.1,17.8,17.8,1806900,17.9
20170215,17.9,17.9,17.1,17.4,13027600,17.3
20170216,17.3,17.7,17.2,17.5,4737400,17.4
20170217,17.4,17.7,17.3,17.6,1889900,17.5
20170220,17.5,17.9,17.5,17.7,1861800,18.1
20170221,18.1,18.3,18.1,18.3,11530600,18.3
20170222,18.3,18.3,17.8,18,5079000,18.1
20170223,18.1,18.1,17.8,18.1,2289500,18.2
20170224,18.2,18.3,18,18.1,2204700,18.1
20170227,18.1,18.1,17.8,18,1947100,18.1
20170228,18.1,18.5,17.9,18.5,5689600,18.5
20170301,18.5,18.5,18,18,5006900,18.3
20170302,18.3,18.6,18.2,18.5,7021800,18.1
20170303,18.1,18.6,18.1,18.5,4936800,18.4
20170306,18.4,18.6,18.3,18.4,3411600,18.4
20170307,18.4,18.4,18,18.2,3337900,18.1
20170308,18.1,18.2,17.8,17.8,5464900,17.8
20170309,17.8,17.9,17.6,17.6,3535000,17.6
20170310,17.6,17.6,17.2,17.2,3045900,16.9
20170313,16.9,17,16.2,16.5,15562700,16.5
20170314,16.5,16.6,15.7,16.5,16610300,16.5
20170315,16.5,17.5,16.5,16.8,6927200,16.5
20170316,16.5,16.9,16.2,16.6,9929200,16.5
20170317,16.5,16.8,16.3,16.3,3856200,16.5
20170320,16.5,16.7,16.4,16.7,4621700,16.7
20170321,16.7,16.8,16.5,16.7,4543200,16.5
20170322,16.5,16.8,16.4,16.5,6706800,16.5
20170323,16.5,16.8,16.5,16.7,2903300,16.6
20170324,16.6,16.7,16.5,16.5,877900,16.5
20170327,16.5,16.8,16.4,16.6,2621200,16.6
20170328,16.6,16.8,16.6,16.7,3867400,16.7
20170329,16.7,17,16.7,16.8,3928500,16.8
20170330,16.8,17,16.7,16.7,4288800,16.6
20170331,16.6,16.7,16.5,16.6,2467500,16.6
20170403,16.6,16.7,16.3,16.4,4100200,16.4
20170404,16.4,17,16.4,17,5558000,17
20170405,17,17.4,16.9,17,11973800,17
20170407,17,17.1,16.8,16.9,3392000,16.8
20170410,16.8,16.9,16.6,16.8,3241100,17
20170411,17,17.1,16.7,16.8,5238900,16.8
20170412,16.8,16.8,16.5,16.6,5539500,16.6
20170417,16.6,16.7,16.3,16.7,4275200,16.7
20170418,16.7,16.8,16.6,16.7,1767500,16.6
20170419,16.6,16.6,16.3,16.4,3805300,16.5
