DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,37.25,38.75,36.75,37,8226900,37.25
20170105,37.25,37.25,36,36.25,4037600,36.5
20170106,36.5,36.75,36.25,36.25,2490900,36.5
20170109,36.5,37,36.25,36.25,1815000,36.25
20170110,36.25,36.5,36,36.5,1743000,36.5
20170111,36.5,36.75,36.25,36.75,1411300,37
20170112,37,37.5,36.5,36.75,2331100,37
20170113,37,37,36.25,36.5,1223100,36.5
20170116,36.5,36.75,36.25,36.5,2237000,36.5
20170117,36.5,36.5,36,36.25,799700,36.5
20170118,36.5,36.5,36,36,929900,36
20170119,36,36,35.5,35.75,1385600,35.75
20170120,35.75,36.5,35.75,36,1146500,36
20170123,36,36.75,36,36.25,1019100,36.5
20170124,36.5,37,36.25,36.25,1640100,36.5
20170125,36.5,36.75,36,36.25,1897500,36.5
20170126,36.5,36.5,36,36,1647000,36
20170127,36,36.5,36,36.5,1279200,36.25
20170130,36.25,36.5,36,36,784900,36
20170131,36,36.25,35.5,35.75,1955300,35.75
20170201,35.75,36,35.25,35.5,2956800,35.5
20170202,35.5,36,35.25,35.5,2193300,35.5
20170203,35.5,36.5,35.5,36.5,2575700,36.5
20170206,36.5,36.5,36,36.25,1335700,36.5
20170207,36.5,36.5,36,36,1086200,36.25
20170208,36.25,36.5,36,36.5,2048300,36.5
20170209,36.5,36.75,36.25,36.75,2094100,37
20170210,37,37,36.25,36.5,2980000,37
20170214,37,37,36.25,36.5,3203900,36.75
20170215,36.75,36.75,36,36.5,2805500,36.5
20170216,36.5,36.5,36,36,2437300,36
20170217,36,36.5,36,36.5,1756000,36.5
20170220,36.5,36.5,36,36.25,1459400,36.25
20170221,36.25,36.5,34.75,35.5,6399900,34.75
20170222,34.75,35,34,34.5,6298700,34.5
20170223,34.5,34.75,34.25,34.5,1570400,34.5
20170224,34.5,34.75,34.25,34.25,2097700,34.25
20170227,34.25,34.5,34.25,34.5,861200,34.25
20170228,34.25,34.5,34.25,34.25,995900,34.5
20170301,34.5,35,34.25,34.5,2431400,34.75
20170302,34.75,34.75,34.25,34.25,1756400,34.5
20170303,34.5,34.5,34.25,34.25,1236700,34.25
20170306,34.25,34.25,32.5,33,6348200,32.75
20170307,32.75,33,32,32,5636200,32.25
20170308,32.25,32.5,31,31.75,6994200,32
20170309,32,32.5,31.5,31.5,5548100,31.75
20170310,31.75,31.75,31.25,31.5,1638200,31.5
20170313,31.5,31.75,31,31.5,2686900,31.5
20170314,31.5,31.75,31.25,31.25,6716200,31.5
20170315,31.5,32.75,31.25,32.5,5039300,32.75
20170316,32.75,33.5,32.5,33.25,4108600,33.25
20170317,33.25,33.25,33,33.25,2028700,33.25
20170320,33.25,33.5,33,33.25,1279700,33.25
20170321,33.25,33.5,33,33,1321200,33
20170322,33,33.5,33,33.25,1097500,33.5
20170323,33.5,34.25,33.25,34,2901600,34
20170324,34,34.25,33.5,34,4627200,34.25
20170327,34.25,34.5,34,34,1347200,34.25
20170328,34.25,34.5,34,34.25,1500100,34.25
20170329,34.25,34.5,34.25,34.5,1098000,34.5
20170330,34.5,34.5,34,34.25,1549500,34.25
20170331,34.25,34.25,33.75,33.75,2588400,34
20170403,34,34.5,33.75,34,2753800,34.25
20170404,34.25,34.25,34,34.25,1734100,34.25
20170405,34.25,34.5,33.75,34.5,2905900,34.25
20170407,34.25,34.5,34,34.5,1575800,34.25
20170410,34.25,34.25,33.5,33.75,3660100,33.75
20170411,33.75,34,33.5,33.75,1521900,33.75
20170412,33.75,34,33.75,34,778400,34
20170417,34,34.25,33.5,34,2708000,34
20170418,34,34.25,34,34,1330600,34
20170419,34,34,33.75,34,932100,34
20170420,34,34.25,34,34,673600,34
20170421,34,34.25,33.75,34,1176100,34
20170424,34,34.25,33.75,34,751900,34.25
20170425,34.25,34.25,33.75,34.25,1618500,34
20170426,34,35.5,34,35.5,5255700,35.5
20170427,35.5,35.75,34.75,35,2862700,35
20170428,35,35.25,34.25,34.5,1849700,34.5
20170502,34.5,34.75,34.25,34.25,727100,34.25
20170503,34.25,34.25,33.75,33.75,1341200,34
20170504,34,35.25,34,35,3919000,35
20170505,35,35.75,34.75,35.5,2407700,35.5
20170508,35.5,35.75,35.5,35.5,1173900,35.5
20170509,35.5,35.75,34.5,35,1285700,35
20170511,35,35.25,34.5,35,2338400,35
20170512,35,35.5,34.5,35.5,1625500,35.25
20170515,35.25,35.5,34.5,35,1112700,34.75
20170516,34.75,34.75,34.5,34.5,587300,34.75
20170517,34.75,35,34,34,1537700,34
20170518,34,34.25,33.75,34,1187700,34
20170519,34,34.25,34,34,907400,34.25
20170522,34.25,34.5,34,34.25,1950000,34.25
20170523,34.25,34.75,34.25,34.5,1844200,34.5
20170524,34.5,34.75,34,34.75,2291100,35
20170525,35,35,34.75,34.75,1466100,35
20170526,35,35.25,34.75,35,1087300,35
20170529,35,35.25,35,35,849200,35
20170530,35,35,34.75,35,649400,35
20170531,35,35,34.5,34.75,2493700,34.5
20170601,34.5,35,34,34.5,1848700,34.5
20170602,34.5,35,34.25,34.5,1983800,34.75
20170605,34.75,34.75,34.5,34.5,1259200,34.75
20170606,34.75,34.75,34.25,34.25,1315700,34.25
20170607,34.25,34.5,34,34.25,998300,34.25
20170608,34.25,34.5,34,34,1530200,34.25
20170609,34.25,35,34.25,34.5,1355900,34.75
20170612,34.75,35,34,34.25,1586700,34.25
20170613,34.25,35,34.25,34.75,1463900,34.75
20170614,34.75,34.75,34.5,34.75,946200,34.75
20170615,34.75,34.75,34.5,34.5,1018400,34.5
20170616,34.5,34.75,34.5,34.5,989400,34.75
20170619,34.75,35.5,34.5,35.25,2420500,35.5
