DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,10.2,10.2,9.95,10.1,23496300,DRAW
20170105,10.1,10.1,9.95,10.1,18858000,DRAW
20170106,10.1,10.1,9.95,9.95,19716400,UP
20170109,10,10.1,9.95,10,14574300,DRAW
20170110,10,10.2,10,10.2,29970300,DOWN
20170111,10.1,10.2,10,10.1,17002700,DRAW
20170112,10.1,10.4,10.1,10.3,50512400,UP
20170113,10.4,10.7,10.3,10.6,38514300,DRAW
20170116,10.6,10.7,10.4,10.4,19512200,DRAW
20170117,10.4,10.6,10.4,10.4,10546100,DRAW
20170118,10.4,10.6,10.4,10.4,10440100,UP
20170119,10.5,10.5,10.1,10.1,29673600,DRAW
20170120,10.1,10.3,10,10.1,13599400,UP
20170123,10.2,10.4,10.1,10.3,13804000,DRAW
20170124,10.3,10.5,10.2,10.4,6132300,DRAW
20170125,10.4,10.5,10.2,10.4,20494300,DRAW
20170126,10.4,10.5,10.1,10.2,23425200,DRAW
20170127,10.2,10.4,10.1,10.4,17387000,DOWN
20170130,10.3,10.4,10.1,10.1,12165000,DRAW
20170131,10.1,10.2,9.95,9.95,27417300,DRAW
20170201,9.95,10.1,9.9,9.95,31473900,UP
20170202,10,10.1,9.9,10,11752600,UP
20170203,10.1,10.1,9.9,9.95,16165700,UP
20170206,10,10.1,9.95,10,9703900,DRAW
20170207,10,10.1,9.85,9.9,29054000,DRAW
20170208,9.9,9.95,9.8,9.8,20553600,UP
20170209,9.85,10,9.8,10,14975700,DRAW
20170210,10,10,9.7,9.85,35940400,DOWN
20170214,9.8,9.9,9.75,9.8,11210800,UP
20170215,9.85,9.85,9.6,9.7,23485400,DRAW
20170216,9.7,9.75,9.5,9.5,53601100,DRAW
20170217,9.5,9.75,9.4,9.75,43407100,DRAW
20170220,9.75,9.8,9.65,9.75,7403300,UP
20170221,9.8,9.8,9.55,9.6,19948500,DRAW
20170222,9.6,9.65,9.5,9.5,30392700,DOWN
20170223,9.45,9.75,9.45,9.65,24508400,DRAW
