DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,50,51,49.75,50.75,15341900,51
20170105,51,52,51,51.75,23357600,51.75
20170106,51.75,51.75,51.25,51.5,9848500,51.5
20170109,51.5,51.75,51,51,6440900,51
20170110,51,51.75,51,51.75,5948700,51.75
20170111,51.75,52.5,51.5,52,16917300,52.25
20170112,52.25,52.5,51.5,51.75,9295700,52
20170113,52,52.25,51.5,52,7389200,52
20170116,52,52.5,51.75,52,7614200,52
20170117,52,52.25,51.75,52.25,5922300,52.25
20170118,52.25,52.5,51.75,52,5447200,52
20170119,52,52,51.5,51.75,6021800,51.75
20170120,51.75,52.5,51.75,52,7058900,52
20170123,52,52.5,52,52.25,2384000,52.25
20170124,52.25,53,52.25,52.5,7250400,52.75
20170125,52.75,54.25,52.75,54,28406100,54.25
20170126,54.25,54.5,53.75,53.75,18698700,53.75
20170127,53.75,54.5,53.5,54.5,12006000,54.25
20170130,54.25,54.75,54,54.25,5619100,54
20170131,54,54,53.25,53.5,9513300,53
20170201,53,54,53,54,8164600,54
20170202,54,54.25,53.5,53.75,7382400,53.5
20170203,53.5,53.75,52.75,53.25,10435300,53
20170206,53,53.75,52.25,53.5,15186300,53.5
20170207,53.5,54.25,53.25,53.75,16508700,53.75
20170208,53.75,55.5,53.75,55.25,35623500,55
20170209,55,55.5,54.75,55.5,17317000,55.5
20170210,55.5,55.75,55,55.5,12914500,55.25
20170214,55.25,55.75,55,55.25,8605800,55
20170215,55,55.25,54.5,55,14182700,55
20170216,55,55.25,54.75,55,9675700,55.5
20170217,55.5,55.75,55,55.25,18100000,55.5
20170220,55.5,55.5,55,55.25,7730700,55.25
20170221,55.25,55.5,54.5,54.5,11140900,54.5
20170222,54.5,54.75,54.25,54.5,9727000,54.5
20170223,54.5,54.75,53.75,54.75,7790500,54.75
20170224,54.75,55,54.25,54.75,4881000,54.75
20170227,54.75,54.75,54,54,6472900,54
20170228,54,54.25,53,53,13483000,53.25
20170301,53.25,54.25,53.25,54.25,6230300,54.5
20170302,54.5,54.5,54,54,7543500,54
20170303,54,54.25,53.75,54,6488400,54
20170306,54,54.25,53.5,53.75,6243500,53.75
20170307,53.75,54.25,53.5,53.75,7765800,53.5
