DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,4.84,4.92,4.82,4.9,205986400,4.92
20170105,4.92,4.92,4.86,4.88,86752700,4.9
20170106,4.9,5.1,4.86,5.05,424110300,5.1
20170109,5.1,5.25,5.05,5.25,382645200,5.25
20170110,5.25,5.3,5.05,5.1,303913900,5.15
20170111,5.15,5.3,5.15,5.2,251404800,5.3
20170112,5.3,5.45,5.25,5.3,491162200,5.3
20170113,5.3,5.35,5.2,5.25,202597900,5.2
20170116,5.2,5.3,5.15,5.2,145131900,5.2
20170117,5.2,5.4,5.2,5.35,207689900,5.4
20170118,5.4,5.4,5.2,5.2,235514400,5.25
20170119,5.25,5.25,5.1,5.15,235572600,5.15
20170120,5.15,5.3,5.15,5.2,143000800,5.3
20170123,5.3,5.35,5.15,5.2,134859200,5.2
20170124,5.2,5.4,5.2,5.4,241615100,5.4
20170125,5.4,5.45,5.3,5.35,141272700,5.4
20170126,5.4,5.4,5.25,5.3,117630600,5.35
20170127,5.35,5.4,5.3,5.3,42823000,5.35
20170130,5.35,5.35,5.25,5.25,36086300,5.25
20170131,5.25,5.3,5.1,5.2,122412900,5.15
20170201,5.15,5.2,5.1,5.2,84680900,5.2
20170202,5.2,5.3,5.15,5.15,93923300,5.2
20170203,5.2,5.35,5.15,5.3,118061000,5.4
20170206,5.4,5.4,5.25,5.3,131815200,5.3
20170207,5.3,5.35,5.2,5.3,77100300,5.25
20170208,5.25,5.4,5.25,5.25,211341400,5.3
20170209,5.3,5.35,5.25,5.3,96065800,5.3
20170210,5.3,5.35,5.25,5.3,89427000,5.35
20170214,5.35,5.35,5.25,5.3,89889700,5.3
20170215,5.3,5.3,5.1,5.1,318053900,5.15
20170216,5.15,5.2,5.1,5.15,104236700,5.2
20170217,5.2,5.2,5.15,5.15,72258800,5.2
20170220,5.2,5.25,5.15,5.25,106819000,5.25
20170221,5.25,5.3,5.2,5.25,68817700,5.25
20170222,5.25,5.25,5.15,5.2,82358100,5.2
20170223,5.2,5.25,5.15,5.25,58224800,5.25
20170224,5.25,5.25,5.15,5.2,116061900,5
20170227,5,5.05,4.96,5,139043400,5
20170228,5,5.05,4.96,4.96,81121600,4.98
20170301,4.98,5,4.94,4.98,47618500,4.98
20170302,4.98,5.05,4.96,5.05,80558400,5
