DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,33.5,36.25,33.5,36.25,112320400,36.5
20170105,36.5,36.75,35.75,36,70285800,36.25
20170106,36.25,37.25,35.75,36.5,98336700,36.5
20170109,36.5,37.25,36.25,37,43363900,37
20170110,37,37.5,36.5,37,29017400,37
20170111,37,37.25,36,36.25,31655700,36.25
20170112,36.25,36.75,35.75,35.75,38575300,36
20170113,36,36.75,35.75,36.75,29838100,36.75
20170116,36.75,37,36.25,36.75,22886400,36.75
20170117,36.75,37,35.75,36.25,21333300,36
20170118,36,36.25,34.5,35,44242000,34.75
20170119,34.75,34.75,34,34.75,62013000,34.5
20170120,34.5,35.25,34.25,35,41337200,35
20170123,35,35.5,34.75,35.25,21915800,35.5
20170124,35.5,36.75,35.25,36.25,41813200,36.25
20170125,36.25,36.5,35.75,35.75,17817100,36
20170126,36,36,35,35,36302000,35.25
20170127,35.25,35.75,34.75,35.5,22312600,35.5
20170130,35.5,35.75,35,35.25,9931300,35.25
20170131,35.25,35.25,34.5,35,24183000,34.75
20170201,34.75,35,34.25,34.75,24332000,34.75
20170202,34.75,35.25,34.25,34.25,22417700,34.5
20170203,34.5,36.25,34.5,36.25,39729700,36.25
20170206,36.25,37,36,36.75,32739500,36.75
20170207,36.75,36.75,35.25,35.75,36425500,36
20170208,36,36.5,35.75,36,23056200,36.25
20170209,36.25,36.25,35.5,35.75,14318400,36.25
20170210,36.25,36.75,35.75,36.75,31493300,36.75
20170214,36.75,37,36.25,36.5,23323500,36.75
20170215,36.75,37,36,36.5,31594100,36.5
20170216,36.5,37.25,36.5,37,34568200,37
20170217,37,37.75,36.75,37,62034800,37
20170220,37,37.25,36.25,36.75,46415900,36.75
20170221,36.75,37,35.5,35.5,49763100,35.75
20170222,35.75,36,35,35.75,32458300,35.75
20170223,35.75,35.75,35,35.25,26915900,35.25
20170224,35.25,36,35.25,36,22041100,35.75
20170227,35.75,35.75,35.25,35.5,16549500,35.75
20170228,35.75,36,35.5,35.5,12770300,35.5
20170301,35.5,36.25,35.5,36,26258100,36.25
20170302,36.25,36.5,36,36.25,22074900,36.25
20170303,36.25,36.5,36,36,5615800,35.75
20170306,35.75,36.25,35,35.25,28222200,35.25
20170307,35.25,35.5,35,35.25,19176800,35.25
20170308,35.25,35.5,33.75,34.75,48473900,34.5
20170309,34.5,34.75,34,34.25,21459500,34.25
20170310,34.25,34.25,33.25,33.75,30709200,33.5
20170313,33.5,34.25,33.25,34,12495400,34
20170314,34,35,34,34.75,16015000,34.75
20170315,34.75,35,34.25,34.75,9500400,35
20170316,35,35.5,34.75,35.25,19473600,35.25
20170317,35.25,35.25,34.75,35.25,12407000,35.25
20170320,35.25,35.5,34.75,34.75,11747900,34.75
20170321,34.75,35.25,34.75,34.75,16139200,34.5
20170322,34.5,34.75,34.25,34.75,10492900,34.75
20170323,34.75,35,34.5,34.75,7070600,34.75
20170324,34.75,35,34.25,34.75,11768200,34.75
20170327,34.75,34.75,34.25,34.5,8693900,34.5
20170328,34.5,35,34,34.75,22568100,34.75
20170329,34.75,35.5,34.75,35.25,18525600,35.25
20170330,35.25,35.75,35,35.25,16094800,35.5
20170331,35.5,35.75,35,35.25,18647600,35.25
20170403,35.25,35.5,35,35.5,6874900,35.25
20170404,35.25,35.75,34.75,35.5,17080100,35.25
20170405,35.25,35.5,34.75,35.25,15439600,35
20170407,35,35.25,34.75,35.25,7981500,35
20170410,35,35.25,34.75,35.25,7414000,35.25
20170411,35.25,35.25,34.75,35,5985700,35
20170412,35,36,34.75,35.75,24509600,35.5
20170417,35.5,35.75,35.25,35.5,9461600,35.5
20170418,35.5,36.25,35.5,36,29131900,36
20170419,36,36,35.25,35.5,18352500,35.5
20170420,35.5,35.75,35.25,35.5,14712200,35.75
20170421,35.75,36.5,35.75,36.25,19979200,36.25
20170424,36.25,36.5,36,36.5,10397400,36.5
20170425,36.5,36.75,35.75,36.25,19937500,36.25
20170426,36.25,37,36.25,37,29107900,37
20170427,37,37.5,36.75,37.25,13368500,37.25
20170428,37.25,37.5,36.5,36.75,17649600,36.75
20170502,36.75,36.75,36.25,36.75,6324800,36.75
20170503,36.75,36.75,36,36.5,13851700,36
20170504,36,36.5,36,36.25,15078100,36.25
20170505,36.25,36.25,35.75,36.25,10718500,36.25
20170508,36.25,37,36,36,32216000,36.25
20170509,36.25,36.75,35.75,36.25,22195100,36.5
20170511,36.5,36.5,35.75,36.25,12673000,36.25
20170512,36.25,36.25,35.75,36.25,15267200,36
20170515,36,36.25,35.25,35.5,15526300,35.5
20170516,35.5,36.25,35.5,36,25347900,36
20170517,36,36.75,35.75,36.5,12350600,36.25
20170518,36.25,36.5,35.75,36,20415600,36
20170519,36,36.5,35.75,36,15069400,36.25
20170522,36.25,36.25,35.5,35.75,12955600,36
20170523,36,36.5,35.75,36.25,16975000,36.25
20170524,36.25,36.5,36,36.25,8293600,36.25
20170525,36.25,36.5,36.25,36.5,9933000,36.5
20170526,36.5,38.25,36.5,38,55253100,38
20170529,38,38.5,37.75,38,38498100,38.25
20170530,38.25,38.25,37.25,37.5,33668200,37.5
20170531,37.5,37.75,36,36.75,45983100,36.75
20170601,36.75,37.5,36.5,37,30866600,36.75
20170602,36.75,37.25,36.75,37.25,16850700,37.25
20170605,37.25,37.5,36.75,37,13801200,37.25
20170606,37.25,37.75,37,37.75,11577700,37.75
20170607,37.75,38,37,37,11399700,37.25
20170608,37.25,38,37,38,19209400,38
20170609,38,38.5,37.75,38.25,15345800,38.25
20170612,38.25,38.25,37.5,38,10979500,38.25
20170613,38.25,38.5,37.75,38,27480700,38
20170614,38,39.25,37.75,39,42729200,39
20170615,39,39.25,38.5,39,17046200,39.25
20170616,39.25,39.25,38.5,38.5,13989400,38.5
20170619,38.5,39,38.5,38.75,8076300,39
20170620,39,39.25,38.75,39,18953100,39
20170621,39,39,38.25,38.75,12803800,38.75
20170622,38.75,39.25,38.5,39,9286700,39.25
20170623,39.25,39.5,38.75,39,14866700,39.25
20170626,39.25,39.5,38.75,39,9683500,39.25
20170627,39.25,39.25,38.75,39,5267100,39
20170628,39,39,38.25,38.5,16636500,38.5
20170629,38.5,38.75,38,38.25,12725000,38.25
20170630,38.25,38.25,37,38,29326600,38
20170703,38,38.25,37.5,38,17280000,38.25
20170704,38.25,38.25,37.5,37.75,14426500,37.75
20170705,37.75,38,37.5,37.75,9858200,37.75
20170706,37.75,37.75,37.25,37.5,11022900,37.5
20170707,37.5,37.75,37.25,37.75,6938700,37.75
20170711,37.75,38,37.25,37.75,8839300,38
20170712,38,38,37.5,38,14470800,37.75
20170713,37.75,38.25,37.75,38,24654200,38
20170714,38,38.5,37.75,38,19833900,38
20170717,38,38,36.75,37,24131000,37
20170718,37,37.25,36.5,36.5,14747400,36.75
20170719,36.75,37,36.5,36.5,11710700,36.75
20170720,36.75,37,36.5,36.75,17187300,37
20170721,37,37,36.5,36.5,5547400,36.5
20170724,36.5,37,36.5,36.75,10295200,36.75
20170725,36.75,36.75,36,36.25,14615200,36.5
20170726,36.5,37.5,36.25,37.25,29017700,37.25
20170727,37.25,37.5,36.5,37,19912500,37
20170731,37,37.25,36.5,37.25,12321700,37.25
20170801,37.25,37.75,37.25,37.5,21552600,37.75
20170802,37.75,38.25,37.25,38,25524900,38
20170803,38,38,37.5,37.5,12337900,37.75
20170804,37.75,37.75,37.25,37.5,6193800,37.5
20170807,37.5,37.75,37,37,8266100,37
20170808,37,37.5,36.75,37.25,11955600,37.25
20170809,37.25,37.5,36.5,37.25,11071100,37.25
20170810,37.25,37.5,37,37.25,6772800,37
20170811,37,37.25,36.75,37.25,10197800,37.5
20170815,37.5,38.25,37.25,38.25,30490900,38.5
20170816,38.5,38.5,38,38.25,11001000,38.25
20170817,38.25,38.25,37.75,38,12531900,37.75
20170818,37.75,38,37.75,37.75,3147600,38
20170821,38,38.25,37.5,38,17374800,38.25
20170822,38.25,38.5,38,38.25,25104700,38
20170823,38,38.25,37.75,38,12679900,38
20170824,38,38.25,37.75,38,5354200,38
20170825,38,38.25,37.75,38.25,9554500,38.25
20170828,38.25,38.5,37.75,38.25,14618700,38.25
20170829,38.25,40,38.25,39.5,46000400,39.5
20170830,39.5,39.75,38.75,39,19914000,38.75
20170831,38.75,39.25,38.5,39,15005000,39
20170901,39,39.25,38.5,38.5,14218600,38.75
20170904,38.75,39.5,38.5,39.25,45306300,39.25
20170905,39.25,40,39,39.75,16805200,40
20170906,40,40.75,40,40.5,36022300,40.5
20170907,40.5,41,40.25,40.75,26862900,40.75
20170908,40.75,41.5,40.25,40.75,28202000,40.75
20170911,40.75,41,40,40.5,11099300,40.75
20170912,40.75,41,40,40,10796400,40.25
