DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,180,182,179.5,182,14901000,182
20170105,182,183.5,181.5,183.5,9019700,183
20170106,183,184.5,182,183,7053100,184
20170109,184,186,183,186,10697200,186.5
20170110,186.5,190.5,186,189,11795200,190.5
20170111,190.5,191,188.5,190.5,7535100,190.5
20170112,190.5,191,188,188.5,7197900,189
20170113,189,189,186.5,187.5,4788600,186.5
20170116,186.5,187.5,184,185.5,5010300,185
20170117,185,187,185,185,3502500,187
20170118,187,188,185,185,4248500,184
20170119,184,184,181.5,182,6413100,181.5
20170120,181.5,187.5,181,184,6363800,184.5
20170123,184.5,186,184,186,5524800,186
20170124,186,188.5,186,187,4494500,188
20170125,188,191,188,191,7748900,193
20170126,193,193.5,189,190,8042800,189
20170127,189,189.5,187,187.5,4994600,187
20170130,187,189,186.5,189,1734800,188.5
20170131,188.5,188.5,187,188.5,4294400,187
20170201,187,191.5,187,191,7890200,191.5
20170202,191.5,191.5,189,189.5,3894600,189.5
20170203,189.5,192,189,191,4912800,192
20170206,192,196,191.5,195.5,9425800,195
20170207,195,196,194.5,195.5,5606000,195
20170208,195,196.5,194.5,195.5,5138700,195.5
20170209,195.5,199,195.5,198.5,7160400,199.5
20170210,199.5,201,196.5,198,12734300,199.5
20170214,199.5,199.5,194,194.5,5907300,193.5
20170215,193.5,195,191,193,6948500,193
20170216,193,196.5,191.5,195,5710200,195.5
20170217,195.5,197.5,195.5,197.5,2252300,197.5
20170220,197.5,197.5,194,197,2782700,196.5
20170221,196.5,197,191.5,193,7882600,193
20170222,193,194.5,191,193,6210800,192
20170223,192,193,190,190.5,7756500,190.5
20170224,190.5,191,189.5,189.5,4602000,189
20170227,189,189.5,187.5,187.5,5637800,189
20170228,189,191.5,188.5,191.5,3657200,192.5
20170301,192.5,195,192,195,4287000,195.5
20170302,195.5,196.5,195,196,5795400,196
20170303,196,196,194,195,2158600,194
20170306,194,194.5,191.5,192,3057200,192
20170307,192,193,191,192,2550800,191
20170308,191,192.5,189,192,5134000,191.5
20170309,191.5,191.5,189.5,190,4523500,190
20170310,190,192,189,190,4386500,189.5
20170313,189.5,190,188,189,4863200,190
20170314,190,191.5,189.5,190,6978500,189.5
20170315,189.5,190.5,189,189.5,2978300,190.5
20170316,190.5,193.5,190,192.5,8960900,193
20170317,193,193.5,192,193,4315200,193.5
20170320,193.5,194.5,191.5,192,6727900,192
20170321,192,193,191.5,193,3983700,191
20170322,191,192,190.5,190.5,4978700,191.5
20170323,191.5,192.5,191,191,3629300,191
20170324,191,191.5,190,191,3186600,191
20170327,191,192,191,191,4239300,192
20170328,192,193.5,191,192,5761700,192.5
20170329,192.5,193,192,192.5,4063100,193
20170330,193,193,191,191,6820800,192
20170331,192,192,189,189,7718500,189.5
20170403,189.5,191,189,190.5,2604700,190.5
20170404,190.5,193,190.5,192.5,3047500,192.5
20170405,192.5,193.5,192,193.5,3431800,191
20170407,191,193.5,190.5,193.5,5295300,193.5
20170410,193.5,193.5,192,193.5,1915300,193.5
20170411,193.5,197,193,195.5,6909000,196
20170412,196,197,195,195,3294600,194.5
20170417,194.5,195,193,193.5,1444700,194
20170418,194,195.5,192,192.5,3944500,192
20170419,192,193,186,186,8847400,187
20170420,187,190,186,188.5,8358900,189
20170421,189,190,188.5,189,4055100,189
20170424,189,189.5,184.5,185.5,8450100,186
20170425,186,186.5,184,185,9013900,185.5
20170426,185.5,186,184,185,8094900,184.5
20170427,184.5,185.5,183.5,183.5,3987000,184.5
20170428,184.5,185.5,184,185,5638200,186
20170502,186,189,185,187,8266500,187.5
20170503,187.5,189.5,187,189,3258600,190
20170504,190,193,190,193,8482600,191.5
20170505,191.5,193,191,192,4079300,192.5
20170508,192.5,193.5,191.5,192.5,4054400,193
20170509,193,194,191,193,3283500,191
20170511,191,191,188.5,189.5,9321000,189
20170512,189,189.5,187,189.5,8404600,189.5
20170515,189.5,190,184.5,185,8243200,184
20170516,184,184,182.5,182.5,14495400,182.5
20170517,182.5,186,182.5,185,6610800,184
20170518,184,185.5,184,185,3131000,185
20170519,185,188,185,187,5711600,188
20170522,188,191,187.5,190.5,6895500,190.5
20170523,190.5,191.5,189,191.5,4387300,191.5
20170524,191.5,191.5,189.5,190.5,5025500,192
20170525,192,192,190,190,3429000,190.5
20170526,190.5,191,189,190,2852200,190
20170529,190,191,190,190.5,1282600,190.5
20170530,190.5,191.5,190.5,190.5,1067900,190.5
20170531,190.5,191,187.5,187.5,3642300,187.5
20170601,187.5,190,187.5,190,2540400,191
20170602,191,191,188.5,189,2904600,189.5
20170605,189.5,190.5,189,190.5,2879500,190
20170606,190,190.5,188.5,189.5,1264200,189.5
20170607,189.5,190,187.5,188,3919500,188.5
20170608,188.5,189.5,187.5,188,4881700,188
20170609,188,190.5,187.5,189,5435100,189
20170612,189,190.5,189,190,2054600,191
20170613,191,191.5,190,191.5,2859200,191.5
20170614,191.5,192,190.5,192,2327200,190.5
20170615,190.5,191.5,189,189.5,4188600,190.5
20170616,190.5,192,189.5,192,3690600,192
20170619,192,192.5,191.5,192,1967700,192.5
20170620,192.5,193,192,192,5705100,192
20170621,192,194.5,191.5,193.5,4759800,192
20170622,192,194,192,192.5,3421300,192
20170623,192,194,192,193,9013000,193.5
20170626,193.5,195,193,194,3293600,194
20170627,194,195.5,193.5,195.5,4032500,195
20170628,195,198,194.5,198,12145800,198.5
20170629,198.5,200,198.5,199,12428400,199
20170630,199,199.5,197.5,198.5,7125400,198.5
20170703,198.5,199,196.5,197,3760700,198
20170704,198,199.5,197,199,3829300,198.5
20170705,198.5,199.5,197,199,3086600,198
20170706,198,199.5,197.5,198,3773300,197
20170707,197,197.5,195.5,196,3201000,198
20170711,198,199.5,197.5,199,4483800,200
20170712,200,205,200,203,12267600,205
20170713,205,207,202,203,9353700,204
20170714,204,204,201,202,5220500,202
20170717,202,203,199.5,200,4874300,201
20170718,201,201,197.5,197.5,6304900,198
20170719,198,199,197,198.5,3273800,197
20170720,197,197,195,195.5,7988600,196.5
20170721,196.5,198.5,195.5,197,6327700,196.5
20170724,196.5,198.5,196,198.5,3617200,199
20170725,199,199.5,197,197.5,3060900,198.5
20170726,198.5,199,196.5,198.5,3566800,199
20170727,199,199.5,196.5,197.5,3045800,197.5
20170731,197.5,198,191,192.5,10907900,190
20170801,190,190.5,188.5,190,11961500,190
20170802,190,191.5,188,190,9452100,189.5
20170803,189.5,191,188.5,188.5,6123900,189
20170804,189,189.5,188,188.5,3628700,188
20170807,188,189,186,189,4171300,190
20170808,190,194,189.5,193.5,6201400,192.5
20170809,192.5,193.5,191.5,193.5,3071600,193.5
20170810,193.5,194,191.5,194,3493700,193
20170811,193,193.5,191.5,193.5,4516900,194.5
20170815,194.5,195,192.5,192.5,2717500,192
20170816,192,192,189.5,191,4253000,191.5
20170817,191.5,192,190,190,2510100,189.5
20170818,189.5,191.5,189.5,191,2133700,191
