DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170104,58.75,59,57.75,58.5,4426200,UP,58.75
20170105,58.75,60.25,58.5,59,4529900,DRAW,59
20170106,59,59.25,58.25,58.5,2852100,DRAW,58.5
20170109,58.5,58.5,57,57,4559700,UP,57.25
20170110,57.25,57.75,56.75,57,7306400,DRAW,57
20170111,57,58,56.75,57,5579500,UP,57.25
20170112,57.25,57.5,57,57.5,2729800,UP,57.75
20170113,57.75,57.75,57,57.25,1570900,DRAW,57.25
20170116,57.25,57.5,57,57,707000,DRAW,57
20170117,57,57.25,56,56,3942900,DRAW,56
20170118,56,56,54.25,55,7874000,DRAW,55
20170119,55,55.25,53.5,53.5,7328600,UP,54
20170120,54,56.75,53.75,56,8644900,UP,57
20170123,57,58.25,56.75,57.5,8845200,UP,57.75
20170124,57.75,58.25,57.5,57.75,3071600,UP,58
20170125,58,58,57.5,57.5,3853100,UP,57.75
20170126,57.75,58,57,57.25,4244600,UP,57.5
20170127,57.5,57.75,57,57.75,1797900,DRAW,57.75
20170130,57.75,57.75,56.75,56.75,4208900,UP,57
20170131,57,57.75,57,57,4196000,UP,57.25
20170201,57.25,57.75,56.75,57.25,5546500,UP,57.5
20170202,57.5,57.75,57.25,57.5,3476800,DRAW,57.5
20170203,57.5,58.5,57.5,58.25,6404200,UP,58.5
20170206,58.5,59,58.25,58.5,5158800,UP,58.75
20170207,58.75,59.25,58.5,59,3286500,DRAW,59
20170208,59,59.5,59,59.25,3784700,UP,59.5
20170209,59.5,61.75,59.25,61,18621300,UP,61.5
20170210,61.5,61.5,60.25,61,7174900,UP,62
20170214,62,63,61.25,62,9593800,DRAW,62
20170215,62,62.25,61,61.5,4745600,UP,61.75
20170216,61.75,63,61.5,63,6939500,DOWN,62.75
20170217,62.75,63.75,62,62.5,7930900,DRAW,62.5
20170220,62.5,63.5,62.5,62.75,5212300,UP,63
20170221,63,63.25,62.5,62.75,2265900,DRAW,62.75
20170222,62.75,64,62.75,63.75,6768700,DRAW,63.75
20170223,63.75,67.75,63.5,66.5,15744600,DOWN,66.25
20170224,66.25,66.25,65,66,9876500,DOWN,65.75
20170227,65.75,66.5,65.25,66.25,5437300,UP,66.5
20170228,66.5,66.75,65.5,65.75,6451700,DRAW,65.75
20170301,65.75,66.75,65.5,65.75,6922600,UP,66
20170302,66,67.25,65.75,67,13788400,UP,67.25
20170303,67.25,68,65.5,65.75,22529500,DRAW,65.75
