DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,17.8,18,17.7,18,67913400,18
20170105,18,18.6,18,18.6,166302800,18.6
20170106,18.6,18.6,18.3,18.4,42785600,18.5
20170109,18.5,18.6,18.2,18.4,41186000,18.4
20170110,18.4,18.9,18.4,18.8,103262900,18.9
20170111,18.9,18.9,18.7,18.7,62531600,18.9
20170112,18.9,19,18.6,18.8,50354200,18.7
20170113,18.7,18.8,18.5,18.6,28067500,18.6
20170116,18.6,18.6,18.4,18.5,22428400,18.4
20170117,18.4,18.6,18.3,18.4,33225700,18.5
20170118,18.5,18.6,18.4,18.6,33029400,18.5
20170119,18.5,18.5,18.3,18.4,35950700,18.6
20170120,18.6,18.8,18.5,18.8,62842800,18.9
20170123,18.9,19.1,18.9,18.9,58861700,19
20170124,19,19.1,18.9,18.9,41389900,19.1
20170125,19.1,19.4,19,19.1,100634500,19.3
20170126,19.3,19.3,19,19.1,49774400,19.1
20170127,19.1,19.3,19,19.2,26753900,19.2
20170130,19.2,19.3,19.1,19.2,11466800,19.1
20170131,19.1,19.1,18.8,19,35309100,19
20170201,19,19.2,18.9,19.2,21752200,19.2
20170202,19.2,19.2,18.9,19,40206000,19
20170203,19,19.1,18.9,19.1,48912400,19.2
20170206,19.2,19.3,18.9,19,77639200,18.9
20170207,18.9,19.1,18.8,19,49866700,19
20170208,19,19.2,18.9,19,57530300,19.1
20170209,19.1,19.7,19.1,19.5,142179400,19.6
20170210,19.6,19.6,19.4,19.4,55991300,19.5
20170214,19.5,19.7,19.2,19.4,66316500,19.4
20170215,19.4,19.5,19,19.4,75742000,19.5
20170216,19.5,19.6,19.3,19.5,27965400,19.6
20170217,19.6,19.6,19.4,19.5,26199700,19.5
20170220,19.5,19.6,19.4,19.5,16795100,19.5
20170221,19.5,19.6,19.4,19.4,23214400,19.4
20170222,19.4,19.9,19.3,19.9,62210500,19.8
20170223,19.8,19.9,19.4,19.6,52262300,19.5
20170224,19.5,19.8,19.5,19.8,31986500,19.6
20170227,19.6,19.7,19.3,19.4,33283700,19.5
20170228,19.5,19.6,19.3,19.6,27089600,19.6
20170301,19.6,19.8,19.5,19.8,22361600,19.8
20170302,19.8,19.9,19.7,19.8,30549900,19.7
20170303,19.7,19.9,19.7,19.8,16088200,19.7
20170306,19.7,19.8,19.6,19.6,18246400,19.7
20170307,19.7,19.7,19.5,19.6,30519500,19.6
20170308,19.6,19.7,19.3,19.7,56443800,19.6
20170309,19.6,19.9,19.5,19.9,38670400,19.9
20170310,19.9,20.1,19.8,20,66971700,20.1
