DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170104,9.7,9.85,9.7,9.7,18656100,UP,9.8
20170105,9.8,9.95,9.8,9.85,32953100,DOWN,9.8
20170106,9.8,9.95,9.7,9.85,29494500,DRAW,9.85
20170109,9.85,9.9,9.7,9.75,20993000,DOWN,9.7
20170110,9.7,10.1,9.7,10.1,34947100,DOWN,10
20170111,10,10.3,9.95,10.2,29574600,DRAW,10.2
20170112,10.2,10.2,9.95,10,13774500,UP,10.1
20170113,10.1,10.1,9.95,10.1,11186300,DRAW,10.1
20170116,10.1,10.1,9.85,9.85,16191700,DRAW,9.85
20170117,9.85,10,9.8,9.85,12358300,DRAW,9.85
20170118,9.85,9.85,9.55,9.6,40725800,DRAW,9.6
20170119,9.6,9.6,9.35,9.5,34913100,DRAW,9.5
20170120,9.5,9.6,9.45,9.55,21961600,DRAW,9.55
20170123,9.55,9.85,9.55,9.8,36696000,DRAW,9.8
20170124,9.8,9.85,9.7,9.75,8671400,DRAW,9.75
20170125,9.75,10,9.75,9.95,35414100,DRAW,9.95
20170126,9.95,10.1,9.8,10,24230000,DOWN,9.9
20170127,9.9,9.95,9.75,9.8,18881500,DRAW,9.8
20170130,9.8,9.9,9.75,9.8,8212400,DRAW,9.8
20170131,9.8,9.8,9.7,9.7,7828400,DOWN,9.65
20170201,9.65,9.9,9.65,9.85,9555800,DOWN,9.8
20170202,9.8,9.9,9.75,9.75,10304000,DRAW,9.75
20170203,9.75,9.95,9.7,9.9,30533500,DRAW,9.9
20170206,9.9,9.95,9.8,9.95,10553900,DOWN,9.9
20170207,9.9,9.95,9.8,9.85,12642000,DRAW,9.85
20170208,9.85,10,9.75,9.8,21929800,DRAW,9.8
20170209,9.8,10,9.8,9.95,16411200,DRAW,9.95
20170210,9.95,10,9.8,9.8,20929300,DRAW,9.8
20170214,9.8,9.85,9.75,9.8,11634900,DRAW,9.8
20170215,9.8,9.85,9.65,9.65,21471500,DRAW,9.65
20170216,9.65,9.9,9.65,9.9,16149400,DOWN,9.85
20170217,9.85,9.9,9.8,9.85,8449600,DRAW,9.85
20170220,9.85,9.9,9.8,9.85,4839300,DRAW,9.85
20170221,9.85,9.9,9.75,9.75,13028600,DRAW,9.75
20170222,9.75,9.8,9.55,9.6,22890100,DRAW,9.6
20170223,9.6,9.65,9.5,9.6,18391700,DRAW,9.6
20170224,9.6,9.65,9.5,9.55,13681000,DOWN,9.5
20170227,9.5,9.65,9.5,9.6,8111900,DRAW,9.6
20170228,9.6,9.85,9.55,9.8,20708800,DRAW,9.8
20170301,9.8,9.8,9.7,9.8,5826600,DRAW,9.8
20170302,9.8,9.85,9.75,9.85,9927000,DRAW,9.85
20170303,9.85,9.9,9.8,9.85,11421400,DOWN,9.75
20170306,9.75,9.8,9.6,9.75,19628600,DRAW,9.75
20170307,9.75,9.8,9.7,9.7,6140600,DRAW,9.7
20170308,9.7,9.75,9.6,9.7,13558900,UP,9.75
20170309,9.75,9.9,9.7,9.9,9524700,DRAW,9.9
20170310,9.9,9.9,9.65,9.8,20129200,UP,9.85
20170313,9.85,9.85,9.75,9.8,7101700,DOWN,9.7
20170314,9.7,9.75,9.65,9.75,10294000,DOWN,9.7
20170315,9.7,9.75,9.55,9.7,52144000,DOWN,9.65
20170316,9.65,9.75,9.5,9.7,31241300,DOWN,9.65
20170317,9.65,9.7,9.55,9.65,17327200,DRAW,9.65
