DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,36,36.5,35.75,36.5,9364300,36.5
20170105,36.5,36.5,35.25,36.25,18400500,36.25
20170106,36.25,36.5,35.75,36,7651700,36
20170109,36,36.25,35.75,36,10328800,36
20170110,36,36.25,35.5,36,11535700,35.75
20170111,35.75,36,35.25,35.5,9949800,35.75
20170112,35.75,36,35.5,35.75,6075400,35.75
20170113,35.75,36.25,35.5,36,5681300,36
20170116,36,36,35,35,9145400,35.25
20170117,35.25,35.25,34.75,35,13803000,35
20170118,35,35.25,34.5,34.75,7721100,34.5
20170119,34.5,34.75,34,34.25,14996700,34
20170120,34,34.25,33.75,34,20750500,34
20170123,34,34.5,33.75,34,19386500,34
20170124,34,35,34,34.5,21396500,35
20170125,35,35.5,34.75,35,20025700,35.25
20170126,35.25,35.5,34.5,35.25,17934500,35.5
20170127,35.5,35.75,34.5,35.25,15483200,35.25
20170130,35.25,35.5,34.75,34.75,6738800,35
20170131,35,35.25,34.75,34.75,6715100,35
20170201,35,35,34,34.5,16942900,34.5
20170202,34.5,35,34.25,34.75,6475100,34.75
20170203,34.75,35,34.25,34.25,10171600,34.5
20170206,34.5,35,34.5,34.5,8317900,34.75
20170207,34.75,35.25,34.5,34.75,6019700,35.5
20170208,35.5,36.5,35.5,36,35620100,36.25
20170209,36.25,36.5,35.75,36,10157400,36
20170210,36,36.25,34.75,35.25,27282400,35.25
20170214,35.25,35.5,35,35.25,9450700,35.5
20170215,35.5,35.75,34.75,35.25,8941300,35.25
20170216,35.25,35.25,34.5,34.75,11159700,35
20170217,35,35,34.5,34.75,7355700,35
20170220,35,35,34.75,34.75,4633900,34
20170221,34,34.5,33.75,33.75,32417500,34
20170222,34,34.25,33.5,34,16569700,33.75
20170223,33.75,34,33.25,33.5,13523600,33.5
20170224,33.5,34.5,33.25,34,9432000,34
20170227,34,34.75,33.75,34.25,7936600,34.5
20170228,34.5,35.25,34.25,34.25,15731900,34.5
20170301,34.5,35,34.5,34.5,9038000,34.75
20170302,34.75,35,34.25,34.5,8979100,34.5
20170303,34.5,35,34.5,34.75,3905400,35.25
20170306,35.25,35.25,34.75,34.75,4792000,35
20170307,35,35,34.25,34.5,6038300,34.5
20170308,34.5,35,34.25,34.5,6206600,34.5
20170309,34.5,34.5,34,34.25,5207800,34.25
20170310,34.25,34.5,34,34.25,4032400,34
20170313,34,34.5,34,34.25,6860800,34
20170314,34,34.25,33.75,34.25,7947600,34.25
20170315,34.25,34.5,33.75,34.25,5251200,34.5
20170316,34.5,35.25,34.25,34.75,12894500,35
20170317,35,35.5,34.75,34.75,12701400,35
20170320,35,35.5,34.75,35.25,11965400,35.25
20170321,35.25,35.5,35,35,7592100,35
20170322,35,35.75,34.75,35.5,13417600,35.75
20170323,35.75,36.25,35.5,36,15475700,35.75
