DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,24.7,25.25,24.6,24.6,9027400,24.8
20170105,24.8,26.25,24.8,25.75,21176400,26
20170106,26,26.25,25.5,25.75,12483200,26
20170109,26,26,24.6,24.8,26259300,24.9
20170110,24.9,25.25,24.8,25,8206100,25.25
20170111,25.25,25.25,24.8,24.9,7037000,25
20170112,25,25.25,24.9,24.9,3744000,25
20170113,25,25.25,24.8,24.8,4585900,24.8
20170116,24.8,26,24.8,25.75,18543000,25.75
20170117,25.75,26,25,25,9296100,25.25
20170118,25.25,25.25,24.9,24.9,6864900,25
20170119,25,25.5,24.9,25,9602100,25.25
20170120,25.25,26.25,25,26,21320000,26
20170123,26,27,25.5,26.5,17289900,26.5
20170124,26.5,27,26,26,7798600,26.25
20170125,26.25,27.75,26.25,27.75,25448100,27.75
20170126,27.75,28.75,27,27.25,40473400,27.25
20170127,27.25,29.5,27.25,29,33662100,29
20170130,29,30.25,28.5,29,25297400,29
20170131,29,29.5,28.25,28.25,11446100,28.5
20170201,28.5,29.5,28.5,29,15765900,29.25
20170202,29.25,29.75,28.5,28.75,6914400,29
20170203,29,29.25,28.5,29,5792600,29
20170206,29,29.75,28.75,29.5,12497000,29.5
20170207,29.5,30.25,29.5,29.75,26132100,30
20170208,30,30.5,29.5,30,28507500,30
20170209,30,30,28.5,29.25,14926100,29.5
20170210,29.5,29.75,28.75,28.75,4129700,28.5
20170214,28.5,29.5,28.5,29,7239500,29
20170215,29,29.25,27.25,28.25,17784700,28.25
20170216,28.25,29,28.25,28.75,8486800,28.5
20170217,28.5,29,28.5,28.75,6312100,28.75
20170220,28.75,29.5,28.5,29.25,9104500,29
20170221,29,29.5,28.75,29,14543300,29.25
20170222,29.25,30.5,29,30.25,21968700,30.25
20170223,30.25,30.5,29.25,29.5,17251900,29.5
20170224,29.5,30.75,29.25,30,29970700,30
20170227,30,30,29.5,29.75,8101600,29.75
20170228,29.75,31.75,29.75,31.5,31651700,31.75
20170301,31.75,32.5,31,31.25,29188200,31.5
20170302,31.5,32.25,31.25,32,14982500,32
20170303,32,32,31.25,31.5,6066200,31.5
20170306,31.5,31.75,30,30.25,10971200,30.25
20170307,30.25,31,30,30,13395700,29.75
20170308,29.75,30,28.5,30,32296300,30
20170309,30,30.25,29.5,30,4676600,30
20170310,30,30.25,28.5,29.25,9629900,28.75
20170313,28.75,29.25,27.75,27.75,18433400,27.5
20170314,27.5,30,27.5,29.75,23512000,29.5
20170315,29.5,31,29,30.5,22229700,30.75
20170316,30.75,32.5,30.5,32,30557100,32
20170317,32,32.75,30.75,31,29137100,31
20170320,31,31.75,30.75,31.5,6937000,31.5
20170321,31.5,31.75,30,30.5,15702700,30.25
20170322,30.25,31,30.25,30.5,8787200,30.75
20170323,30.75,30.75,29.5,30,8636000,30.25
20170324,30.25,30.75,30,30.5,9510300,30.25
20170327,30.25,30.75,30,30.25,3008300,30.5
20170328,30.5,32,30.25,31.5,20863300,31.75
20170329,31.75,32,30.75,31.5,17915100,31.5
20170330,31.5,31.75,31.25,31.25,4849000,31.5
20170331,31.5,31.75,31,31,5477100,31
20170403,31,31.25,31,31.25,1754200,31.5
20170404,31.5,31.75,31,31,4859400,31
20170405,31,31.5,30.75,31.25,2744900,31
20170407,31,31.5,30.75,31,2215600,31
20170410,31,31.5,30.75,31.25,3960700,31.25
20170411,31.25,31.25,30.75,31,2897600,30.75
20170412,30.75,31.25,30.75,31.25,1965800,31.25
20170417,31.25,31.25,30.75,30.75,2198600,31
20170418,31,31.25,30.5,30.5,3627200,30.5
20170419,30.5,30.5,29.5,29.75,10731900,29.75
20170420,29.75,30,29.5,29.5,5228100,29.75
20170421,29.75,30,29.5,30,2003700,29.75
20170424,29.75,30.5,29.25,29.25,6899200,29.5
20170425,29.5,29.75,27.75,29.5,11072500,29.75
20170426,29.75,30,29,29.75,1952200,29.75
20170427,29.75,29.75,29.25,29.5,1394100,29.75
20170428,29.75,30,29.25,30,1604400,30
20170502,30,30,29,29,2994600,29
20170503,29,29.5,28.5,28.75,3978900,28.5
20170504,28.5,29,28.25,28.75,4984600,29
20170505,29,29.75,28.75,29,5935100,29.25
20170508,29.25,29.75,29.25,29.5,2819400,29.75
20170509,29.75,30.25,29.5,29.5,10147400,30
20170511,30,30,29.25,29.75,7431900,29.75
20170512,29.75,29.75,28.75,29,5523300,29.5
20170515,29.5,30.5,29.25,30.5,10712700,30.5
20170516,30.5,31,30,30.75,13185400,30.75
20170517,30.75,32.75,30.75,32.5,33054700,32.25
20170518,32.25,33,31.75,32,28814100,32
20170519,32,33,31.75,32.75,10887100,33
20170522,33,33.25,32,32.25,18393800,32.5
20170523,32.5,33,32.25,33,7720200,32.75
20170524,32.75,33,32.5,32.75,6613000,32.75
20170525,32.75,33.5,32.5,33.25,13522900,33.5
20170526,33.5,33.5,32.5,32.75,9536600,32.75
20170529,32.75,32.75,31.5,31.75,9566500,31.75
20170530,31.75,32.25,31.5,32,3705700,32.25
