DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,22.4,22.6,22.3,22.4,4773300,22.4
20170105,22.4,22.7,22.3,22.6,7850100,22.6
20170106,22.6,22.8,22.5,22.7,4408000,22.8
20170109,22.8,23.2,22.7,23.1,7007400,23.2
20170110,23.2,24.3,23,24.3,22311900,24.1
20170111,24.1,24.7,24,24.3,12756100,24.3
20170112,24.3,24.4,23.9,24,2878600,24
20170113,24,24,23.6,23.9,4213000,23.9
20170116,23.9,23.9,23.5,23.5,3564800,23.5
20170117,23.5,23.9,23.5,23.6,4206500,23.8
20170118,23.8,24.1,23.6,23.9,6746000,23.9
20170119,23.9,24.1,23.8,24,5404300,24
20170120,24,24.4,24,24.2,4933400,24.4
20170123,24.4,24.6,24.2,24.6,3738600,24.6
20170124,24.6,24.7,24.4,24.5,3301500,24.5
20170125,24.5,24.5,24.4,24.4,1997800,24.3
20170126,24.3,24.4,23.6,23.8,11615900,23.9
20170127,23.9,23.9,23.7,23.7,2032300,23.7
20170130,23.7,23.8,23.6,23.6,1812600,23.5
20170131,23.5,23.5,23.2,23.3,6375700,23.3
20170201,23.3,23.4,23.2,23.3,2960700,23.3
20170202,23.3,23.5,23.3,23.4,2882700,23.4
20170203,23.4,23.8,23.3,23.6,2732300,23.7
20170206,23.7,23.7,23.3,23.4,2620200,23.5
20170207,23.5,23.5,23.3,23.4,1570100,23.3
20170208,23.3,23.4,23.2,23.3,1323000,23.3
20170209,23.3,23.6,23.3,23.5,2964900,23.5
20170210,23.5,23.5,23.3,23.3,3592400,23.5
20170214,23.5,23.5,22.9,23.1,5873400,23.2
20170215,23.2,23.2,22.8,23,3352400,22.9
20170216,22.9,23,22.8,23,5629700,22.5
20170217,22.5,22.7,22.2,22.3,16974800,22.3
20170220,22.3,22.7,22.3,22.4,9085500,22.5
20170221,22.5,22.6,22.4,22.5,2176300,22.4
20170222,22.4,22.5,22.2,22.4,3336400,22.3
20170223,22.3,22.3,22,22.1,6041200,22.1
20170224,22.1,22.4,22,22.4,3302300,22.2
20170227,22.2,22.3,21.9,22,4185400,22.1
20170228,22.1,22.2,21.8,21.8,2842700,21.9
20170301,21.9,22.1,21.8,22,1821800,22.1
20170302,22.1,22.3,22,22,4590600,22.1
20170303,22.1,22.3,21.8,21.9,2170700,21.8
20170306,21.8,21.9,21.7,21.9,2936500,21.8
20170307,21.8,21.9,21.6,21.6,5650500,21.6
20170308,21.6,21.8,21.5,21.8,3922600,21.9
20170309,21.9,21.9,21.6,21.6,1564500,21.7
20170310,21.7,21.9,21.7,21.8,1832200,21.8
20170313,21.8,22,21.7,21.9,2457100,21.8
20170314,21.8,22,21.8,22,1133000,22
20170315,22,22.3,21.9,22.2,3046700,22.2
20170316,22.2,22.7,22.1,22.5,5944200,22.5
20170317,22.5,22.6,22.4,22.6,2269400,22.8
20170320,22.8,22.8,22.5,22.7,1453900,22.6
20170321,22.6,22.7,22.5,22.7,1665800,22.5
20170322,22.5,22.8,22.5,22.6,2059600,22.7
20170323,22.7,22.7,22.6,22.7,563000,22.6
20170324,22.6,22.7,22.5,22.6,1762900,22.7
20170327,22.7,22.7,22.3,22.4,2191500,22.3
20170328,22.3,22.5,22.3,22.4,2703100,22.4
20170329,22.4,22.5,22.4,22.5,768100,22.6
20170330,22.6,22.8,22.5,22.7,3979800,22.8
20170331,22.8,23,22.6,22.7,5220400,22.9
20170403,22.9,22.9,22.4,22.5,4145700,22.5
20170404,22.5,22.7,22.5,22.6,1182100,22.6
20170405,22.6,22.7,22.6,22.7,1554900,22.7
20170407,22.7,22.7,22.5,22.7,1405900,22.5
20170410,22.5,22.6,22.5,22.5,1588100,22.5
20170411,22.5,22.6,22.4,22.5,1155100,22.5
20170412,22.5,22.5,22.3,22.3,2199800,22.3
20170417,22.3,22.3,22.2,22.3,1470000,22.2
20170418,22.2,22.4,22.2,22.3,815400,22.2
20170419,22.2,22.6,22.2,22.5,3958300,22.4
20170420,22.4,22.7,22.4,22.7,3121800,22.7
20170421,22.7,22.9,22.7,22.8,4054400,22.6
20170424,22.6,22.7,22.5,22.7,2401000,22.6
20170425,22.6,22.6,22.3,22.4,2206400,22.4
20170426,22.4,22.5,22.3,22.4,1776000,22.3
20170427,22.3,22.7,22.3,22.4,2299600,22.4
20170428,22.4,22.6,22.4,22.5,1567800,22.5
20170502,22.5,22.6,22.5,22.5,2131100,22.6
20170503,22.6,22.6,22.5,22.6,710000,22.6
20170504,22.6,23.1,22.5,22.9,9147200,22.9
20170505,22.9,23,22.6,22.6,3424200,22.7
20170508,22.7,22.7,22.5,22.6,1914600,22.6
20170509,22.6,22.6,22.4,22.4,738500,22.4
20170511,22.4,22.5,22,22.1,3184500,22.1
20170512,22.1,22.3,22,22.1,1765300,22.1
20170515,22.1,22.2,21.5,21.7,9071900,21.7
20170516,21.7,22,21.7,22,4127300,22
20170517,22,22.2,21.9,22,2986100,21.9
20170518,21.9,22.1,21.9,22,2030800,22.1
20170519,22.1,22.1,22,22,2147700,22
20170522,22,22.3,21.9,22.1,10343300,22.1
20170523,22.1,22.3,22,22.1,6559500,21.4
20170524,21.4,21.6,21.3,21.6,15462500,21.6
20170525,21.6,21.7,21.5,21.5,3231000,21.6
20170526,21.6,21.7,21.5,21.7,2300500,21.6
20170529,21.6,21.9,21.5,21.8,1519900,21.9
20170530,21.9,22,21.8,21.9,1575600,21.9
20170531,21.9,22,21.8,21.9,5480100,21.9
20170601,21.9,22,21.6,21.7,1476900,21.6
20170602,21.6,21.8,21.5,21.7,2896200,21.8
20170605,21.8,22.1,21.7,22,2502700,22
20170606,22,22.1,21.8,22,1216100,22
20170607,22,22.1,21.9,22,2418600,22
20170608,22,22.8,22,22.7,11006400,22.7
20170609,22.7,22.9,22.5,22.8,5710700,22.9
20170612,22.9,23,22.5,22.7,4212000,22.7
20170613,22.7,22.8,22.6,22.7,3620200,22.6
20170614,22.6,22.7,22.6,22.7,2599300,22.6
20170615,22.6,23.1,22.5,23,10720600,23
20170616,23,23.1,22.9,23,4177100,23
20170619,23,23.3,22.9,23,6822500,23
20170620,23,23.1,22.9,23,2017400,23
20170621,23,23.2,22.8,23.1,3257900,23.2
20170622,23.2,23.2,23,23,1795900,23
20170623,23,23.1,22.8,22.9,1401000,23.1
20170626,23.1,23.1,22.8,23,1251300,23
20170627,23,23,22.6,22.8,2131800,22.7
20170628,22.7,22.8,22.7,22.7,775000,22.7
20170629,22.7,22.8,22.3,22.3,6308500,22.3
20170630,22.3,22.5,22.1,22.3,4811700,22.5
20170703,22.5,22.5,22.2,22.4,3772400,22.5
20170704,22.5,23.1,22.4,23,9351400,23
20170705,23,23.1,22.8,23,4033600,22.9
20170706,22.9,23,22.7,22.7,2394600,22.8
20170707,22.8,22.8,22.6,22.8,1513500,22.7
20170711,22.7,22.8,22.6,22.7,987800,22.7
20170712,22.7,22.7,22.6,22.6,932400,22.5
20170713,22.5,22.7,22.4,22.6,2609100,22.7
20170714,22.7,22.8,22.5,22.6,1846400,22.7
20170717,22.7,23,22.6,22.8,3700800,22.8
20170718,22.8,22.9,22.5,22.7,4280900,22.9
20170719,22.9,22.9,22.7,22.7,2347700,22.7
20170720,22.7,23.1,22.6,23.1,4156900,23.1
20170721,23.1,23.1,22.9,23.1,1427100,23.1
20170724,23.1,23.4,22.9,23.2,5888200,23.3
20170725,23.3,23.3,23.1,23.2,1413100,23.2
20170726,23.2,23.3,22.8,23,4581800,23.1
20170727,23.1,23.1,22.9,23,1739100,22.9
20170731,22.9,23,22.8,22.9,1176000,22.8
20170801,22.8,23,22.8,22.8,1426800,23
20170802,23,23.1,22.9,23,2528800,23
20170803,23,23.1,22.9,23,1331200,23
20170804,23,23,22.8,22.9,1696300,22.9
20170807,22.9,22.9,22.8,22.9,2387500,22.8
20170808,22.8,23,22.8,23,1663500,22.9
20170809,22.9,23,22.8,22.9,1020700,22.9
20170810,22.9,23.2,22.8,23.1,3685100,23.2
20170811,23.2,23.2,22.5,22.8,4019600,23
20170815,23,23,22.8,23,3087900,23
20170816,23,23,22.9,23,2346200,22.9
20170817,22.9,23,22.9,23,1366300,23
20170818,23,23.1,22.7,22.8,2182000,22.8
20170821,22.8,23,22.8,22.8,2260000,22.8
20170822,22.8,22.9,22.7,22.8,2592400,22.4
20170823,22.4,22.5,22.2,22.3,3168300,22.2
20170824,22.2,22.6,22.2,22.4,1586600,22.5
20170825,22.5,22.5,22.4,22.5,505200,22.5
20170828,22.5,22.6,22.4,22.6,1007900,22.6
20170829,22.6,23,22.6,22.9,3110500,22.9
20170830,22.9,23,22.6,22.6,1709600,22.6
20170831,22.6,22.9,22.6,22.8,2239500,22.9
20170901,22.9,22.9,22.7,22.7,1423600,22.8
20170904,22.8,22.8,22.4,22.5,2511400,22.5
20170905,22.5,22.8,22.5,22.8,2496500,22.9
20170906,22.9,22.9,22.6,22.7,1527400,22.7
20170907,22.7,22.9,22.6,22.7,4785600,22.9
20170908,22.9,23,22.8,22.9,6019700,22.8
20170911,22.8,22.9,22.7,22.7,1383500,22.7
20170912,22.7,22.9,22.7,22.9,3605500,22.9
20170913,22.9,23.6,22.9,23.4,19644000,23.5
20170914,23.5,23.9,23.2,23.7,11477000,23.8
20170915,23.8,24.2,23.8,24.1,10420300,24.1
20170918,24.1,24.3,23.9,24.2,5526100,24.2
