DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,96.25,98.75,96,98.5,17352200,98.5
20170105,98.5,99.5,98,98,18246200,98
20170106,98,99.5,97.25,98.5,11993700,98.5
20170109,98.5,98.75,97.5,97.75,4042300,97
20170110,97,97.75,95.75,96,14319100,95.5
20170111,95.5,97.5,95,96.5,12735400,97.5
20170112,97.5,97.75,96.5,96.75,4859400,96.75
20170113,96.75,97.25,96,96,7568500,95.5
20170116,95.5,97.25,95.5,96.75,7327100,96.75
20170117,96.75,97.25,96,96,3845600,96.25
20170118,96.25,96.5,94.5,94.5,7157300,94.5
20170119,94.5,95.25,93.75,94.25,8214000,94.5
20170120,94.5,97.75,94.25,97.5,12871300,97.5
20170123,97.5,97.75,96,96,5995500,95.5
20170124,95.5,96.75,94.75,95,15770100,95.25
20170125,95.25,95.5,94.5,94.5,12844100,95.25
20170126,95.25,99,95.25,98.5,35235500,99
20170127,99,99.25,97.5,97.75,9484400,97.5
20170130,97.5,102,97.25,102,19016800,101
20170131,101,101.5,98,98,26624600,97.25
20170201,97.25,99.75,96.75,98.75,24738300,98.75
20170202,98.75,99,97.25,97.5,11541900,97.75
20170203,97.75,98.75,97.25,97.75,16216800,98
20170206,98,98.75,97.75,98.5,12023600,96
20170207,96,96.75,96,96.25,8907500,96.25
20170208,96.25,96.25,95.25,95.5,9914800,95.75
20170209,95.75,96.5,94.5,94.5,13245700,95.25
20170210,95.25,95.5,93.5,93.5,12812800,92.75
20170214,92.75,93.25,90.75,91.5,14751400,91.5
20170215,91.5,93,91.5,93,10639100,93
20170216,93,93,91.75,92.5,6266900,92.5
20170217,92.5,93.25,91.75,91.75,8899800,92
20170220,92,94,91.75,93.75,7256400,93.5
20170221,93.5,94.75,93.25,93.5,10522800,94
20170222,94,94.75,93,94.5,10384200,94
20170223,94,94.25,91.75,92.5,13864400,93
20170224,93,93.5,92,92.25,6288600,92.5
20170227,92.5,92.75,91.75,92.25,6768600,92.75
20170228,92.75,93.5,92.25,93,6487900,93
20170301,93,93.5,92.5,93.25,3201500,93.5
20170302,93.5,93.75,93,93.25,5537200,93
20170303,93,93,92.5,92.5,3566900,92.25
20170306,92.25,92.5,91,91,6843900,91.25
20170307,91.25,92,91,91,5378200,91.25
20170308,91.25,92,90.75,91.5,7461100,90
20170309,90,90.25,89.25,89.5,10438500,89
20170310,89,89.25,88.25,88.75,7692600,88.25
20170313,88.25,89.75,87.75,89.75,5997000,89.25
20170314,89.25,90,89,89.5,6288900,89.5
20170315,89.5,89.5,88.5,88.75,7818600,91
20170316,91,91.75,90.25,91.25,10284300,91.25
20170317,91.25,91.5,90,90,5919000,90.5
20170320,90.5,91,90,90,5555900,90.5
20170321,90.5,91.5,90.5,91.25,5742300,90.5
20170322,90.5,91.25,90.25,91.25,5430300,91.25
20170323,91.25,92,91,91.25,5200400,91.75
20170324,91.75,92.75,91.5,92.25,7592700,92
20170327,92,92.75,91.75,92,6347900,93
20170328,93,93,92,92.5,4532800,92.5
20170329,92.5,92.75,91.75,92.25,2607700,92.75
20170330,92.75,93.25,92,93,9525100,93.75
20170331,93.75,94.5,93,93,8847600,94
20170403,94,95.75,93.5,95,11245900,95.5
20170404,95.5,97,95.25,97,10487200,97.25
20170405,97.25,97.25,96,96.75,5995500,97.5
20170407,97.5,97.5,96.5,97,6757900,97
20170410,97,98.5,97,98.5,7629700,98.5
20170411,98.5,98.75,98,98.5,5322300,98.75
20170412,98.75,99.5,98.5,99.25,7307300,98.75
20170417,98.75,99,96.5,96.5,11018600,97
20170418,97,98.25,96.75,96.75,5911800,96.75
20170419,96.75,97.25,96.5,96.75,6298700,96.5
20170420,96.5,96.5,95.25,95.5,5811100,96
20170421,96,96.75,95.75,95.75,2716800,96.5
20170424,96.5,96.5,95.75,96.25,2228200,96.5
20170425,96.5,97.5,95.75,97.25,5322700,96.75
20170426,96.75,97.25,96.5,97,3042800,96.5
20170427,96.5,98,96.5,97.75,5557300,98
20170428,98,98.25,97,97.25,4868200,98
20170502,98,98,96,96,5548100,96.25
20170503,96.25,97.25,95.75,97,3246200,97
20170504,97,97.5,95.5,96,4725300,94.5
20170505,94.5,94.75,93.5,94.5,11700000,93.75
20170508,93.75,94.75,93.25,94.5,9898100,94.75
20170509,94.75,95.5,94.25,94.25,4797700,95.25
20170511,95.25,96,94.5,95,6137000,94.5
20170512,94.5,95.25,93.5,93.5,3686500,93.75
20170515,93.75,94.75,93.5,94.75,3032600,95.5
20170516,95.5,97,95.5,96.75,6820500,96.25
20170517,96.25,96.5,95.25,95.5,3461100,95.25
