DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,63.25,64.5,63,64,14341900,UP
20170105,64.25,64.75,63.75,64.25,12762900,UP
20170106,64.5,64.5,63.75,64,8106700,DRAW
20170109,64,64,63,63.25,10983300,DOWN
20170110,63,63.5,62.75,63.5,8163200,DOWN
20170111,63,63.5,63,63.25,10420400,DRAW
20170112,63.25,63.25,62.5,62.75,7840800,UP
20170113,63.25,63.5,63,63.5,8856800,DRAW
20170116,63.5,66,63.5,65.25,38089600,UP
20170117,65.5,66.75,64,64,32161600,UP
20170118,64.25,66,64,65.25,13563200,DRAW
20170119,65.25,66,64.25,65.5,13297500,DRAW
20170120,65.5,66.25,65,66,10176200,UP
20170123,66.25,67.5,65.75,67.5,12896200,DRAW
20170124,67.5,68.75,67,68.25,17467400,UP
20170125,68.75,69,68,68.5,13834200,UP
20170126,69,69.5,67.25,68.25,13345400,DOWN
20170127,68,68.5,67.5,68,3693600,UP
20170130,68.25,68.75,67.75,68.5,9861100,DOWN
20170131,68.25,69,67.5,67.75,10462500,DOWN
20170201,67,67.25,65.75,66.5,21208200,DOWN
20170202,66.25,67,65.5,66.5,16250400,DRAW
20170203,66.5,68.5,66,68.25,11547500,UP
20170206,69.25,70.25,69,69.75,19071600,DRAW
20170207,69.75,70,68.75,69,14081900,DOWN
20170208,68.5,70.5,68.25,70.25,16180100,DRAW
20170209,70.25,70.5,68.25,68.25,13551200,DRAW
20170210,68.25,68.75,67,67.5,21683500,UP
20170214,67.75,68.25,67.25,67.5,16333200,UP
20170215,68.75,70,67.75,70,21113200,DOWN
20170216,69.75,70,68.75,69.25,10338300,UP
20170217,69.75,70.25,69.5,69.75,11859100,UP
20170220,70,70.25,69.5,69.75,6057400,UP
20170221,70,70.25,69,69,7905300,UP
20170222,69.25,71.5,69.25,71.5,20219100,UP
20170223,71.75,74,71.25,73.75,27123800,DOWN
20170224,73.5,73.75,72.25,73.25,12846600,DOWN
20170227,72.75,73.25,71.75,71.75,10653400,DRAW
20170228,71.75,72.5,71.25,71.25,9583900,UP
