DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170104,63.75,65,63,65,1895400,DRAW,65
20170105,65,65,62.75,63,2034900,DRAW,63
20170106,63,63,61.5,61.5,2276200,UP,61.75
20170109,61.75,62,60.5,60.5,2589500,DOWN,59.75
20170110,59.75,60.25,59,59.75,2630800,DOWN,59.25
20170111,59.25,59.75,58.75,59,2365500,DRAW,59
20170112,59,59.75,59,59,780400,UP,59.5
20170113,59.5,60.75,59,60.75,1578300,DOWN,60.25
20170116,60.25,60.25,59.5,59.5,1005900,DRAW,59.5
20170117,59.5,59.5,58.5,58.5,2417100,UP,58.75
20170118,58.75,59.5,58.25,58.75,3110700,DRAW,58.75
20170119,58.75,59,58.25,59,1641300,DOWN,58.75
20170120,58.75,59.25,58.5,59,1335400,DRAW,59
20170123,59,60.5,58.75,60,2947300,DRAW,60
20170124,60,60.25,58.75,59.5,1885000,UP,59.75
20170125,59.75,59.75,58.75,59,2084400,DRAW,59
20170126,59,59.5,59,59,1321600,DRAW,59
20170127,59,59,58.5,59,1144300,DOWN,58.5
20170130,58.5,58.75,57.75,57.75,1965600,DOWN,57.5
20170131,57.5,58.75,57.5,58,1537900,DRAW,58
20170201,58,59.25,58,58.75,1147600,UP,59.25
20170202,59.25,60.75,59.25,59.75,3441600,DOWN,59.5
20170203,59.5,59.75,58.5,58.75,2311700,UP,59
20170206,59,60.75,59,60.25,3533200,DRAW,60.25
20170207,60.25,60.25,59.5,59.75,590100,DOWN,59.25
20170208,59.25,59.75,59,59.75,1779700,DRAW,59.75
20170209,59.75,60.25,59.75,60,600100,DRAW,60
20170210,60,60.25,59.75,60.25,976500,DOWN,60
20170214,60,60.25,59,59,1655800,UP,59.25
20170215,59.25,59.5,58,58.25,1583800,UP,58.5
20170216,58.5,59.5,58.25,59,1492000,UP,59.25
20170217,59.25,61.5,59.25,60.5,8731900,UP,60.75
20170220,60.75,61,59.5,60,2530200,UP,60.25
20170221,60.25,60.75,60,60.25,2521700,DOWN,60
20170222,60,61.75,60,61.5,3343000,DRAW,61.5
20170223,61.5,62.5,61.25,62.25,2452300,DOWN,61.75
20170224,61.75,62,61,61.5,1172700,DRAW,61.5
20170227,61.5,61.75,60.5,61.25,937500,DRAW,61.25
20170228,61.25,61.75,60.25,61.5,1292900,DRAW,61.5
20170301,61.5,61.5,60.25,61.5,1305800,DRAW,61.5
20170302,61.5,61.75,60.75,61.25,1758300,DOWN,61
20170303,61,61.25,60.25,61,1726400,DOWN,60.25
20170306,60.25,61.5,60.25,60.25,1772100,DRAW,60.25
20170307,60.25,60.75,60,60.25,2028900,DRAW,60.25
20170308,60.25,60.5,58.25,59,3455300,DOWN,58.5
20170309,58.5,60,58.5,59.5,2537800,DRAW,59.5
20170310,59.5,60.75,59.25,60,4276500,DRAW,60
20170313,60,61.5,59.75,61,4273000,UP,61.25
20170314,61.25,61.75,60.5,61,4213500,UP,61.25
20170315,61.25,62.25,60.75,62,2604500,DRAW,62
20170316,62,64,61.5,62.75,3136800,DRAW,62.75
20170317,62.75,63.5,62,63,1222300,UP,63.25
20170320,63.25,63.75,62.75,62.75,805900,UP,63
20170321,63,64.5,63,64,2837800,DOWN,63.5
20170322,63.5,64.25,63.5,64,793300,UP,64.25
20170323,64.25,64.75,64,64.25,1844100,DRAW,64.25
20170324,64.25,64.25,63.5,63.75,668100,DOWN,63.5
20170327,63.5,63.75,63.25,63.25,748800,UP,63.5
20170328,63.5,64.5,63.5,64.25,1459500,DRAW,64.25
20170329,64.25,64.5,64,64.5,683100,DOWN,64
20170330,64,64.5,63.75,64.5,1681300,DOWN,64.25
20170331,64.25,64.25,63.75,64,1013900,DRAW,64
20170403,64,64.25,63,64,1300700,UP,64.25
20170404,64.25,64.5,64,64.25,695300,DRAW,64.25
20170405,64.25,64.5,63.25,64.5,1612500,DOWN,63.75
20170407,63.75,64.25,63,63.25,2305000,DOWN,63
20170410,63,63,61.75,62,2163500,DRAW,62
20170411,62,62.75,62,62,1800900,DRAW,62
20170412,62,62.75,62,62.5,1243700,DOWN,62
20170417,62,62.75,62,62.25,1832600,DRAW,62.25
20170418,62.25,62.75,62,62,1236200,DRAW,62
20170419,62,63.25,62,63,1602900,DOWN,62.75
20170420,62.75,64.25,62.75,63.75,2072000,DRAW,63.75
20170421,63.75,63.75,63,63.25,1259000,DRAW,63.25
20170424,63.25,63.5,62.25,62.75,1061400,DRAW,62.75
20170425,62.75,63.25,62.5,63,987900,DRAW,63
20170426,63,63.5,62.75,63,885100,DRAW,63
20170427,63,63.25,62.75,62.75,977800,DRAW,62.75
20170428,62.75,63.75,62.25,62.5,2602200,DRAW,62.5
20170502,62.5,63.5,62.25,63,792500,DOWN,62.75
20170503,62.75,63,62.5,62.75,522400,DRAW,62.75
20170504,62.75,63,62.5,63,442600,DRAW,63
20170505,63,63,62.25,62.5,543700,DOWN,62
20170508,62,63.25,62,63.25,1540900,DRAW,63.25
20170509,63.25,63.25,62.25,62.5,425200,DOWN,62.25
20170511,62.25,62.5,61,61.5,1437700,DRAW,61.5
20170512,61.5,61.5,60,60.25,1129700,DOWN,59
20170515,59,59.75,57.5,58.25,3111700,UP,58.5
20170516,58.5,58.5,56.25,58,3359900,DRAW,58
20170517,58,59.5,57.75,59,2659000,DOWN,58.75
20170518,58.75,58.75,57.25,57.25,4721900,DRAW,57.25
20170519,57.25,58.25,57.25,57.75,1354000,UP,58
20170522,58,58.5,57.75,58,1107500,UP,58.5
20170523,58.5,59,58,59,1057000,DOWN,58.5
20170524,58.5,59.5,58.5,59,1433500,DRAW,59
20170525,59,59.5,58.75,59,900100,DRAW,59
20170526,59,59.75,58.75,59,952400,DOWN,58.5
20170529,58.5,59.25,58.5,59,652000,DRAW,59
20170530,59,59.25,58.75,59.25,751400,DRAW,59.25
20170531,59.25,59.5,58.75,59.5,2820100,DOWN,59
20170601,59,59.5,58.75,59,564700,DRAW,59
20170602,59,59.75,59,59,627200,DOWN,58.75
20170605,58.75,59.25,58.75,59.25,764200,DOWN,58.75
20170606,58.75,59,58.5,58.5,743600,UP,58.75
20170607,58.75,59,58.25,58.25,1287700,UP,58.5
20170608,58.5,58.75,57.75,58,935200,UP,58.25
20170609,58.25,58.75,58,58.5,1185100,DRAW,58.5
20170612,58.5,58.5,57.25,58,2342900,DOWN,57.75
20170613,57.75,58.25,57.25,58,3844500,DOWN,57.75
20170614,57.75,58,57,57,3046100,DRAW,57
20170615,57,58.75,57,58.75,5884600,DRAW,58.75
20170616,58.75,58.75,57.5,58,1832600,DRAW,58
20170619,58,58.75,57.5,58.5,2042500,DRAW,58.5
20170620,58.5,58.5,57.5,57.75,1456800,DRAW,57.75
20170621,57.75,58,57.5,58,919300,DOWN,57.75
20170622,57.75,58,57,57.25,1753000,DRAW,57.25
20170623,57.25,57.5,56.5,57.25,2399800,DRAW,57.25
20170626,57.25,57.75,57,57.5,2334100,DRAW,57.5
20170627,57.5,58.25,57.5,58,2709800,UP,58.25
20170628,58.25,59,58,58.25,3507100,DRAW,58.25
20170629,58.25,59,58,58.25,4042900,UP,58.5
20170630,58.5,58.75,57.25,58.25,3180300,DOWN,58
20170703,58,59,58,58.75,924400,DRAW,58.75
20170704,58.75,59,58,58.25,1207800,UP,58.5
20170705,58.5,58.5,57.75,58,764700,DRAW,58
20170706,58,58,56.25,57.5,2595400,DOWN,57
20170707,57,57.25,56.25,57,2681000,DRAW,57
20170711,57,57,55.25,56,5805200,DOWN,55.5
20170712,55.5,56,54.75,55,3927000,DRAW,55
20170713,55,56,54.5,55.5,2564000,DRAW,55.5
20170714,55.5,55.75,55,55.25,1209900,DRAW,55.25
20170717,55.25,55.75,55,55.25,1077300,DRAW,55.25
20170718,55.25,56.5,55.25,56,1453300,DRAW,56
20170719,56,56.25,55.75,56,427300,DRAW,56
20170720,56,57.75,56,57,2351300,UP,57.5
20170721,57.5,57.5,56.25,56.5,892800,UP,56.75
20170724,56.75,57,56,56.75,618200,DOWN,56.5
20170725,56.5,56.75,55.75,56.25,760000,DOWN,55.75
20170726,55.75,57.5,55.5,56.75,1339300,DRAW,56.75
20170727,56.75,58.25,56.75,57.75,1653900,DRAW,57.75
20170731,57.75,58.5,57.5,58.25,1297600,DOWN,57.75
20170801,57.75,57.75,56.5,56.5,1410800,UP,57
20170802,57,57,56,56.5,1179700,DRAW,56.5
20170803,56.5,56.5,55.75,56,1089100,DOWN,55.75
20170804,55.75,56.5,55.75,56,579100,UP,56.25
20170807,56.25,56.25,55,55.75,1364800,DRAW,55.75
20170808,55.75,56.25,55.25,56,1112300,DOWN,55.75
20170809,55.75,56.25,55.75,55.75,403800,DOWN,55.5
20170810,55.5,56,55.25,55.5,256200,DOWN,55
20170811,55,55.75,55,55.25,1406300,DRAW,55.25
20170815,55.25,55.25,54,54.75,1674000,DRAW,54.75
20170816,54.75,55,53.5,54,2251000,DRAW,54
20170817,54,54.5,53.75,54,1258100,DOWN,53.75
20170818,53.75,54.75,53.75,54,1197300,DOWN,53.75
20170821,53.75,54.25,53.25,53.75,2208300,DRAW,53.75
20170822,53.75,55,53.5,54.25,1552700,DOWN,54
20170823,54,54.25,53.5,53.75,1104600,DRAW,53.75
20170824,53.75,54,53.25,53.75,1598200,DRAW,53.75
20170825,53.75,54,53.5,53.75,421800,DRAW,53.75
20170828,53.75,55,53.5,54.5,1578600,UP,54.75
20170829,54.75,56.5,54.5,56,3657300,DOWN,55.75
20170830,55.75,57.25,55.75,57,3046600,DRAW,57
20170831,57,57.75,56.5,57.5,1593300,DRAW,57.5
20170901,57.5,57.75,56.25,56.75,1192800,UP,57
20170904,57,57.25,56.25,56.75,1333500,UP,57
20170905,57,57.5,56.75,57.5,1594600,DOWN,57
20170906,57,57.5,56.5,57.5,1778900,DRAW,57.5
20170907,57.5,58.5,56.75,58,3681500,UP,59
20170908,59,59.5,57.25,58,5851200,UP,59.5
20170911,59.5,60.75,59.25,60,16433600,UP,62
20170912,62,64.75,62,64.25,15075900,DOWN,63.5
20170913,63.5,63.75,62.75,63.25,8611400,DRAW,63.25
20170914,63.25,64.25,62.75,63.5,5524100,DOWN,63
20170915,63,64.25,62.75,63.75,6786800,DOWN,63.5
20170918,63.5,63.5,62.25,63,4423600,UP,63.5
20170919,63.5,64,62.25,63,6477400,DRAW,63
20170920,63,63.25,62.5,62.75,3730400,DRAW,62.75
20170921,62.75,64,62.5,62.75,3508200,DRAW,62.75
20170922,62.75,64.25,62.75,63.5,4490300,DOWN,63.25
20170925,63.25,64,63,63.25,1868300,UP,63.75
20170926,63.75,64,63.5,63.75,1944200,DRAW,63.75
20170927,63.75,64.25,63.25,64,2687500,DRAW,64
20170928,64,66,63.75,63.75,8122900,DRAW,63.75
20170929,63.75,65.5,63.75,64.5,6709500,UP,65.5
20171002,65.5,66.5,65,65.5,4705300,DOWN,65.25
20171003,65.25,65.25,64.75,65,1969000,UP,65.25
20171004,65.25,65.75,64.75,64.75,1740700,UP,65
20171005,65,65,64,64.25,2162300,DRAW,64.25
20171006,64.25,64.5,63.75,64,1397100,DRAW,64
20171009,64,64.75,63.75,64,2520300,DRAW,64
20171010,64,66,64,65.75,4016800,UP,68
20171011,68,68.5,67.5,68,7683600,DRAW,68
20171012,68,68.25,66.75,67.75,5721800,UP,68.25
20171016,68.25,70.5,67.25,70,5747800,DRAW,70
20171017,70,72,69.75,71.25,3364700,DOWN,71
20171018,71,71,69,69.5,2792900,DOWN,69.25
20171019,69.25,70.25,68.75,69,3897600,DRAW,69
20171020,69,71.25,69,70.5,3217900,UP,71
20171024,71,73.25,70.5,72.75,4064300,UP,73.25
20171025,73.25,73.25,71.5,72.75,2571300,UP,73
20171027,73,73.25,72.5,73.25,1841000,DRAW,73.25
20171030,73.25,75,73.25,74.75,3611800,DRAW,74.75
20171031,74.75,74.75,73.25,74.25,2253900,DRAW,74.25
20171101,74.25,74.75,72.75,73.75,2660800,UP,74.5
20171102,74.5,74.5,72.5,72.5,1589200,DRAW,72.5
20171103,72.5,72.75,69.5,70,3879700,DRAW,70
20171106,70,74,69.75,73.25,4196600,UP,73.75
20171107,73.75,74,72.25,73,2891800,DRAW,73
20171108,73,73.75,72.5,73.5,1474700,DOWN,73
20171109,73,74,73,73,1782100,UP,73.25
20171110,73.25,73.5,72,72.25,2345100,DOWN,72
20171113,72,75,72,74,3950200,UP,74.5
20171114,74.5,78,74.25,76.25,3652800,DOWN,76
20171115,76,77.25,75.25,75.75,3300000,UP,76.5
20171116,76.5,76.5,73.25,74.5,3234800,UP,76.5
20171117,76.5,77.75,76.25,76.75,2830000,UP,77.25
20171120,77.25,77.25,76,76.5,1453900,DRAW,76.5
20171121,76.5,77.5,75,77,2568200,UP,77.5
20171122,77.5,77.5,75.75,76,1446000,UP,76.25
20171123,76.25,76.75,75.25,75.5,1514300,DOWN,75.25
20171124,75.25,76.25,75.25,75.5,910800,DOWN,75
20171127,75,75,73.75,74.25,1347400,DRAW,74.25
20171128,74.25,76,74.25,75.5,1066100,UP,75.75
20171129,75.75,77.5,75.5,76,2530400,DRAW,76
20171130,76,76.75,74,74,4383000,UP,74.5
20171201,74.5,75,73,73.5,1446700,DOWN,73
20171204,73,75,72.75,73.25,1564200,DOWN,72.5
20171206,72.5,72.75,71.25,72,2397100,DOWN,71.5
20171207,71.5,74,71.5,73.75,2058200,UP,74.25
20171208,74.25,74.25,72.75,72.75,1000300,UP,73.25
20171212,73.25,74,71.5,72,2044200,UP,72.5
20171213,72.5,73.5,71.25,73.25,1725800,DRAW,73.25
20171214,73.25,75,73.25,74.5,3023800,DOWN,74.25
20171215,74.25,74.25,73.5,74,1218900,UP,74.25
20171218,74.25,74.75,73.5,74,1344600,DRAW,74
20171219,74,75,73.5,73.75,3533000,DOWN,73.25
20171220,73.25,74.5,73.25,73.75,2729500,DRAW,73.75
20171221,73.75,74,73.5,73.5,591200,UP,73.75
20171222,73.75,73.75,72.25,73,2364400,DRAW,73
20171225,73,73,72,72.5,1812800,DRAW,72.5
20171226,72.5,73.75,72,72.75,2290500,DOWN,72.5
20171227,72.5,74.75,72.5,73.75,2986300,DRAW,73.75
20171228,73.75,74.25,72.25,74.25,2904200,DRAW,74.25
20171229,74.25,74.5,72.25,73,2112400,DRAW,73
20180103,73,76.25,73,76,4218800,UP,76.25
20180104,76.25,76.25,75,76.25,1528000,UP,76.5
20180105,76.5,76.5,75,75,2290000,DOWN,74.5
20180108,74.5,75.25,74,74,3687700,DOWN,73.75
20180109,73.75,74.5,72.25,73.25,2650500,UP,74.25
20180110,74.25,74.25,73,73.5,2787600,UP,74
20180111,74,74.5,73,73,2520600,DRAW,73
20180112,73,73.25,71.5,71.75,3479600,DOWN,71.5
20180115,71.5,73.5,70.5,72.75,4355600,UP,73
20180116,73,73.75,72.75,73.25,2437200,DRAW,73.25
20180117,73.25,74,73,73.75,2039900,UP,74.25
20180118,74.25,75.5,74,74.75,3713400,DRAW,74.75
20180119,74.75,75.25,74,74.75,1761300,UP,75
20180122,75,75.5,73.5,74.5,2427000,UP,74.75
20180123,74.75,75.25,74.25,74.75,2732500,DOWN,74.5
20180124,74.5,75.75,73.5,75.5,5660200,DRAW,75.5
20180125,75.5,75.5,73.5,73.75,2146400,DOWN,73
20180126,73,73,71.75,72.75,2797400,DRAW,72.75
20180129,72.75,73,71,71.75,3644500,DOWN,71.25
20180130,71.25,72,71.25,71.5,2380900,DRAW,71.5
20180131,71.5,72,71,71.75,1196600,DOWN,71.5
20180201,71.5,72.5,70.75,70.75,3043400,UP,71
20180202,71,71.25,70.25,70.5,2076400,DOWN,69.25
20180205,69.25,70.5,69.25,70.25,1471400,DOWN,69
20180206,69,70.5,68.25,70,2731000,UP,70.25
20180207,70.25,70.75,69.5,70.75,3372800,UP,71.75
20180208,71.75,72,69,70,2658400,DOWN,69.5
20180209,69.5,70.5,69.25,69.5,1570500,DRAW,69.5
20180212,69.5,70.75,69.5,70.25,1693300,DRAW,70.25
20180213,70.25,71.25,70,70.25,1970100,DRAW,70.25
20180214,70.25,70.75,69.75,70,1460700,DRAW,70
20180215,70,71.5,70,71.25,1673200,DRAW,71.25
20180216,71.25,72.75,70.5,72.5,2036200,DRAW,72.5
20180219,72.5,72.5,71.5,71.75,940900,UP,72
20180220,72,72.5,71.5,72,1300300,DRAW,72
20180221,72,72,69.5,70.5,2287500,DRAW,70.5
20180222,70.5,71.25,69.25,69.75,1499200,DRAW,69.75
20180223,69.75,70.75,69,70.25,1834300,DRAW,70.25
20180226,70.25,70.25,67.25,68.25,4937500,UP,68.75
20180227,68.75,68.75,65.25,66.25,6296400,DRAW,66.25
20180228,66.25,67.75,66.25,67.25,3186500,DRAW,67.25
20180302,67.25,67.25,65.25,66,3289000,DOWN,65
20180305,65,66.25,64.75,66,2673500,DRAW,66
20180306,66,66.25,63,63.5,3975300,UP,63.75
20180307,63.75,64,62,62.75,3358600,DRAW,62.75
20180308,62.75,63.25,61,61.25,3933800,UP,61.75
20180309,61.75,62.25,59.5,60.75,4072300,UP,61
20180312,61,63,61,62.25,2754400,DRAW,62.25
20180313,62.25,64.5,62.25,64,2992600,DOWN,63.75
20180314,63.75,64.5,63.5,64.25,1963100,DRAW,64.25
20180315,64.25,65.25,63.25,63.5,2930300,DRAW,63.5
20180316,63.5,63.75,61.5,62,2972500,DRAW,62
20180319,62,62.75,61,62,1111400,DOWN,61.5
20180320,61.5,63,61.25,62,1544000,UP,62.5
20180321,62.5,63.25,62.5,63.25,3456300,DRAW,63.25
20180322,63.25,64,63,63.75,2041600,DOWN,63
20180323,63,63.75,62.5,63.5,1082100,DRAW,63.5
20180326,63.5,65,63.25,65,3488500,UP,65.25
20180327,65.25,66,63.25,63.75,3474900,DRAW,63.75
20180328,63.75,64.25,62.5,63,3137500,DOWN,62.25
20180329,62.25,62.5,61.75,62.5,2905800,UP,63.25
20180330,63.25,63.5,62.25,63.25,1697900,DOWN,63
20180402,63,63.75,62.75,63,1538300,DRAW,63
20180403,63,63,61,62.25,2446700,DRAW,62.25
20180404,62.25,62.25,59.75,60,3273700,DRAW,60
20180405,60,60.75,59.25,60.5,3705700,UP,60.75
20180409,60.75,62.75,60.25,62.5,2497900,DRAW,62.5
20180410,62.5,62.75,61.25,62.5,1372400,DRAW,62.5
20180411,62.5,64.75,62.5,64.75,2968400,DRAW,64.75
20180412,64.75,65,63.5,63.5,1552400,DRAW,63.5
20180417,63.5,63.75,63,63.5,1149400,UP,63.75
20180418,63.75,65.25,63.75,65.25,3670700,DOWN,65
20180419,65,65,64.25,65,2120200,DOWN,64.5
20180420,64.5,64.75,63.5,64.25,1920000,UP,64.5
20180423,64.5,64.75,64,64,931400,DRAW,64
20180424,64,64.5,63.5,63.75,1673400,DOWN,63.5
20180425,63.5,65.5,63.5,64,3427400,UP,64.75
20180426,64.75,65.5,64.25,64.75,2717800,UP,65
20180427,65,65.75,64.75,65.5,2509000,UP,66
20180430,66,66.25,65.5,65.75,1393700,DOWN,65.25
20180502,65.25,66.5,65,66,3312700,UP,66.25
20180503,66.25,67.25,65.75,66.75,3611500,DOWN,66.25
20180504,66.25,67.25,66,66.5,3203800,DOWN,66
20180507,66,66.25,65.25,66,2008500,DOWN,65.5
20180508,65.5,65.75,63.75,64.5,1414200,DRAW,64.5
20180509,64.5,64.75,62.75,63.5,1364300,DRAW,63.5
20180510,63.5,63.5,61.5,62.25,1243500,DRAW,62.25
20180511,62.25,65,62.25,64.5,1964700,UP,65
20180514,65,65,63.75,64.5,994800,DRAW,64.5
20180515,64.5,64.5,62.75,63.25,1263300,
