DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,41.25,42,41,41,9729100,41.75
20170105,41.75,42.5,41.5,41.75,10535000,42
20170106,42,42.25,41.25,41.25,5559600,41.5
20170109,41.5,41.5,40,40,8934500,40
20170110,40,40.25,39.25,39.25,8036500,39.75
20170111,39.75,40.5,39.5,39.75,6482400,40
20170112,40,41,40,40.5,3804700,40.5
20170113,40.5,40.75,40,40.25,2612000,40.25
20170116,40.25,40.25,39.25,39.5,4196100,39.5
20170117,39.5,39.75,39,39,5654300,39.25
20170118,39.25,39.25,38.25,38.5,4552800,38.5
20170119,38.5,40,38.25,39.75,8880700,39.75
20170120,39.75,40.75,39.5,40.5,5448600,40.5
20170123,40.5,40.75,40.25,40.25,4809800,40.25
20170124,40.25,41,40,40.75,4882200,41
20170125,41,41.25,40.75,41.25,3429300,41.25
20170126,41.25,41.5,40.75,41.25,6374300,41
20170127,41,41.5,41,41.25,3729300,41.25
20170130,41.25,41.5,41,41.5,2370900,41.25
20170131,41.25,41.5,41.25,41.25,2675700,41.5
20170201,41.5,43.25,41.25,43.25,28791500,43.25
20170202,43.25,43.25,42,42.5,8670900,42.5
20170203,42.5,43.5,42.25,43.5,10513300,43.5
20170206,43.5,45,43.5,45,16337800,45
20170207,45,45.25,44.25,44.5,8665500,44.5
20170208,44.5,46,44.5,45.75,11553900,45.75
20170209,45.75,46.25,45,45.25,7109700,45.5
20170210,45.5,45.5,44,44.25,5143800,44
20170214,44,45,43.5,44,4779000,44.25
20170215,44.25,44.25,42.5,42.75,9098300,43
20170216,43,43.5,42.75,43.25,5571400,43.25
20170217,43.25,44,43.25,44,5246200,44
20170220,44,44,43.25,43.75,2689900,43.75
20170221,43.75,43.75,42.75,43,5680600,42.75
20170222,42.75,43,42.25,42.5,6079900,42.75
20170223,42.75,44.25,42.75,43.75,14083800,43.75
20170224,43.75,44,43.25,43.75,4500200,43.75
20170227,43.75,44,43.25,43.5,3416800,43.5
20170228,43.5,44.25,43.25,44.25,5781700,44.5
20170301,44.5,46,44.5,45.5,14299700,45.5
20170302,45.5,46.25,45.5,46,6971700,46
20170303,46,46,45.5,45.75,3676200,45.5
20170306,45.5,45.75,43.5,43.75,4788500,44
20170307,44,44.5,42.75,42.75,8457900,42.5
20170308,42.5,42.5,39.5,41,29891100,41
20170309,41,41.75,40.75,41.5,5912100,41.5
20170310,41.5,41.5,40.75,41.25,4180700,41
20170313,41,42.25,41,41.5,6449100,41.25
20170314,41.25,42.75,41.25,42.5,6778900,42.75
20170315,42.75,43.25,42,42.25,7855200,42.25
20170316,42.25,43.25,42.25,43.25,4573500,43.25
20170317,43.25,43.25,42,42.5,3170600,41.75
20170320,41.75,42.5,41.75,42.5,3631300,42.75
20170321,42.75,43.5,42.75,43.5,4642800,42.75
20170322,42.75,43.25,42.75,43,2197000,43.5
20170323,43.5,43.75,43.25,43.25,1948100,43.25
20170324,43.25,43.75,43,43.5,3374600,43.5
20170327,43.5,43.5,43,43.5,1239800,43.5
20170328,43.5,44,43.25,44,2753600,44
20170329,44,44.25,43.75,44.25,2108900,44.25
20170330,44.25,44.25,43.5,43.75,997200,43.5
20170331,43.5,44,43.25,43.25,2513600,43.5
20170403,43.5,44,43.5,44,1170500,43.75
20170404,43.75,44,43.5,43.5,1074800,43.75
20170405,43.75,43.75,43.25,43.25,1281600,43.25
20170407,43.25,43.5,43,43.25,2107700,43.25
20170410,43.25,43.25,43,43.25,1794000,43
20170411,43,43.25,42.5,43,1968100,43
20170412,43,43.25,42.75,42.75,1232500,42.75
20170417,42.75,43.25,42.75,42.75,980500,42.75
20170418,42.75,43,42.5,43,1599000,43
20170419,43,43.5,42.75,43,1403200,43
20170420,43,44.5,42.75,44,3879600,44.25
20170421,44.25,44.5,44,44,2713000,44.25
20170424,44.25,44.75,44,44.25,3696000,44.5
20170425,44.5,44.5,43.25,44,3614100,44
20170426,44,44.25,43.25,44.25,2997700,44.5
20170427,44.5,45.5,44,45.5,8574400,44.75
20170428,44.75,44.75,44,44.25,2407400,44.25
20170502,44.25,44.5,44,44.5,996300,44.5
20170503,44.5,44.75,43.25,43.5,2685400,43.5
