DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN,NEXT_OPEN_PRICE
20170104,154,156,153.5,156,11832000,UP,156.5
20170105,156.5,157.5,155.5,156.5,8183500,DRAW,156.5
20170106,156.5,157,155,156.5,3712600,DRAW,156.5
20170109,156.5,158,155.5,156.5,6420200,DOWN,156
20170110,156,158.5,156,157.5,11395000,UP,158
20170111,158,158.5,157,157,6406500,UP,158.5
20170112,158.5,158.5,154.5,155.5,7774000,UP,156.5
20170113,156.5,158.5,155.5,157.5,6183100,DOWN,157
20170116,157,157,155,155,5236700,DRAW,155
20170117,155,156.5,153.5,155,8864100,UP,155.5
20170118,155.5,156.5,155,156,4313600,DOWN,155
20170119,155,155.5,153,155,6844800,DOWN,151.5
20170120,151.5,152,148.5,150.5,28187500,UP,151
20170123,151,152,149.5,150.5,8783700,DOWN,150
20170124,150,151.5,150,150.5,7154200,UP,151
20170125,151,153,150.5,152,16493300,UP,153.5
20170126,153.5,154,152.5,153.5,9258000,DRAW,153.5
20170127,153.5,153.5,152.5,152.5,4390400,DRAW,152.5
20170130,152.5,153,152,152.5,3537000,DOWN,152
20170131,152,152,150.5,151,7703200,DOWN,150.5
20170201,150.5,153,150.5,152,6969200,DRAW,152
20170202,152,153,151,151,6529100,DRAW,151
20170203,151,153.5,151,153,6597700,UP,154
20170206,154,155,153.5,154.5,9901200,DRAW,154.5
20170207,154.5,155,153.5,154,3802600,DOWN,153.5
20170208,153.5,154.5,153,154,5747300,UP,154.5
20170209,154.5,156,153.5,154,6157400,UP,154.5
20170210,154.5,155,154,154,9620500,UP,155
20170214,155,156,153,154,9754000,UP,154.5
20170215,154.5,155,153,153.5,4413500,UP,154
20170216,154,154.5,153.5,154,4592500,DRAW,154
20170217,154,155,153.5,154,6132300,DRAW,154
20170220,154,154.5,153,154,6282600,DOWN,153.5
20170221,153.5,154,152,152.5,5458500,DRAW,152.5
20170222,152.5,152.5,151,152.5,6729500,UP,153
20170223,153,153,151,151,5876600,DRAW,151
20170224,151,153,150.5,153,4025300,DOWN,152.5
20170227,152.5,153.5,151.5,152,4506900,UP,153
20170228,153,154,152.5,154,4919200,DRAW,154
20170301,154,155,153.5,155,3841500,UP,156
20170302,156,156.5,155,155.5,8520000,DRAW,155.5
20170303,155.5,156,154.5,155,2973100,DOWN,154
20170306,154,155,153.5,154,3617600,DOWN,153
20170307,153,154,152.5,153,6565200,UP,153.5
20170308,153.5,154.5,152,154.5,5003100,DRAW,154.5
20170309,154.5,156,154,156,7133200,DOWN,155.5
20170310,155.5,156,154.5,154.5,3648300,UP,155
20170313,155,155.5,154,155,2915500,UP,155.5
20170314,155.5,156,154.5,155,3585600,DRAW,155
20170315,155,155,154,154,3476500,UP,155
20170316,155,157,154.5,157,7959500,DRAW,157
20170317,157,158,156,158,5918300,UP,158.5
20170320,158.5,159,158,158,3309500,UP,158.5
20170321,158.5,159.5,158,159.5,5092300,DOWN,158
20170322,158,159,157.5,158,4995900,UP,159.5
20170323,159.5,160.5,158.5,159.5,6889400,UP,160
20170324,160,161,159.5,160.5,5993800,UP,161
20170327,161,162,160.5,161.5,4637500,UP,162
20170328,162,163,161.5,162,7642300,UP,162.5
20170329,162.5,163,162,162.5,4682800,DRAW,162.5
20170330,162.5,163,161.5,163,5248200,DRAW,163
20170331,163,163.5,161.5,163,3638700,DRAW,163
20170403,163,163.5,162,163,4784700,DOWN,162.5
20170404,162.5,163,159.5,161.5,5221100,UP,162.5
20170405,162.5,163,162,163,2816300,DRAW,163
20170407,163,164,162,164,4294700,DOWN,163.5
20170410,163.5,164,162.5,163,1730300,UP,163.5
20170411,163.5,164.5,162,164.5,9719600,DRAW,164.5
20170412,164.5,165.5,164,165,4809500,DRAW,165
20170417,165,165,163.5,163.5,3841600,UP,164
20170418,164,164.5,163,163.5,3828100,DOWN,163
20170419,163,164,159.5,160,8808500,DOWN,159
20170420,159,161,159,160,7572500,DOWN,159.5
20170421,159.5,160.5,159.5,160,8079000,DOWN,156.5
20170424,156.5,156.5,154.5,155.5,6931600,DOWN,155
20170425,155,156,154.5,156,7071100,DRAW,156
20170426,156,158,155,157,7018300,UP,157.5
20170427,157.5,157.5,155,156,5513600,DRAW,156
20170428,156,156.5,155,156,5471000,DRAW,156
20170502,156,156,155,155,6526500,DRAW,155
20170503,155,156,155,155.5,8718700,DOWN,155
20170504,155,157,155,157,8979800,DRAW,157
20170505,157,158,156.5,157.5,5448100,DOWN,157
20170508,157,158,156.5,157.5,3581300,DRAW,157.5
20170509,157.5,158,155.5,156.5,6154400,DRAW,156.5
20170511,156.5,157,154.5,156,4315400,DOWN,155.5
20170512,155.5,155.5,152,154.5,7726400,DOWN,154
20170515,154,154.5,151.5,152,4922100,DOWN,151.5
20170516,151.5,152,149,150.5,13490100,UP,151
20170517,151,153,151,152,5045500,DOWN,151
20170518,151,152,150.5,151,2929200,DRAW,151
20170519,151,152.5,150.5,152,2398500,UP,152.5
20170522,152.5,155,152,154.5,4675900,UP,155
20170523,155,156,154.5,156,4537900,UP,156.5
20170524,156.5,156.5,154.5,155.5,2415900,DOWN,155
20170525,155,156,154.5,154.5,3481400,DRAW,154.5
20170526,154.5,155,153.5,154.5,1950700,DOWN,154
20170529,154,155.5,154,154,1764900,DRAW,154
20170530,154,155.5,154,155,1625400,DRAW,155
20170531,155,155.5,153,153,4163300,DOWN,152.5
20170601,152.5,156,152.5,155.5,4725900,UP,156
20170602,156,156.5,155,156,2488100,UP,156.5
20170605,156.5,157,155.5,156.5,2225500,DOWN,156
20170606,156,156.5,155,155.5,2015600,DRAW,155.5
20170607,155.5,156,154.5,154.5,2227400,UP,155
20170608,155,156,154,156,3154100,DOWN,155.5
20170609,155.5,156,153,153.5,4136700,UP,154
20170612,154,155,153.5,154.5,2550500,UP,155
20170613,155,156,154,154.5,3060600,UP,155
20170614,155,155.5,154,155,3144900,DOWN,154
20170615,154,156,153.5,154.5,3721900,DRAW,154.5
20170616,154.5,156,154.5,155.5,3428100,DRAW,155.5
20170619,155.5,156.5,155,156,2537100,DRAW,156
20170620,156,156.5,153.5,154.5,8735500,DRAW,154.5
