DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,12.4,12.8,12.3,12.7,32634200,12.7
20170105,12.7,12.8,12.5,12.6,20497600,12.7
20170106,12.7,12.8,12.4,12.7,15152600,12.7
20170109,12.7,12.8,12.5,12.5,7183700,12.5
20170110,12.5,12.6,12.4,12.6,7939700,12.6
20170111,12.6,12.7,12.5,12.6,9390800,12.6
20170112,12.6,13.1,12.5,12.9,23911100,13.1
20170113,13.1,13.4,12.9,13,30395200,13
20170116,13,13.2,12.9,12.9,8079600,13
20170117,13,13.2,12.9,13.1,10787200,13.2
20170118,13.2,13.2,12.6,12.7,14303600,12.8
20170119,12.8,12.8,12.5,12.6,8884700,12.5
20170120,12.5,12.8,12.5,12.7,10906300,12.8
20170123,12.8,13,12.7,12.8,4335100,12.8
20170124,12.8,12.9,12.5,12.7,11678600,12.8
20170125,12.8,12.8,12.6,12.6,6252600,12.7
20170126,12.7,12.7,12.3,12.3,17597600,12.3
20170127,12.3,12.6,12.3,12.3,7462400,12.4
20170130,12.4,12.5,12.2,12.3,9334500,12.3
20170131,12.3,12.4,12.2,12.4,7263600,12.3
20170201,12.3,12.4,12.2,12.2,11954000,12.3
20170202,12.3,12.4,12.2,12.3,5902700,12.3
20170203,12.3,12.4,12.2,12.4,4955700,12.5
20170206,12.5,12.8,12.4,12.8,12565000,12.7
20170207,12.7,12.7,12.4,12.5,6955400,12.5
20170208,12.5,12.6,12.4,12.5,3990500,12.5
20170209,12.5,12.6,12.4,12.6,5926600,12.7
20170210,12.7,12.8,12.6,12.8,13790800,12.7
20170214,12.7,12.8,12.6,12.7,6328000,12.7
20170215,12.7,12.9,12.7,12.9,13265700,13.1
20170216,13.1,13.2,12.9,12.9,25133500,12.9
20170217,12.9,13.1,12.9,13,7305100,13.1
20170220,13.1,13.4,13,13.4,24954500,13.4
20170221,13.4,13.5,13,13.1,28086700,13.1
20170222,13.1,13.2,12.9,12.9,20912300,12.9
20170223,12.9,13.1,12.9,13,11728500,12.9
20170224,12.9,13.3,12.9,13.3,27551800,13.2
20170227,13.2,13.2,12.8,13,16952400,13
20170228,13,13.1,12.8,12.9,11311600,12.9
20170301,12.9,13.1,12.8,13,10939000,13
20170302,13,13.1,12.9,12.9,14870000,12.9
20170303,12.9,13,12.7,12.8,15004600,12.8
20170306,12.8,13.1,12.8,13.1,9366500,13
20170307,13,13.1,12.8,13,16306600,12.9
20170308,12.9,13.1,12.9,13,10002000,12.9
20170309,12.9,13.1,12.9,13.1,6594300,13
20170310,13,13.1,12.9,13,10829900,13
20170313,13,13.1,12.9,13,3548700,13
20170314,13,13.3,13,13.2,13969000,13.2
20170315,13.2,13.2,12.9,13,11943200,13.1
20170316,13.1,13.2,12.9,12.9,10795600,13
20170317,13,13,12.8,12.8,11187400,12.9
20170320,12.9,13.1,12.8,12.9,9927200,13
20170321,13,13.1,12.9,13,6114400,13
20170322,13,13.1,12.9,12.9,8292800,13
20170323,13,13.1,12.9,13,6861700,13
20170324,13,13,12.9,13,7010300,13
20170327,13,13,12.9,13,6695100,13.1
20170328,13.1,13.3,12.9,13.1,21272700,13.1
20170329,13.1,13.2,13.1,13.1,3686700,13.1
20170330,13.1,13.1,13,13.1,5224100,13.1
