DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,44,44.75,43.75,44.75,4612300,44.75
20170105,44.75,45.5,44.5,45.25,7462700,45.25
20170106,45.25,46,45,45.5,7004800,45.75
20170109,45.75,45.75,45,45,2893600,45
20170110,45,45.25,44.5,44.5,3658000,44.75
20170111,44.75,46.5,44.75,45.75,6701000,46
20170112,46,46.5,45.75,46.25,3981600,46.25
20170113,46.25,46.25,45.75,46,1604000,46.5
20170116,46.5,46.5,46,46,3725400,46
20170117,46,46,45,45.25,3093700,45.25
20170118,45.25,45.5,44.75,44.75,3809000,44.75
20170119,44.75,45.5,44.5,45.25,5890400,45.25
20170120,45.25,47.25,44.75,46,7306500,46.25
20170123,46.25,48,46,47.75,11054500,47.5
20170124,47.5,47.75,46.75,47,2549100,47.25
20170125,47.25,48,47,47.5,5988400,47.5
20170126,47.5,48,47,47.75,6388900,47.5
20170127,47.5,47.75,47,47.5,5344500,47.5
20170130,47.5,48,47,48,3350600,47.75
20170131,47.75,47.75,47.25,47.5,1982500,47.5
20170201,47.5,47.75,47.25,47.75,2729700,47.75
20170202,47.75,47.75,47.25,47.75,2163300,47.75
20170203,47.75,48,47.5,48,2291000,48
20170206,48,48.5,47.75,48.5,4836300,48.5
20170207,48.5,49.25,48,49,5842200,48.75
20170208,48.75,49,48.25,48.75,2209600,48.75
20170209,48.75,49.5,48.5,49,6698800,49
20170210,49,49,48.25,49,5013300,49
20170214,49,49,48.25,48.5,1825300,48.75
20170215,48.75,49,48.5,49,4181400,49
20170216,49,49.25,48.5,49,1373300,49
20170217,49,49.25,48.5,48.5,2611100,48.5
20170220,48.5,48.75,48.25,48.5,1646300,48.75
20170221,48.75,49,48.5,48.5,1132200,48.5
20170222,48.5,48.75,47.75,48.25,4833600,48.25
20170223,48.25,48.25,47.75,47.75,4613700,48
20170224,48,48,47.5,47.75,3118300,47.75
20170227,47.75,48,47.5,47.75,2418800,47.75
20170228,47.75,48.5,47.75,48.5,2648300,48.75
20170301,48.75,49.25,48.25,49.25,2564900,49.25
20170302,49.25,49.5,48.75,49.5,3159600,49
20170303,49,49.25,48.5,48.75,2170400,48.5
20170306,48.5,48.75,48,48,2675900,48.25
20170307,48.25,48.5,48,48.25,1051300,48
20170308,48,48.75,47.75,48.25,3068300,48.25
20170309,48.25,48.25,47.25,47.5,3913600,47.5
20170310,47.5,47.5,46.75,46.75,3584100,46.75
20170313,46.75,46.75,46.25,46.5,3071600,46.25
20170314,46.25,47.25,46,47,3954700,46.75
20170315,46.75,47.5,46.75,47.5,2361800,47.5
20170316,47.5,49,47.25,49,5536700,48.5
20170317,48.5,49.25,48.5,49.25,3385200,49.5
20170320,49.5,49.5,48.5,48.75,3592300,49
20170321,49,49,48.25,48.75,3696700,48.25
20170322,48.25,48.5,48,48,4342600,48.25
20170323,48.25,48.5,48,48,1349600,48
20170324,48,48.5,48,48,1684200,48
20170327,48,48.5,47.75,48.25,2292200,48.25
20170328,48.25,48.5,47.75,47.75,3078600,48
20170329,48,48.25,47.75,48,1496600,48
20170330,48,48.75,48,48.5,2353200,48.5
20170331,48.5,49,48.25,48.25,2967800,48.5
20170403,48.5,49,48.5,48.75,2479600,48.75
20170404,48.75,48.75,48.25,48.25,2356100,48.25
20170405,48.25,48.5,48,48.5,2359700,48
20170407,48,48.5,48,48.25,3650200,48.25
20170410,48.25,48.25,48,48,1833900,48
20170411,48,48.5,48,48.5,3626300,48.5
20170412,48.5,49,48.5,49,3851600,47.75
20170417,47.75,47.75,47.25,47.75,2131900,47.75
20170418,47.75,47.75,47,47.25,1880000,47
20170419,47,47.25,46.5,46.5,3461700,46.75
20170420,46.75,47.25,46.75,46.75,5613800,46.75
20170421,46.75,47.25,46.75,47.25,2514400,47.25
20170424,47.25,47.75,46.75,46.75,4337400,47
20170425,47,47.25,45.75,46.25,9773800,46.25
20170426,46.25,47,46.25,46.75,4303500,46.75
20170427,46.75,47.25,46.5,46.5,2477000,46.5
20170428,46.5,47.25,46.5,47.25,2777400,47
20170502,47,47.5,47,47,2550400,46.75
20170503,46.75,47.5,46.75,46.75,3752100,46.75
20170504,46.75,47.5,46.75,47.25,1050400,47.25
20170505,47.25,48,47.25,47.75,4150900,47.75
20170508,47.75,48,47.5,47.75,3320800,47.5
20170509,47.5,47.75,47.25,47.25,2896700,47.25
20170511,47.25,47.5,46.75,47.25,4315500,47.25
20170512,47.25,47.25,46.5,46.75,2805700,46.75
20170515,46.75,47,46.5,46.75,2923800,46.75
20170516,46.75,47,46,46.25,5700500,46.5
20170517,46.5,47.5,46,47.5,7991700,47.25
20170518,47.25,48,47.25,47.75,3266900,47.75
20170519,47.75,48,47.5,47.75,776200,47.75
20170522,47.75,47.75,47,47,1834600,47.25
20170523,47.25,47.75,47,47.75,1622400,47.5
20170524,47.5,47.75,47,47.5,1946200,47.5
20170525,47.5,47.75,46.75,47.25,3002600,47.25
20170526,47.25,47.5,47,47.25,826400,47
20170529,47,47.5,47,47.25,1422300,47.25
20170530,47.25,47.25,46.75,47.25,941700,47.25
20170531,47.25,47.5,46.5,47,3624800,47
20170601,47,47.25,46.75,46.75,688200,47
20170602,47,47,46.75,46.75,951900,46.75
20170605,46.75,47,46.75,47,661700,47
20170606,47,47,46.5,46.75,823000,46.75
20170607,46.75,47,46,46.25,4759100,46.5
20170608,46.5,46.5,45.5,46.25,5438800,46.25
20170609,46.25,46.25,44.5,45,18906000,45.25
20170612,45.25,45.5,44.75,45.25,3883700,45
20170613,45,45.5,44.75,44.75,5439800,45
20170614,45,46.5,44.75,46.5,11121300,46.5
20170615,46.5,46.75,46.25,46.75,3452900,46.5
20170616,46.5,46.75,46.5,46.75,900700,46.75
20170619,46.75,47,46.5,46.75,1309600,47
20170620,47,47.25,46.5,47,6444600,47
20170621,47,47,46.5,46.5,3569900,46.5
20170622,46.5,47,46.5,47,2230700,47
20170623,47,47,46.5,46.75,1249700,46.75
20170626,46.75,47,46.5,46.5,772600,46.5
20170627,46.5,46.75,46.25,46.25,2103000,46.25
20170628,46.25,46.5,45.75,46,3819500,46.25
20170629,46.25,46.5,46,46,3234200,46
20170630,46,46.25,45.75,46,1927000,46.25
20170703,46.25,46.75,46,46.5,2017200,46.5
20170704,46.5,46.75,46.25,46.5,2014400,46.5
20170705,46.5,46.75,45.75,45.75,3867300,46
20170706,46,46.25,45.75,46,3161600,46
20170707,46,46,45.75,45.75,3237700,45.75
20170711,45.75,46.25,45.75,46,4287400,46.25
20170712,46.25,47.25,46,47,4879700,47.25
20170713,47.25,48.5,47,47.75,12901100,48
20170714,48,48.25,47.5,48,4779000,48.25
20170717,48.25,48.5,47.25,47.5,2515900,47.5
20170718,47.5,47.75,47.25,47.5,1549100,47.5
20170719,47.5,47.75,46.5,46.75,5455500,46.75
20170720,46.75,47.5,46.5,47.25,2364500,47
20170721,47,47.25,47,47,779000,47
20170724,47,47.25,46.75,46.75,876300,46.75
20170725,46.75,47,46.75,47,868500,46.75
20170726,46.75,47.25,46.75,46.75,1425800,47
20170727,47,47.5,46.75,47.5,2105100,47.5
20170731,47.5,47.75,47.25,47.75,3359700,47.75
20170801,47.75,47.75,47.25,47.5,1691900,47.5
20170802,47.5,47.5,47,47.25,4449500,47
20170803,47,47.25,46,46.25,6651100,46.5
20170804,46.5,47.25,46.25,46.75,3900000,46.75
20170807,46.75,47,46.25,47,3547700,47
20170808,47,47,45.5,45.75,14249900,45.75
20170809,45.75,46.25,45.5,45.75,3379100,45.75
20170810,45.75,46.25,45.75,46.25,2516600,46
20170811,46,46.5,46,46.5,2722200,46.25
20170815,46.25,46.5,46,46,1856700,46.25
20170816,46.25,46.75,46,46.5,5030300,46.5
20170817,46.5,46.75,46.25,46.25,1463300,46.25
20170818,46.25,46.5,46,46.25,892200,46.25
20170821,46.25,46.5,46,46.25,1314600,46
20170822,46,46.5,46,46.25,1890900,46.25
20170823,46.25,46.5,46.25,46.25,743500,46.25
20170824,46.25,46.5,46,46.25,1484200,46.25
20170825,46.25,46.25,46,46,1208200,46.25
20170828,46.25,46.25,45.75,46.25,1466600,46.25
20170829,46.25,47.25,46,46.75,4376600,46.75
20170830,46.75,47.25,46.75,46.75,2837600,46.75
20170831,46.75,47,46.5,46.75,2477200,47
20170901,47,47.75,46.75,47.25,3683300,47.25
20170904,47.25,47.5,47,47.25,1854600,47.5
20170905,47.5,47.5,47,47.25,1777000,47.25
20170906,47.25,47.25,47,47,965900,47
20170907,47,47.25,46.75,46.75,3090100,47
20170908,47,47.5,47,47,2420400,47
20170911,47,47.25,47,47.25,2531600,47
20170912,47,47.25,47,47,1368300,47.25
20170913,47.25,47.5,47,47.25,1643100,47.25
20170914,47.25,47.5,47,47.5,2113700,47.5
20170915,47.5,47.75,47.25,47.5,3179700,47.5
20170918,47.5,48.25,47.5,48,4675900,48
20170919,48,48,47.25,47.75,4683000,47.75
20170920,47.75,48,47.25,47.75,4336000,47.5
20170921,47.5,47.75,47.25,47.75,1971100,47.5
20170922,47.5,48,47.25,48,3694400,48
20170925,48,48.25,47.75,48,2608000,48.25
20170926,48.25,48.25,47.75,48,2618700,48
20170927,48,48.25,47.75,48,2577000,48.25
20170928,48.25,48.5,48,48.5,3607800,48.75
20170929,48.75,48.75,48.25,48.75,6848900,49
20171002,49,49.25,48.75,49,3953000,49.25
20171003,49.25,49.5,49,49,4374300,49.25
20171004,49.25,49.75,49,49.75,9603900,49
20171005,49,49,48.75,49,2572800,49
20171006,49,49.25,48.5,49.25,6143700,49.25
20171009,49.25,49.25,49,49,1616900,49.25
20171010,49.25,51.25,49,51.25,22552200,51.5
20171011,51.5,52.5,51.5,52,14181800,52.25
20171012,52.25,53,52,52.75,8531400,53
20171016,53,53,52.25,53,5382700,52.75
20171017,52.75,53,52,52.5,3459800,52.5
20171018,52.5,53,51.75,52,6729400,52
20171019,52,52.5,51.25,51.25,5684900,51
20171020,51,53,51,51.5,8629300,51.75
20171024,51.75,54,51.75,54,10176200,54.25
20171025,54.25,55.5,53.75,54.5,12857900,54.5
20171027,54.5,55,54,54.25,4245400,54.25
20171030,54.25,54.5,53.25,54.25,5504300,54.25
20171031,54.25,55,54,54.75,3012600,55
20171101,55,55,54,54,2299800,54
20171102,54,54,52.25,52.5,6839200,52.5
20171103,52.5,53,52,52,4507200,52.25
20171106,52.25,54,51.75,53.75,6360500,54.25
20171107,54.25,54.5,53.5,54,4436900,54
20171108,54,54.25,52.5,54,7973800,54.25
20171109,54.25,54.25,53.25,53.75,2781800,54
20171110,54,54,52.5,52.75,4403300,53
20171113,53,53.5,52.25,53,3730100,52.75
20171114,52.75,54,52.75,53.75,3718100,53.25
20171115,53.25,53.5,52.75,53.25,1885700,53.25
20171116,53.25,54.75,53.25,54,5868000,54.25
20171117,54.25,56.75,54,56.5,17541200,56.75
20171120,56.75,58,55.75,56.25,13029900,56.25
20171121,56.25,56.75,55.5,55.75,4506800,55.75
20171122,55.75,57,55.75,56.75,3433300,56.5
20171123,56.5,56.5,55.25,55.25,5002400,55.5
20171124,55.5,56.25,55.25,55.25,4767300,55.25
20171127,55.25,55.25,53.25,53.75,8343500,53.75
20171128,53.75,54.25,53.25,53.75,7790700,54
20171129,54,56.5,54,55.5,8334800,55.5
20171130,55.5,56.25,55.5,56.25,4255100,56.25
20171201,56.25,56.5,55.5,55.75,4296100,56
20171204,56,56.25,55.75,55.75,1575000,55.75
20171206,55.75,56.5,55.5,56.25,5173200,56.5
20171207,56.5,56.75,55,55.5,4315000,55.5
20171208,55.5,56.25,55,55.75,3111400,55.75
20171212,55.75,55.75,54.75,55,4871200,55
20171213,55,55.75,55,55.5,1976000,55.75
20171214,55.75,57,55.5,56.75,6988700,56.75
20171215,56.75,56.75,55.75,56.25,5681700,56.5
20171218,56.5,56.5,56,56,2596800,56.25
20171219,56.25,57.5,56,57,10900200,57.25
20171220,57.25,57.5,56.25,56.75,5794600,56.75
20171221,56.75,57,56,56.5,4352000,56.5
20171222,56.5,57,56,56.5,2810300,56.75
20171225,56.75,57.5,56.5,57.25,2640700,57.25
20171226,57.25,57.25,56.5,57.25,2351400,57
20171227,57,57.25,56.5,56.75,2707700,56.5
20171228,56.5,56.75,55.75,56.5,4348400,56.5
20171229,56.5,56.5,55.75,56.25,5044000,56.25
20180103,56.25,57.5,55.75,57.5,6747400,57.5
