DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,61,65.25,61,65,10259000,DOWN
20170105,64.75,65.75,62.25,63,12545400,UP
20170106,63.25,64.5,63,63,7358800,DRAW
20170109,63,63.5,62.25,62.25,6060400,UP
20170110,62.75,64,62.75,63,6776800,UP
20170111,63.25,63.5,62.75,62.75,3614300,UP
20170112,63.25,65,62.5,62.75,6016600,UP
20170113,63.25,64,63.25,63.75,1899600,DOWN
20170116,63.5,63.75,62.75,63,1494800,DRAW
20170117,63,63.25,61.25,61.5,3995500,UP
20170118,61.75,62.75,61.75,62,5819400,DOWN
20170119,61.75,62,59.75,60.5,5534300,UP
20170120,61,62.5,60.75,62.25,6756700,UP
20170123,62.5,63.25,62,63,5445400,DOWN
20170124,62.75,63,61.5,62,2720400,UP
20170125,62.25,62.5,61.75,62,2827000,UP
20170126,62.25,62.75,60.75,61.25,4832200,DRAW
20170127,61.25,62,60.75,61.5,2550600,DRAW
20170130,61.5,61.75,60.75,61.5,2140700,DRAW
20170131,61.5,62,61,61,3724400,UP
20170201,61.25,61.75,61,61.75,3322700,DRAW
20170202,61.75,65,61,65,11185800,DOWN
20170203,64.25,64.5,63,63.5,6970100,DRAW
20170206,63.5,64,62.25,62.75,6136700,UP
20170207,63.25,63.75,62.5,62.5,5251900,UP
20170208,63,64.25,62.75,64,4850600,DRAW
20170209,64,67.5,64,67.5,11018000,UP
20170210,67.75,68.75,65.5,67,10429700,DRAW
20170214,67,68.25,66.5,67.75,4870600,UP
20170215,68,68.5,66.5,67,4062900,DRAW
20170216,67,67.5,66,66.5,4444700,UP
20170217,67,67,64.5,65.75,7446500,UP
20170220,66,68,66,67.25,3993500,UP
20170221,67.5,67.75,66.25,66.5,2924800,DRAW
20170222,66.5,67.5,66.25,67,2275100,UP
20170223,67.25,68.75,66.75,67.5,8091200,DOWN
20170224,67.25,67.75,66.75,67,1273200,DRAW
20170227,67,69.5,67,69,7563100,DRAW
20170228,69,69.25,68,68.5,3652800,DRAW
20170301,68.5,69,67.75,68.25,2413500,UP
20170302,68.75,68.75,67.25,67.75,2526800,UP
20170303,68,68,67,67,2189000,DRAW
20170306,67,67.5,65.5,66,3697500,DOWN
20170307,65.75,66,65.5,65.5,1687500,DRAW
20170308,65.5,65.75,64.75,65.5,3966500,UP
20170309,65.75,65.75,64.75,65.75,3397300,DOWN
20170310,65.5,66,65.25,65.5,1876700,DOWN
20170313,65.25,66.75,64.25,66.5,2847800,DOWN
20170314,66.25,68,65.75,66,6065200,DOWN
20170315,65.75,66.5,65.5,65.75,4476000,UP
20170316,66,67.25,66,66.75,4615500,UP
20170317,67.25,70,67,69.5,10787200,DRAW
20170320,69.5,70.75,68,68,6364000,UP
20170321,68.25,69,68,68.25,3444600,DOWN
20170322,68,69.75,68,69.25,4548400,DOWN
20170323,69,69.5,68.25,68.5,3107100,DRAW
20170324,68.5,69.5,68.5,69,1363900,UP
20170327,69.75,69.75,68.75,69,1608400,DRAW
20170328,69,70,69,69.5,2110400,DRAW
20170329,69.5,70.75,69.5,69.5,4307600,UP
20170330,70,72.5,69.5,72.5,6205200,DRAW
20170331,72.5,72.5,71.5,71.75,4629200,UP
20170403,72.25,74.25,72,73.25,4685500,DRAW
20170404,73.25,73.75,71.5,72.25,3739800,DRAW
20170405,72.25,72.5,70.75,71.25,4680100,DRAW
20170407,71.25,72,70.75,71.5,5093800,DRAW
20170410,71.5,72,71,71.5,3238500,DOWN
20170411,71.25,71.75,71,71,3492100,UP
20170412,71.25,72,71,71.25,3298900,DRAW
