DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,2.12,2.18,2.12,2.16,294927000,2.16
20170105,2.16,2.22,2.16,2.22,326887500,2.22
20170106,2.22,2.28,2.2,2.26,380424300,2.26
20170109,2.26,2.28,2.24,2.28,186544000,2.28
20170110,2.28,2.32,2.26,2.28,319738400,2.3
20170111,2.3,2.32,2.26,2.28,239900900,2.3
20170112,2.3,2.32,2.26,2.26,103967300,2.28
20170113,2.28,2.28,2.24,2.26,92988700,2.24
20170116,2.24,2.26,2.18,2.24,305490100,2.24
20170117,2.24,2.3,2.22,2.24,222372400,2.28
20170118,2.28,2.32,2.26,2.3,420350100,2.28
20170119,2.28,2.3,2.24,2.26,250830800,2.26
20170120,2.26,2.28,2.24,2.28,113920800,2.28
20170123,2.28,2.3,2.24,2.24,88970200,2.24
20170124,2.24,2.3,2.24,2.28,139808600,2.28
20170125,2.28,2.34,2.26,2.34,412882900,2.34
20170126,2.34,2.36,2.3,2.34,265540400,2.32
20170127,2.32,2.34,2.3,2.32,121003100,2.3
20170130,2.3,2.34,2.28,2.32,68431100,2.3
20170131,2.3,2.34,2.28,2.34,126700400,2.32
20170201,2.32,2.4,2.32,2.38,281010100,2.38
20170202,2.38,2.42,2.36,2.38,202548300,2.36
20170203,2.36,2.44,2.36,2.42,264886200,2.42
20170206,2.42,2.48,2.42,2.44,301038200,2.44
20170207,2.44,2.46,2.42,2.44,131994700,2.44
20170208,2.44,2.46,2.42,2.44,115336200,2.44
20170209,2.44,2.48,2.44,2.48,127230700,2.48
20170210,2.48,2.5,2.46,2.46,112096300,2.46
20170214,2.46,2.48,2.42,2.42,141881600,2.42
20170215,2.42,2.48,2.42,2.44,276657400,2.46
20170216,2.46,2.46,2.44,2.46,43517100,2.46
20170217,2.46,2.48,2.44,2.46,117203800,2.48
20170220,2.48,2.52,2.48,2.5,256153100,2.5
20170221,2.5,2.54,2.48,2.5,253644600,2.52
20170222,2.52,2.52,2.48,2.5,149977900,2.52
20170223,2.52,2.52,2.38,2.38,212999700,2.4
20170224,2.4,2.44,2.38,2.42,103950500,2.42
20170227,2.42,2.46,2.42,2.42,28493700,2.44
20170228,2.44,2.46,2.42,2.44,54526700,2.46
20170301,2.46,2.48,2.44,2.46,47106000,2.48
20170302,2.48,2.52,2.46,2.5,131151800,2.48
20170303,2.48,2.48,2.44,2.44,56824900,2.44
20170306,2.44,2.46,2.4,2.42,48216800,2.42
20170307,2.42,2.44,2.4,2.44,59723500,2.42
20170308,2.42,2.44,2.38,2.42,159645900,2.42
20170309,2.42,2.44,2.4,2.44,54731800,2.42
20170310,2.42,2.44,2.4,2.4,64800400,2.4
20170313,2.4,2.4,2.3,2.32,103960300,2.32
20170314,2.32,2.4,2.3,2.36,152126900,2.38
20170315,2.38,2.42,2.36,2.42,83593700,2.44
20170316,2.44,2.48,2.42,2.44,107256600,2.46
20170317,2.46,2.46,2.4,2.4,74485700,2.38
20170320,2.38,2.44,2.36,2.44,52378000,2.42
20170321,2.42,2.44,2.38,2.42,62567700,2.38
20170322,2.38,2.42,2.38,2.38,58885900,2.4
20170323,2.4,2.42,2.38,2.4,49324300,2.38
20170324,2.38,2.42,2.38,2.4,32747900,2.4
20170327,2.4,2.42,2.38,2.38,37825400,2.38
20170328,2.38,2.42,2.36,2.36,68208400,2.36
20170329,2.36,2.4,2.36,2.38,39795500,2.38
20170330,2.38,2.42,2.36,2.42,81065100,2.42
20170331,2.42,2.46,2.38,2.44,122592500,2.44
20170403,2.44,2.44,2.4,2.4,49777400,2.4
20170404,2.4,2.44,2.4,2.44,31159900,2.44
20170405,2.44,2.44,2.42,2.44,24686300,2.42
20170407,2.42,2.44,2.4,2.4,54110300,2.4
20170410,2.4,2.44,2.4,2.44,57925300,2.44
20170411,2.44,2.46,2.42,2.42,93466400,2.44
20170412,2.44,2.5,2.42,2.48,172490700,2.42
20170417,2.42,2.44,2.4,2.44,87973400,2.42
20170418,2.42,2.42,2.3,2.32,394134800,2.3
20170419,2.3,2.32,2.18,2.18,534490900,2.2
20170420,2.2,2.3,2.2,2.28,328895600,2.28
20170421,2.28,2.28,2.24,2.24,55255600,2.26
20170424,2.26,2.28,2.24,2.26,42352300,2.26
20170425,2.26,2.28,2.24,2.24,92126900,2.26
20170426,2.26,2.28,2.24,2.26,99620800,2.26
20170427,2.26,2.26,2.24,2.24,60509000,2.26
20170428,2.26,2.28,2.24,2.28,112892200,2.28
20170502,2.28,2.3,2.26,2.3,99672500,2.28
20170503,2.28,2.3,2.26,2.26,72716600,2.26
20170504,2.26,2.28,2.26,2.28,43007000,2.26
20170505,2.26,2.28,2.26,2.28,16945100,2.28
