DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,72.75,73.5,72.25,73,6041800,DOWN
20170105,72.25,72.75,71.5,71.75,8185500,DRAW
20170106,71.75,72,70,70.25,11732000,DOWN
20170109,69.75,70,69.25,69.25,6074000,DRAW
20170110,69.25,70,69,69,5077400,UP
20170111,69.25,70.25,68.75,68.75,7084300,UP
20170112,69.25,70.25,69.25,69.5,4887500,UP
20170113,70,70.75,69.75,70.25,5684600,DRAW
20170116,70.25,71,70,70.25,3043500,UP
20170117,70.5,71,69.75,70,3713800,UP
20170118,70.25,70.75,69.75,70,4231000,DOWN
20170119,69.75,70.5,69.5,70,4152600,UP
20170120,70.5,71.75,70.25,71.25,5609700,UP
20170123,71.5,72,71.5,72,3078000,DRAW
20170124,72,72.5,71.5,71.5,4499200,UP
20170125,71.75,72.5,71.25,72.25,3729800,UP
20170126,72.75,72.75,72,72.25,1458800,UP
20170127,72.5,73,72.25,72.5,2294600,DRAW
20170130,72.5,72.75,72.25,72.5,1034900,DOWN
20170131,72.25,72.75,71.25,71.75,3929500,DOWN
20170201,71.25,71.75,71,71.75,3192200,UP
20170202,72.25,72.5,71,71,3839400,UP
20170203,71.25,72,71,72,2523300,DRAW
20170206,72,72.5,72,72.25,2340000,DOWN
20170207,72,72.5,71.5,71.75,1865500,DOWN
20170208,71.5,72.75,71.5,72.75,3258600,UP
20170209,73,73.25,72.5,73.25,4420800,UP
20170210,73.5,74.25,73,73.25,5872100,DRAW
20170214,73.25,73.5,72.25,72.25,3231800,DRAW
20170215,72.25,75,72.25,74.75,9185700,UP
20170216,75.75,77.5,75.75,76.5,7736100,DRAW
20170217,76.5,77.5,76.5,77.25,3907400,UP
20170220,77.5,78.25,76.75,78.25,4773600,DOWN
20170221,78,79,77,77.25,2452900,UP
20170222,77.5,78.75,77.25,77.75,3764100,UP
20170223,78,78.25,76.5,77.5,4485900,DRAW
20170224,77.5,78,77.25,77.75,6839800,DOWN
20170227,74.25,74.75,74.25,74.5,2479700,UP
20170228,75,75.75,74.75,75.25,4830100,UP
20170301,75.75,76.75,75.5,76.5,3614600,UP
20170302,76.75,77,75.75,76.25,3328400,DOWN
20170303,76,76.5,75.75,76.25,2303000,DOWN
20170306,75.75,76,74.25,74.75,3414400,DRAW
20170307,74.75,75.5,73.75,73.75,3679300,UP
20170308,74,75.5,72,75.5,8841500,DOWN
20170309,75.25,75.25,73.75,74,3442500,UP
20170310,74.5,76.25,74,75.75,5154100,DOWN
20170313,75.5,76.25,75,75.5,3048600,UP
20170314,75.75,76.75,75.5,76.75,5436400,DOWN
20170315,76.5,76.75,75.75,75.75,3355700,UP
20170316,76.5,77,76,76.5,4013700,UP
20170317,76.75,76.75,75.5,76.25,5754100,UP
20170320,76.75,76.75,75.75,75.75,2362700,DRAW
20170321,75.75,77,75.5,76.75,4120100,DOWN
20170322,76.25,77,76,76.5,2407600,DOWN
20170323,76,76.75,75,75.5,2781000,DRAW
20170324,75.5,76,75.5,75.5,1067100,DRAW
20170327,75.5,75.75,75,75.25,1486600,UP
20170328,75.5,76.25,75.25,75.5,2041900,DRAW
20170329,75.5,76.5,75.5,76,1583000,DRAW
20170330,76,77,76,76.25,4099200,UP
20170331,76.5,76.75,75.5,75.5,4602600,DRAW
20170403,75.5,76.25,75.5,76.25,1080700,DRAW
