DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,7.1,7.45,7.1,7.35,356418200,7.4
20170105,7.4,7.5,7.35,7.35,295114200,7.35
20170106,7.35,7.4,7.2,7.2,158519100,7.2
20170109,7.2,7.25,7.15,7.2,67170500,7.15
20170110,7.15,7.25,7,7.1,207777300,7.1
20170111,7.1,7.2,7,7.1,172486900,7.15
20170112,7.15,7.15,7.05,7.1,61642200,7.15
20170113,7.15,7.15,7.05,7.1,51098600,7.1
20170116,7.1,7.1,7.05,7.1,23766100,7.1
20170117,7.1,7.2,6.8,6.85,501654200,6.85
20170118,6.85,6.95,6.8,6.8,155921300,6.8
20170119,6.8,6.95,6.75,6.9,110997500,6.9
20170120,6.9,6.95,6.85,6.85,74034700,6.9
20170123,6.9,6.9,6.75,6.8,93939300,6.85
20170124,6.85,6.85,6.7,6.7,128177700,6.75
20170125,6.75,6.75,6.6,6.6,116644800,6.7
20170126,6.7,6.8,6.6,6.65,169561100,6.65
20170127,6.65,6.75,6.6,6.65,88927200,6.7
20170130,6.7,6.7,6.6,6.65,45459900,6.65
20170131,6.65,6.65,6.55,6.55,84317900,6.55
20170201,6.55,6.55,6.45,6.5,191084400,6.5
20170202,6.5,6.5,6.4,6.4,75947400,6.45
20170203,6.45,6.5,6.35,6.4,79839500,6.45
20170206,6.45,6.45,6.2,6.25,202775700,6.25
20170207,6.25,6.25,6.15,6.2,119044400,6.2
20170208,6.2,6.5,6.15,6.4,396148600,6.45
20170209,6.45,6.5,6.3,6.3,111939700,6.3
20170210,6.3,6.35,6.15,6.2,165958400,6.15
20170214,6.15,6.25,6.15,6.2,63435800,6.2
20170215,6.2,6.25,6.15,6.15,57208600,6.2
20170216,6.2,6.3,6.15,6.2,187081500,6.25
20170217,6.25,6.3,6.15,6.2,112450000,6.2
20170220,6.2,6.25,6.05,6.2,142227300,6.2
20170221,6.2,6.3,6.15,6.15,69280700,6.15
20170222,6.15,6.25,6.1,6.25,62443600,6.2
20170223,6.2,6.3,6.2,6.25,71659500,6.25
20170224,6.25,6.3,6.2,6.25,31387400,6.2
20170227,6.2,6.25,6.15,6.15,25589800,6.15
20170228,6.15,6.25,6.1,6.25,75238600,6.25
20170301,6.25,6.5,6.25,6.45,330639200,6.5
20170302,6.5,6.55,6.35,6.35,169474200,6.35
20170303,6.35,6.6,6.35,6.6,226409700,6.6
20170306,6.6,6.6,6.4,6.45,91573500,6.45
20170307,6.45,6.55,6.4,6.45,74601700,6.45
20170308,6.45,6.5,6.3,6.5,121114500,6.45
20170309,6.45,6.5,6.35,6.4,93275100,6.45
20170310,6.45,6.45,6.25,6.25,83891300,6.3
20170313,6.3,6.3,6.2,6.25,61594600,6.2
20170314,6.2,6.3,6.2,6.25,62122700,6.2
20170315,6.2,6.25,6.15,6.2,66764200,6.25
20170316,6.25,6.45,6.2,6.45,332033600,6.45
20170317,6.45,6.5,6.35,6.4,111611600,6.4
20170320,6.4,6.45,6.35,6.4,71025800,6.4
20170321,6.4,6.55,6.35,6.5,197915000,6.45
20170322,6.45,6.5,6.4,6.4,89921200,6.45
20170323,6.45,6.5,6.4,6.4,52570100,6.45
