DATE,OPEN,HIGH,LOW,CLOSE,VOL,NEXT_OPEN
20170104,21.1,21.2,20.7,21.1,14331700,21.1
20170105,21.1,21.2,20.8,21,10585500,20.9
20170106,20.9,20.9,20.6,20.7,11498200,20.8
20170109,20.8,21.2,20.7,21,18696300,21
20170110,21,21.2,20.9,21.2,8338100,21.2
20170111,21.2,21.3,20.8,20.9,10106600,21
20170112,21,21,20.6,20.7,15502800,20.8
20170113,20.8,20.8,20.5,20.6,4988900,20.6
20170116,20.6,20.9,20.5,20.8,8582400,20.8
20170117,20.8,21.3,20.8,21.3,13033500,21.3
20170118,21.3,21.3,20.8,21.2,12725700,21
20170119,21,21.1,20.8,20.9,6115500,20.9
20170120,20.9,21.3,20.9,21,9295600,21.1
20170123,21.1,21.2,20.7,20.8,8582500,20.8
20170124,20.8,20.9,20.6,20.7,8188500,20.7
20170125,20.7,21,20.7,20.7,5469700,20.7
20170126,20.7,21,20.7,20.8,9033300,20.8
20170127,20.8,21.1,20.8,20.9,4931600,20.9
20170130,20.9,21,20.8,20.9,2158900,20.9
20170131,20.9,21,20.7,20.8,4790800,20.7
20170201,20.7,20.8,20.5,20.5,11890100,20.5
20170202,20.5,20.7,20.3,20.4,8064900,20.4
20170203,20.4,20.6,20.4,20.6,4504900,20.6
20170206,20.6,20.6,20.4,20.5,4290900,20.5
20170207,20.5,20.5,20.2,20.4,7878400,20.3
20170208,20.3,20.4,20.2,20.3,12779800,20.3
20170209,20.3,20.3,20,20.2,16615000,20.2
20170210,20.2,20.4,20.1,20.3,11830700,20.3
20170214,20.3,20.3,19.8,20,16078600,20.1
20170215,20.1,20.1,19.7,19.8,12743000,19.8
20170216,19.8,20.1,19.7,19.9,23028100,19.8
20170217,19.8,19.9,19.6,19.7,9404000,19.7
20170220,19.7,19.9,19.7,19.8,6659400,19.7
20170221,19.7,19.7,19.5,19.6,11704800,19.6
20170222,19.6,19.8,19.5,19.7,16775700,19.6
20170223,19.6,19.8,19.6,19.7,15320500,19.7
20170224,19.7,19.9,19.7,19.8,10660600,19.8
20170227,19.8,19.9,19.6,19.9,9806800,19.9
20170228,19.9,20.4,19.9,20.3,25391900,20.5
20170301,20.5,20.6,20.3,20.5,15689500,20.6
20170302,20.6,20.7,20.3,20.5,18086900,20.5
20170303,20.5,20.6,20.4,20.5,8149000,20.4
20170306,20.4,20.5,20.2,20.4,11248000,20.4
20170307,20.4,20.6,20.3,20.5,12610900,20.5
20170308,20.5,20.9,20.4,20.8,16356200,20.8
20170309,20.8,20.8,20.4,20.7,18562500,20.7
20170310,20.7,20.8,20.5,20.7,12463800,20.6
20170313,20.6,21.4,20.6,21.4,27668300,21.3
20170314,21.3,21.4,21.2,21.4,13930900,21.2
20170315,21.2,21.5,21.2,21.4,16510900,21.4
20170316,21.4,21.4,20.9,21.3,33581000,21.2
20170317,21.2,21.3,20.8,21,25155700,21.1
20170320,21.1,21.3,20.9,21.2,11623600,21.2
20170321,21.2,21.3,20.9,21,9653700,20.9
20170322,20.9,21.4,20.8,21.3,10523200,21.2
20170323,21.2,21.4,21.1,21.4,12789800,21.2
20170324,21.2,21.3,21,21.1,6621100,21.1
20170327,21.1,21.2,21,21.2,5081300,21
20170328,21,21.2,20.9,21.2,7667200,21.2
20170329,21.2,21.2,21,21.2,7227600,21.2
20170330,21.2,21.5,21.1,21.3,11133300,21.2
20170331,21.2,21.4,21.1,21.4,7867200,21.3
20170403,21.3,21.3,21.1,21.2,6254100,21.2
20170404,21.2,21.2,21,21.1,5342800,21.1
20170405,21.1,21.2,20.9,21,7750400,21.1
20170407,21.1,21.1,20.6,20.9,12751000,20.8
20170410,20.8,21,20.5,20.9,6670200,20.9
20170411,20.9,21.2,20.7,21.2,7782800,21
20170412,21,21.2,21,21.2,5166000,21.2
20170417,21.2,21.3,21,21.1,3398700,21.1
20170418,21.1,21.2,20.9,21,4501100,21
20170419,21,21.2,20.9,21.1,5361600,21.1
20170420,21.1,21.3,20.9,21,6122200,21
20170421,21,21.1,20.9,21,3625600,21
20170424,21,21.1,20.7,21.1,7338200,21.1
20170425,21.1,21.2,21,21.1,5135800,21.2
20170426,21.2,21.2,21,21,4393800,21
20170427,21,21.2,20.9,21.1,7768900,21.1
20170428,21.1,21.3,21,21.3,7612600,21.3
20170502,21.3,21.3,21.1,21.2,7704700,21.2
20170503,21.2,22,21.2,21.9,22531000,21.9
20170504,21.9,21.9,21.7,21.8,6383300,21.9
20170505,21.9,22,21.6,22,6659600,22
20170508,22,22.7,21.9,22.6,30892700,22.5
20170509,22.5,22.5,20.8,21,42220500,21
20170511,21,21,20.4,20.7,18454000,20.5
20170512,20.5,20.6,20,20.1,20270000,20.1
20170515,20.1,20.6,20,20.2,12223300,20.2
20170516,20.2,20.8,20.2,20.7,16080800,20.6
20170517,20.6,20.7,20.5,20.7,13073800,20.5
20170518,20.5,20.7,20.5,20.6,6225500,20.5
20170519,20.5,20.9,20.4,20.6,8124600,20.7
20170522,20.7,21.1,20.7,21.1,13241300,21.1
20170523,21.1,21.5,21,21.2,11870100,21.1
20170524,21.1,21.5,21.1,21.4,10958900,21.4
20170525,21.4,21.8,21.4,21.8,15816400,21.9
20170526,21.9,21.9,21.2,21.4,10993000,21.4
20170529,21.4,21.7,21.3,21.5,4580900,21.3
20170530,21.3,21.5,21.3,21.3,4728900,21.3
20170531,21.3,21.6,20.8,21,28759100,21
20170601,21,21.4,21,21.4,7883800,21.2
20170602,21.2,21.4,21.2,21.2,2761200,21.4
20170605,21.4,21.5,21.3,21.4,7946600,21.4
20170606,21.4,21.5,21.2,21.3,4473300,21.3
20170607,21.3,21.4,21,21,9701600,21.1
20170608,21.1,21.3,21,21.3,3383900,21.2
20170609,21.2,21.3,21,21.1,3638400,21.1
20170612,21.1,21.2,21,21.1,1384300,21.1
20170613,21.1,21.3,21,21,8197900,21
20170614,21,21.3,21,21.2,6797400,21.2
20170615,21.2,21.4,21.2,21.3,6933000,21.3
20170616,21.3,21.4,21.2,21.3,4690700,21.3
20170619,21.3,21.5,21.2,21.5,7365200,21.5
20170620,21.5,21.7,21.4,21.5,14618900,21.5
20170621,21.5,21.6,21.4,21.4,2392500,21.5
20170622,21.5,21.7,21.3,21.6,7529400,21.6
20170623,21.6,21.6,21.5,21.5,9223600,21.5
20170626,21.5,21.8,21.5,21.5,9124400,21.5
20170627,21.5,21.5,21.2,21.4,8359000,21.2
20170628,21.2,21.4,21.2,21.2,3567200,21.2
20170629,21.2,21.3,21,21,8834500,21.1
20170630,21.1,21.3,20.9,21.1,9419800,21.1
20170703,21.1,21.2,21,21.1,4124200,21
20170704,21,21.1,20.9,21.1,3059600,21
20170705,21,21.1,20.9,21,2285300,21
20170706,21,21,20.7,20.8,7999600,20.7
20170707,20.7,20.9,20.6,20.7,3434100,20.6
20170711,20.6,21,20.5,20.6,11844500,20.5
20170712,20.5,20.6,19.9,20.1,17657700,20
20170713,20,20.1,19.6,19.9,14882300,19.9
20170714,19.9,20.1,19.7,19.9,14492900,19.9
20170717,19.9,20.4,19.9,20.3,16792300,20.3
20170718,20.3,20.3,19.9,20,12437700,20.1
20170719,20.1,20.1,19.9,20,4981300,19.9
20170720,19.9,20.1,19.9,20,3419900,20
20170721,20,20.1,19.9,20,4773300,20
20170724,20,20.2,19.9,19.9,5583400,19.9
20170725,19.9,20.2,19.9,20.1,5680100,20
20170726,20,20.3,19.9,20.2,5404000,20.3
20170727,20.3,20.3,20.1,20.2,3621200,20.2
20170731,20.2,20.3,19.9,20.3,4843000,20.2
20170801,20.2,20.3,20.1,20.2,2320700,20.2
20170802,20.2,20.2,20,20.1,4206700,20
20170803,20,20.2,19.9,20,5258500,20.1
20170804,20.1,20.1,19.9,19.9,3589400,20.1
20170807,20.1,20.1,19.9,19.9,5569100,20
20170808,20,20.1,19.9,20,3616800,20
20170809,20,20,19.6,19.8,10519400,19.8
20170810,19.8,19.9,19.3,19.5,16281800,19.5
20170811,19.5,19.6,19.4,19.5,4801300,19.6
20170815,19.6,19.7,19.5,19.5,4808400,19.5
20170816,19.5,19.6,19.3,19.6,5158200,19.6
20170817,19.6,19.8,19.6,19.6,2885700,19.3
20170818,19.3,19.5,19.3,19.4,2491800,19.3
20170821,19.3,19.3,19,19.2,8110400,19.1
20170822,19.1,19.2,19.1,19.2,3896300,19.5
20170823,19.5,19.7,19.5,19.5,6751000,19.5
20170824,19.5,19.6,19.3,19.4,5835800,19.5
20170825,19.5,19.7,19.4,19.6,4985100,19.6
20170828,19.6,19.8,19.6,19.7,4111400,19.7
20170829,19.7,20.2,19.6,20,16336500,19.9
20170830,19.9,20,19.6,19.8,8434900,19.8
20170831,19.8,19.9,19.7,19.8,4811300,19.8
20170901,19.8,20.2,19.8,19.9,5741900,19.9
20170904,19.9,19.9,19.8,19.9,2218000,19.9
20170905,19.9,19.9,19.6,19.7,8868900,19.8
20170906,19.8,19.8,19.6,19.7,2564400,19.7
20170907,19.7,19.9,19.6,19.7,4214400,19.8
20170908,19.8,20,19.7,19.8,14832400,19.8
20170911,19.8,19.8,19.6,19.7,6830300,19.7
20170912,19.7,19.8,19.6,19.7,4293400,19.7
20170913,19.7,19.8,19.6,19.6,4271900,19.7
20170914,19.7,20,19.7,19.8,7766200,19.9
20170915,19.9,20,19.7,19.8,8261100,19.8
20170918,19.8,20,19.8,19.8,7856600,19.9
20170919,19.9,20.3,19.9,20.1,22344300,20.2
20170920,20.2,20.3,20,20.2,8461000,20.2
20170921,20.2,20.4,20.1,20.2,12637500,20.1
20170922,20.1,20.2,19.9,19.9,9001700,19.9
20170925,19.9,20,19.5,19.6,13886600,19.7
20170926,19.7,19.8,19.6,19.7,5814300,19.8
20170927,19.8,19.9,19.6,19.6,8400400,19.7
20170928,19.7,19.8,19.6,19.6,8006700,19.7
20170929,19.7,20.1,19.6,20,15166500,20
20171002,20,20.1,19.8,19.9,7679500,19.9
20171003,19.9,19.9,19.6,19.6,13069300,19.6
20171004,19.6,19.7,19.3,19.3,30703000,19.4
20171005,19.4,19.5,19.3,19.4,15471900,19.4
20171006,19.4,19.5,19.2,19.3,20877300,19.3
20171009,19.3,19.4,18.8,18.9,37117600,18.9
20171010,18.9,19.1,18.8,18.9,19501000,18.9
20171011,18.9,19.1,18.8,19,16508700,19
20171012,19,19.1,18.8,19,16711100,18.9
20171016,18.9,19,18.5,18.6,28983100,18.7
20171017,18.7,18.9,18.6,18.8,10362600,18.8
20171018,18.8,18.8,18.4,18.5,18504500,18.5
20171019,18.5,18.5,18.1,18.2,16674000,18.3
20171020,18.3,18.4,18.1,18.1,16058600,18.2
20171024,18.2,18.4,18.1,18.3,12395000,18.4
20171025,18.4,18.6,18.2,18.4,11726200,18.4
20171027,18.4,18.5,18.2,18.3,6917600,18.4
20171030,18.4,18.5,18.3,18.4,8437400,18.4
20171031,18.4,18.4,18.2,18.3,5985300,18.3
20171101,18.3,18.3,17.9,18,16470900,18
20171102,18,18.1,17.9,17.9,5883100,17.9
20171103,17.9,17.9,17.7,17.9,6389000,18
20171106,18,19.1,17.8,18.9,51780500,19
20171107,19,19.1,18.5,18.6,20187900,18.7
20171108,18.7,18.8,18.4,18.5,15077500,18.5
20171109,18.5,18.7,18.3,18.4,11142900,18.3
20171110,18.3,18.4,17.9,18,18221100,17.9
20171113,17.9,18,17.8,18,6177100,18
20171114,18,18.3,17.9,18.1,13399800,18
20171115,18,18.1,17.9,18,7376000,18
20171116,18,18.4,18,18.1,7689900,18.3
20171117,18.3,18.5,18.3,18.4,6858800,18.5
20171120,18.5,18.5,18,18.1,12903100,18.2
20171121,18.2,18.5,18.1,18.2,16095500,18.2
20171122,18.2,18.3,18,18,15336100,18.1
20171123,18.1,18.3,18,18.2,11894600,18.1
20171124,18.1,18.5,18.1,18.5,13823000,18.5
20171127,18.5,18.6,18.4,18.5,8722900,18.4
20171128,18.4,18.6,18.4,18.5,8204300,18.6
20171129,18.6,18.7,18.4,18.4,20335700,18.4
20171130,18.4,18.5,18.1,18.4,14606000,18.5
20171201,18.5,18.5,18.2,18.3,6627800,18.4
20171204,18.4,19.1,18.4,19.1,33630300,19.1
